sample_SRR10767134	sample_SRR10767128	sample_SRR10767131	sample_SRR10767125	sample_SRR10767121	sample_SRR10767118	sample_SRR10767115
ENSOARG00020000127	92.9777	84.0996	12.2056	110.653	103.466	80.6693	83.6445
ENSOARG00020000128	9.37849	8.0463	1.1318	7.5499	9.0029	8.90008	8.372
ENSOARG00020000129	123.848	103.322	50.0577	113.711	111.125	109.537	109.352
ENSOARG00020000130	0.117734	0.244644	0.280176	0.122873	0.153513	0	0
ENSOARG00020000131	2.93888	1.74755	0.269665	2.31113	2.35752	2.48738	3.05384
ENSOARG00020000132	4.52321	6.10256	6.36073	6.51564	3.65165	4.43028	4.30306
ENSOARG00020000133	0.125227	1.03879	0.37957	0	0.77173	0.0736381	0
ENSOARG00020000134	5.15516	3.86025	2.78274	1.71588	1.22179	0.489796	4.46761
ENSOARG00020000135	8.04029	8.26834	3.51547	6.06082	7.79648	5.16112	5.17476
ENSOARG00020000136	6.74862	5.57132	1.97486	7.30716	3.26296	15.5238	6.8095
ENSOARG00020000137	21.9895	17.7013	15.5638	27.783	27.2537	22.2644	10.932
ENSOARG00020000138	7.79274	7.60707	4.47112	6.82821	8.38362	7.59847	5.13962
ENSOARG00020000139	7.581704	12.26627	4.165274	14.2510325	14.635579	10.80383	11.28453
ENSOARG00020000140	0	0	0	0	0	0	0.0302576
ENSOARG00020000143	13.788937	10.884061	1.5343	15.03254	12.832191	11.28288	10.90633
ENSOARG00020000144	197.653	186.015	25.1999	198.441	161.226	203.976	166.517
ENSOARG00020000145	21.0909	17.7967	15.6182	20.4184	20.6783	20.7246	19.7879
ENSOARG00020000146	194.796	168.12	101.619	170.887	190.608	196.387	212.157
ENSOARG00020000147	9.64738	8.43893	15.3673	8.64882	6.46463	6.63819	7.15861
ENSOARG00020000148	0	0	0	0	0	0	0
ENSOARG00020000149	32.679	32.1321	38.582	34.9847	33.4509	32.3212	32.4957
ENSOARG00020000150	0	0	0	0	0	0	0
ENSOARG00020000151	0.980452	1.96274	0.360754	0.414428	0.495315	0.185504	0.170177
ENSOARG00020000152	5.88053	4.46605	3.39228	4.55804	5.80972	3.51699	5.21644
ENSOARG00020000154	1225.21	712.579	352.524	831.992	1008.93	1210.03	1161.37
ENSOARG00020000155	216.07619	213.58627	97.18447	220.48094	214.664741	242.79324	231.38102
ENSOARG00020000156	469.014	444.947573	351.215	544.080799	486.531	489.33	480.861
ENSOARG00020000157	2.09094	4.08348	1.64303	4.2102	2.31665	3.09461	3.00661
ENSOARG00020000158	8.003	7.45171	4.90395	7.05415	6.89232	6.88357	6.50428
ENSOARG00020000159	3.08462	2.70388	0.679096	3.86362	2.81002	3.02613	2.786
ENSOARG00020000160	2.49829	2.09739	0	1.72154	1.80838	2.15074	2.39621
ENSOARG00020000161	0	0	0.111372	0	0	0	0.0753262
ENSOARG00020000162	0	0	0	0	0	0	0
ENSOARG00020000163	16.541	8.20101	8.81926	21.469	11.5278	10.757	19.0499
ENSOARG00020000164	0.306594	1.17405	0.680716	1.36286	0.465636	0.348964	0.320247
ENSOARG00020000166	0	0	0	0	0	0	0
ENSOARG00020000167	41.338	46.272502	2.14738	44.441194	47.5929	49.0519	44.8311
ENSOARG00020000168	25.9776	24.0892	13.5217	28.5477	25.295	22.1554	20.3079
ENSOARG00020000169	10.2248	14.6361	6.39259	11.4743	11.5596	11.7315	7.13947
ENSOARG00020000170	0	0	0.0743566	0.0820339	0	0	0.0683697
ENSOARG00020000173	0	0	0	0	0	0	0
ENSOARG00020000174	0	0	0	0	0	0	0
ENSOARG00020000175	1.17396	1.1063	1.83608	0.908756	0.968937	1.02857	1.25615
ENSOARG00020000176	0	0	0	0	0	0	0
ENSOARG00020000177	0	0	0	0	0	0	0
ENSOARG00020000178	40.47383	32.84489	14.56363	33.1188	37.6807	44.5364	37.6752
ENSOARG00020000179	32.8811	26.6488	33.7545	32.9767	19.1023	18.576	19.7504
ENSOARG00020000180	0	0	0	0	0	0.894148	0
ENSOARG00020000181	5.298986	4.6298	2.2491	5.272796	3.632985	3.818981	4.46149
ENSOARG00020000182	0.17155	0.143836	0.0506366	0.221704	0.356332	0.0503094	0.0926084
ENSOARG00020000183	0.213487	0	0	1.07411	0.21335	0	0.219185
ENSOARG00020000185	0	0	0	0	0	0	0
ENSOARG00020000186	0	13.9233	6.99813	9.27385	6.79227	6.80943	16.587
ENSOARG00020000187	0	0	0	0	0	0	0
ENSOARG00020000188	59.15295	52.473258	27.36553	48.18529	59.458068	62.420723	62.228694
ENSOARG00020000189	52.6307	55.2601	53.62	50.984	57.845	60.1831	58.6275
ENSOARG00020000190	157.429	125.131682	101.811	136.252	100.916	94.3201	99.357
ENSOARG00020000191	14.10282	12.482342	10.31343	13.87199	12.12399	11.317398	11.816921
ENSOARG00020000192	103.68672	93.9921	24.74922	101.58801	102.2204	92.12324	101.55989
ENSOARG00020000194	38.00372	36.37833	13.1428	32.4993951	45.1409	44.5777	38.206
ENSOARG00020000195	30.8612	30.75806	16.12406	32.4433	32.1919	28.4998	28.7907
ENSOARG00020000196	175.79283	160.23404	176.6313	159.6978	166.52098	163.04335	180.00193
ENSOARG00020000197	21.2839	21.7929	17.6215	27.763	22.1942	26.4149	24.4401
ENSOARG00020000198	95.96982	96.285831	44.30293	63.9425	93.26644	102.12427	85.46586
ENSOARG00020000199	32.9254	38.663	28.0896	35.0185	21.9854	27.395	26.6147
ENSOARG00020000200	0.14886	0.129578	0.0407904	0.386907	0.488954	0.128284	0.0590897
ENSOARG00020000201	0	0	0	0	0	0	0
ENSOARG00020000202	0	0.276263	0	0.13676	0	0.123193	0
ENSOARG00020000203	55.042331	57.696882	27.681289	60.645103	52.040210169704	52.775846	50.255526
ENSOARG00020000206	0	0	0	0	0	0	0
ENSOARG00020000207	0	0	0	0	0	0	0
ENSOARG00020000208	17.11	21.7717	12.2806	27.2672	19.6849	19.0788	28.095
ENSOARG00020000209	0.91783	0	0	1.12072	0.895929	0	0.891079
ENSOARG00020000210	0	0	0	0	0	0	0.0866158
ENSOARG00020000211	141.0202	130.0536	11.68597	132.9599	147.341	129.3887	109.8888
ENSOARG00020000212	29.7027	24.4885	9.40072	23.4075	29.9641	31.4137	31.6042
ENSOARG00020000213	2.68061	4.97497	0	4.34337	2.87668	3.40858	3.43111
ENSOARG00020000214	0	0	0	0	0	0	0.084358
ENSOARG00020000215	0.907023	0.595155	0.751422	0.757267	1.10558	0.9985	1.43557
ENSOARG00020000217	0.0749165	0.0694183	0	0.108118	0.15121	0.0845886	0
ENSOARG00020000218	0	0	0	0	0	0	0
ENSOARG00020000219	0	0	0	0	0	0	0
ENSOARG00020000221	77.0215	74.4371	99.4594	84.1954	75.4755	85.3713	79.5652
ENSOARG00020000222	1.00461	1.1962	0.216333	1.17259	0.922996	0.711579	1.02665
ENSOARG00020000223	0	0.109477	0	0	0	0	0
ENSOARG00020000224	25.2283512	23.6716706	27.036808	23.472323	25.4458917	23.0741928	25.6280644
ENSOARG00020000225	141.317	139.124	58.9856	150.034	144.929	138.114	141.5
ENSOARG00020000226	33.8202	13.4696	0.0743124	18.2935	16.5223	14.4855	12.027
ENSOARG00020000228	0	0	0	0	0	0	0
ENSOARG00020000229	23.7109	21.3895	16.3193	22.4736	18.3342	20.8226	19.8037
ENSOARG00020000230	14.57997	14.81346	0.838729	12.47273	14.14245	15.12276	16.7225
ENSOARG00020000231	15.4361	14.9194	6.89891	16.1006	15.5741	14.0211	12.3271
ENSOARG00020000232	29.6459	26.2248	12.28576	28.9068	26.9526	25.107	26.9309
ENSOARG00020000234	7.164977	6.853055	0.9486826	9.817245	13.67109	9.490149	4.930522
ENSOARG00020000235	0	0	0	0	0	0	0
ENSOARG00020000236	47.95504	47.2348	18.92554	45.09414	45.05351	45.33312	37.30232
ENSOARG00020000237	1.80813	2.2908	0	0.963958	2.51414	1.01845	1.07076
ENSOARG00020000238	0	0	0	0	0	0	0
ENSOARG00020000239	0.039005	0.268298	0.138466	0.177147	0.121637	0.21713	0.126486
ENSOARG00020000240	491.546	421.353	183.988	402.172	489.771	501.413	486.301
ENSOARG00020000241	0	0	0	0	0	0	0
ENSOARG00020000242	0	0	0	0	0	1.71335	0
ENSOARG00020000243	308.0096	352.10618	0.1389694	269.61153	366.3348	283.1275	259.4133
ENSOARG00020000244	0	0	0	0.03862273663945	0.0155526109784	0	0.0324023461925
ENSOARG00020000245	0	0	0	0	0	0	0.45759
ENSOARG00020000246	61.3725	58.2422	34.1153	59.1707	57.5378	60.9489	62.3077
ENSOARG00020000247	0.1336415	0.1659711	0	0.1090279	0.0777104	0.0670046	0.0809288
ENSOARG00020000248	66.1366	36.3507	0.966382	38.3666	24.1323	49.313	36.133
ENSOARG00020000249	2.92761	3.73237	1.5054	2.94556	3.60629	2.34926	2.71464
ENSOARG00020000250	3.8494	5.19884	0.371685	2.22069	2.18495	1.619657	2.01409
ENSOARG00020000251	0	0	0	0	0	0	0
ENSOARG00020000252	0	0.216355	0	0	0	0.151126	0.0695095
ENSOARG00020000253	20.377524	24.898773	22.948344	27.494624	20.657549	22.1620217	21.4396477
ENSOARG00020000254	0	0	0	0	3.51355	3.87273	0
ENSOARG00020000256	0	0	0	0	0	0	0
ENSOARG00020000257	0	0	0	0	0.0236045	0	0.0245749
ENSOARG00020000258	0	0	0.189451	0	0.047281	0.0267275	0.0740305
ENSOARG00020000259	14.245	12.7833	11.7191	15.1942	14.5162	15.3568	12.3283
ENSOARG00020000260	0	0	0	0	0	0	0
ENSOARG00020000261	0.455265	0.166053	0	0.192745	0.61476	0.172765	0
ENSOARG00020000264	531.3284	619.764	3.96911	767.04484	615.349	492.7953	381.74
