sample_SRR6798308	sample_SRR6798310	sample_SRR6798312	sample_SRR6798314	sample_SRR6798316	sample_SRR6798318
ENSBTAG00000004954	5.8554	4.62676	4.11771	5.17306	5.65976	4.7105
ENSBTAG00000004955	0.449272	0.0760328	0.0992096	0.259566	0.10184	0.0889036
ENSBTAG00000004956	3.52476	2.38578	1.56155	2.81469	3.33351	5.9862
ENSBTAG00000004958	33.603886	33.82698	37.51734	36.313486	40.6838	19.136767
ENSBTAG00000004961	14.2655	11.9629	14.2911	9.809	13.1508	16.3637
ENSBTAG00000004962	0.774072015	0.95789786018415	1.359859	1.0989120993	1.27663135533796	1.1490318182
ENSBTAG00000004964	9.41862	6.5072	9.08366	5.87185	8.58182	7.68405
ENSBTAG00000004965	13.931	11.2141	14.3873	12.4035	14.7659	14.9803
ENSBTAG00000004969	5.168766	7.211067	8.42654	9.06184	6.2885	6.7723
ENSBTAG00000004970	9.11041	11.0197	10.5774	22.3453	11.8826	12.5076
ENSBTAG00000004971	2.84806	2.76924	3.10301	2.654446	3.43175	6.00027
ENSBTAG00000004974	1.097247	0.668736	0.555743	0.528145	1.14437	1.03534
ENSBTAG00000004975	1.759747	2.07966000047172	1.95166000061126	1.80584	1.76624000046238	2.06552
ENSBTAG00000004976	1.9871	2.558552	5.304234	3.931179	4.260004	5.968461
ENSBTAG00000004977	3.04703	3.25429	3.01447	2.50674	3.01526	4.05685
ENSBTAG00000004979	12.4937	12.6017	14.8296	9.27954	13.7652	9.95902
ENSBTAG00000004982	17.829626	11.3564677	17.541745	13.8793283003461	16.378551	15.307784
ENSBTAG00000004987	4.91436	3.867873	5.147715	4.382141	5.218106	4.483022
ENSBTAG00000004988	1.384818	2.196487	2.302949	1.914111	2.189276	2.009719
ENSBTAG00000004989	4.653873	4.4672112	5.20608	6.20895	5.526902	5.361613
ENSBTAG00000004990	20.1161200128685	19.9058358	29.4674900638	24.39813	26.1558204517	25.65934
ENSBTAG00000004991	11.7919823	11.4519269013	11.91773348717	9.224220725995	11.79918	10.21931
ENSBTAG00000004992	13.325915	14.5402	15.656579	11.6534	15.48669	11.8397
ENSBTAG00000004993	7.80671	6.85912	8.90608	10.0699	8.43978	11.2325
ENSBTAG00000004995	5.09901	4.421073	4.2716	4.375019	4.57056	4.64014
ENSBTAG00000004996	21.6803	17.2898	17.3617	18.1653	21.3613	21.9963
ENSBTAG00000004997	8.60902	7.04689	7.30089	7.70927	8.14068	16.1533
ENSBTAG00000004999	4.938508	2.932743	3.566964	2.80215	3.785053	4.839813
ENSBTAG00000005002	7.84804	7.58068	6.26429	8.30574	7.34217	7.73129
ENSBTAG00000005003	0.0483121	0.675655	0.102147	1.50768	0.1651	2.89993
ENSBTAG00000005004	0.715584	0.277595	0.823587	0.18794	0.360286	0.114479
ENSBTAG00000005005	0	0	0.100726	0	0	0
ENSBTAG00000005007	0	0	0	0.08438	0	0
ENSBTAG00000005008	135.9137	91.2056	155.0957	126.5651	130.0418	140.795
ENSBTAG00000005009	104.07	133.212	94.5752	90.6554	111.464	93.4567
ENSBTAG00000005010	0.486188	0.45307	0.327452	0.242875	0.587435	1.01146
ENSBTAG00000005012	148.722	271.675	98.6139	66.4944	134.347	92.9928
ENSBTAG00000005015	5.371673	9.273819	4.805746	5.115398	5.572345	6.001791
ENSBTAG00000005016	31.660038	32.276745	28.512335	28.41199	27.942027	25.882712
ENSBTAG00000005017	2.10465	1.0334	1.07505	1.17302	1.8999	2.21548
ENSBTAG00000005018	8.586817	13.314794	8.111814	15.305972	12.727955	9.942149
ENSBTAG00000005019	0.0899071	0	0.0953098	0	0	0.082933
ENSBTAG00000005021	6.668039	7.66662358	9.7154693869	9.0422200591877	10.35435913	8.24781
ENSBTAG00000005025	13.0591	15.0799	14.2091	9.43635	13.4421	12.8761
ENSBTAG00000005026	7.26593	7.49876	8.31274	5.78035	8.09375	9.90901
ENSBTAG00000005027	91.09114	81.47844	80.16218	64.63285	84.34674	77.3697
ENSBTAG00000005028	20.6297	15.8193	21.5116	17.8698	23.5621	22.0262
ENSBTAG00000005029	9.022905	4.5144721	5.638076	5.535833	8.125474	4.282433
ENSBTAG00000005030	18.09677	18.3489	21.30098	22.54103	23.71706	24.04304
ENSBTAG00000005031	9.95845	5.52524	3.819651	4.455072	8.8755	3.22311
ENSBTAG00000005033	7.74659	8.88959	10.6426	15.349	12.5769	9.14091
ENSBTAG00000005034	10.027979	15.04543391616	12.29498	9.795836	12.599628	10.634945
ENSBTAG00000005038	0.283441	0.184621	0.481234	1.48408	0.478187	2.20138
ENSBTAG00000005039	41.959242	47.5224833	61.343797	72.9421	63.600786	60.978395
ENSBTAG00000005040	15.9786	11.9883	13.3052	11.8488	13.7939	14.7644
ENSBTAG00000005041	0.6152501	0.8907176	1.482287	2.4778322	0.887459	2.003695
ENSBTAG00000005042	63.4722	66.1085	67.8824	48.6575	77.0102	33.7208
ENSBTAG00000005045	0	0	0	0	0	0
ENSBTAG00000005048	0.3112937	0.393579	0.124461	0.255537	0.0669245	0
ENSBTAG00000005049	0.46215614732	0.6455139148	0.497106	0.472359689	0.6755086013	0.9365666009
ENSBTAG00000005052	0.184725	0.312034	0.260452	0.216957	0.210468	0.225861
ENSBTAG00000005055	0.13378	0.0271297	0.145165	0	0.0240588	0.24624
ENSBTAG00000005057	207.6305	153.6697	135.2958	134.8265	155.5697	160.6612
ENSBTAG00000005058	10.589736	14.172985	13.26771	9.0586836	12.933149	10.522059
ENSBTAG00000005062	0.312325	0.343734	0.283253	0.202132	0.422508	0.614572
ENSBTAG00000005063	14.6113	22.5964	19.3295	14.7607	18.0009	7.8698
ENSBTAG00000005064	5.0431	4.46317	4.78037000091518	6.146544	5.55183	12.38549
ENSBTAG00000005066	15.27574	14.430953	16.527021	12.090142	13.430721	17.840586
ENSBTAG00000005067	25.4437	24.4447	26.1013	24.3972	30.7322	30.6254
ENSBTAG00000005068	13.7864	13.2305	11.8908	12.7132	12.9172	14.5364
ENSBTAG00000005069	32.26256	38.07732	46.42345	43.00085	44.71854	33.268145
ENSBTAG00000005070	0	0	0	0	0	0
ENSBTAG00000005071	22.1316	18.474	18.2375	19.9043	21.0523	22.0302
ENSBTAG00000005072	0.075167	0.089789	0.0501533	0.0398242	0.0873133	0.202699
ENSBTAG00000005073	2.50249	1.51103	1.99326	8.33032	3.39142	7.34514
ENSBTAG00000005075	48.2408	51.017	53.4141	47.871	52.545	55.5247
ENSBTAG00000005076	18.7153	20.1907	20.4022	24.5281	23.0127	20.0522
ENSBTAG00000005077	20.00004	16.06161	18.27213	16.70925	26.03895	25.06505
ENSBTAG00000005078	953.642236	1523.69073	1038.747319	980.98851	959.731598	864.026551
ENSBTAG00000005082	120.74949	97.2098	88.41531	93.74394	107.14761	141.33654
ENSBTAG00000005083	5.57112	6.65164	7.36173	9.37111935671	8.52836	5.23375
ENSBTAG00000005085	0.1034293	0.0839373	0.0325741	0	0	0
ENSBTAG00000005086	9.05319	8.43964	8.13771	8.41118	9.57005	11.0965
ENSBTAG00000005087	0	0	0	0	0	0
ENSBTAG00000005089	110.445	105.906	94.6731	120.272	126.713	86.1927
ENSBTAG00000005090	3.04535	3.20341	3.247097	2.145132	3.13273	2.392392
ENSBTAG00000005091	2.726169	1.5176500683481	3.17816	2.6300422	3.293042	2.376899414734
ENSBTAG00000005092	0.462927	0.260639	0.299091	0.530748	0.608487	2.80508
ENSBTAG00000005093	2.76041	2.10962	2.47226	2.53857	3.26833	4.14695
ENSBTAG00000005094	3.00253	1.2589	2.06981	1.71314	1.84603	2.86486
ENSBTAG00000005096	475.139	593.888	517.964	399.474	496.598	437.493
ENSBTAG00000005098	0	0	0	0	0	0.214275
ENSBTAG00000005099	0	0	0	0	0	0
ENSBTAG00000005100	106.28299	102.017189	108.710896	72.915323	102.70159	70.179536
ENSBTAG00000005102	2.569174	2.450787	1.696272027659	1.27275233	1.89885675717	2.4921129759
ENSBTAG00000005103	0	0.0202555	0	0	0	0
ENSBTAG00000005104	18.54634	65.05026	31.0529	35.49775	44.11664	33.54211
ENSBTAG00000005105	3.20357	3.0367	2.49626	3.26871	2.55068	2.98112
ENSBTAG00000005106	66.6483	40.9163	33.5881	37.2698	44.8323	38.3406
ENSBTAG00000005108	3.1047	1.01944	1.23512	2.78936	2.05925	5.83203
ENSBTAG00000005110	6.857537	3.8220072	4.07663339	5.897764	6.606575	5.760864
ENSBTAG00000005111	2.337173	2.349087	2.335026	2.278319	2.694013	3.154641
ENSBTAG00000005112	0	0	0	0	0	0
ENSBTAG00000005115	6.19349	6.3229	4.91784	8.36705	6.18626	5.678343
ENSBTAG00000005116	8.36343	8.86291	9.4045266	7.906504	9.823853	10.957167
ENSBTAG00000005119	64.7614	62.1947	60.056	48.7267	65.7237	54.3378
ENSBTAG00000005120	0.0528018	0.0428238	0.0838311	0.0265793	0.138926	0.145579
ENSBTAG00000005122	0.7421151	1.3582352	1.3764562	0.616584	0.531105	0.530735
ENSBTAG00000005124	1.9685344	1.6634834	1.75629	1.619597	1.9955864	3.18379
ENSBTAG00000005127	169.085	171.139	161.444	164.172	170.646	198.765
ENSBTAG00000005129	0.096954	0.0314474	0.0615355	0.117127	0.0611959	0.142366
ENSBTAG00000005133	1.08978	0.834611	0.619129	0.690773	0.955399	1.59307
ENSBTAG00000005136	32.01262	38.89086	39.89528	35.75458	43.04667	38.35609
ENSBTAG00000005137	16.701092	10.89257	16.351939	11.774821136612	13.30499	14.27216
ENSBTAG00000005138	3.24405	3.364649	5.094925615	6.7174	5.786320114108	4.71129417
ENSBTAG00000005140	83.37657	182.25074	195.98494	197.84708	155.56027	84.15621
ENSBTAG00000005141	3.395146	1.668539	2.940871	3.12958	3.47715	2.295013
ENSBTAG00000005142	1589.61	1283.64	1050.51	1244.99	912.16	1418.32
ENSBTAG00000005144	13.2399	12.5866	14.3487	21.228	15.0161	10.0009
ENSBTAG00000005145	3.621848	2.8578654	2.65909000128858	2.5616609	3.405566	2.87649267777641
ENSBTAG00000005146	1.12956	9.71576	3.14104	7.43811	1.60647	4.63212
ENSBTAG00000005147	8.225802	7.090734	8.057362	6.414598	8.525665	8.892158
ENSBTAG00000005148	0	0	0	0	0	0
ENSBTAG00000005149	0	0	0.155102	0.0734929	0	0.1354
ENSBTAG00000005150	13.77935	16.71127	16.14521	9.82288	17.62455	14.07836
ENSBTAG00000005151	1.5575	1.82634	1.3297	1.22836	1.14479	2.68791
ENSBTAG00000005152	10.974129	8.934635	11.408836	10.250047	11.119144	11.665073
ENSBTAG00000005154	13.8784	19.2991	27.8664	39.3808	27.9163	65.7513
ENSBTAG00000005155	8.25926	5.87855	7.465871	6.372573	8.338519	13.08388
ENSBTAG00000005156	7.65061	7.58767	2.95434	6.94233	7.86315	39.3986
ENSBTAG00000005158	55.852631	53.142787	55.460264	48.320105	60.812688	37.415678
ENSBTAG00000005160	17.6445	17.6867	16.9193	13.311	17.3794	15.6086
ENSBTAG00000005161	8.289721	7.1693	9.73682	8.888525	8.188996	8.209458
ENSBTAG00000005162	0.16814	0.0909781	0.297351	0.112868	0.236378	0.103628
ENSBTAG00000005163	912.188	816.077	818.374	716.919	877.455	986.795
ENSBTAG00000005164	0.0467798	0	0	0	0	0
ENSBTAG00000005165	4.153316	3.140942	3.84515	2.743394	3.720282	3.411064
ENSBTAG00000005166	59.44133	51.28138	57.20409	52.05469	59.96216	67.66819
ENSBTAG00000005168	0.856484	0.3652472	0.1409389	0.269785	0.887555	2.22846
ENSBTAG00000005169	9.20134	18.58829	14.47323	8.37367	11.28348	6.07465
ENSBTAG00000005170	0.0297784	0.0241442	0.0710991	0.0149889	0.0424296	0
ENSBTAG00000005174	3.37072	4.86058	6.01466	4.39908	5.05993	4.13433
ENSBTAG00000005176	0.760348	2.417	2.75825	1.14845	0.601547	0.586632
ENSBTAG00000005178	13.463	11.7568	13.4258	14.4235	12.9442	18.3129
ENSBTAG00000005180	7.89087	8.63565	8.48563	6.33102	7.83385	8.07415
ENSBTAG00000005181	50.352673	57.280555	59.788396	62.456256	60.549149	63.171449
ENSBTAG00000005182	22.97349	27.56815	28.71358	36.50456	30.5949	32.79213
ENSBTAG00000005183	10.180383	12.7763	13.260602	16.0841128	13.3940923	16.415871
ENSBTAG00000005184	0.416477	0.33812	0.797124	0.167747	0.351899	0.154838
ENSBTAG00000005186	158.578	179.898	245.123	216.599	222.512	217.672
ENSBTAG00000005189	7.76494	6.85465	4.72551	2.68515	3.02273	14.35579
ENSBTAG00000005190	9.496987	6.030486	8.033878	5.954066	8.674917	6.533127
ENSBTAG00000005191	77.5881	71.4362	65.8276	73.8781	75.3583	77.1489
ENSBTAG00000005193	0.456362	0.740318	0.128852	0.2494099	0.678786	0.274443
ENSBTAG00000005195	3.43452	2.78485	2.66012	2.28758	2.11645	3.6281
ENSBTAG00000005196	9.33801	10.7786	6.50262	8.21798	9.43417	11.7036
ENSBTAG00000005197	13.364885	11.351094	14.9351	11.132428	12.5507	12.7149
ENSBTAG00000005198	46.412926	35.461799	31.787214	33.805054	47.57168	30.711172
ENSBTAG00000005200	0.0480176	0	0	0	0.0168342	0.0293588
ENSBTAG00000005202	0.089305	0.580093	0.475031	0.629424	0.566087	0.332383
ENSBTAG00000005203	8.32618	6.28229	6.84534	4.78232	6.49253	9.4369
ENSBTAG00000005205	0.888749	0.825022	0.9752	0.629737	0.638323	1.7418260854789
ENSBTAG00000005206	86.73991	177.88611	94.35542	66.71991	88.24604	75.59528
ENSBTAG00000005207	14.72837	17.71215	16.19617	18.33975	20.22364	16.91937
ENSBTAG00000005208	4.94306	5.10743	6.51058	7.38839	6.52084	4.35987
ENSBTAG00000005209	14.784676	14.261921	15.26603	11.19667	14.484677	13.015311
ENSBTAG00000005210	26.8541	28.2936	16.997	21.5729	27.647	30.759
ENSBTAG00000005211	722.4346	648.1923	523.9907	711.8846	719.8446	845.903
ENSBTAG00000005212	9.17045	15.5069	16.3511	12.728	13.95	14.0663
ENSBTAG00000005213	7.41738	6.40516	6.62155	6.79802	7.7546	8.95716
ENSBTAG00000005214	0.41188	0.108827	0.303194	0.131432	0.236477	0.174928
ENSBTAG00000005215	5.32896	5.19139	2.60528	3.72648	5.18893	3.20933
ENSBTAG00000005217	0.103274	0.168127	0	0.313227	0.548219	0.193973
ENSBTAG00000005218	6.8467	7.40926	8.48859	5.84647	5.73325	6.10743
ENSBTAG00000005219	0.0941057	0.2289953	0.235982000434099	0.399091	0.13209461	0.57714
ENSBTAG00000005221	58.024301	53.828593	87.112441	86.380781	72.922416	60.635357
ENSBTAG00000005222	1.94636	1.46653	1.52311	1.6331	1.26964	3.67729
ENSBTAG00000005225	9.96004	9.50362	10.6114	9.88916	10.0713	10.4897
ENSBTAG00000005227	10.25962	10.26366	11.08411	9.06767	10.23544	11.97382
ENSBTAG00000005228	0	0	0	0	0.0662996	0
ENSBTAG00000005230	10.42782	35.0145	11.82354	7.60926	12.65142	7.23224
ENSBTAG00000005231	1.48746	0.864093	0.222866	1.02578	1.5394	5.79556
ENSBTAG00000005234	8.81475	13.0964	5.01834	4.62372	10.7379	4.67593
ENSBTAG00000005235	27.5601	16.7658	13.9733	11.3076	24.8154	15.6575
ENSBTAG00000005236	2.96431	0.549445	1.09765	3.28268	2.42815	2.0994
ENSBTAG00000005238	1.0831337586693	1.0823556925	1.17972331328406	1.56868900507557	1.111881	2.12974876087
ENSBTAG00000005239	48.3799	44.4017	40.5994	45.089	41.7477	37.3953
ENSBTAG00000005240	6.68693	5.47059	6.83404	5.04186	4.57056	5.48314
ENSBTAG00000005243	0.1106619	0.0898913	0.4035244	0.222807	0.0495776	0.314788
ENSBTAG00000005244	5.88217	18.3533	6.02355	4.90151	5.98619	3.37168
ENSBTAG00000005246	25.512	19.6026	33.1781	23.3215	25.0998	23.84
ENSBTAG00000005247	3.91753	1.8651407291	2.879348	1.950014203	3.161887445	3.1974342
ENSBTAG00000005248	1.06648	1.0886	1.25202	0.744045	1.12774	2.06816
ENSBTAG00000005249	16.89475	15.609602	16.36002	13.869475	17.11741	15.272439
ENSBTAG00000005250	21.2088	15.1762	18.3079	24.8828	23.3077	16.821
ENSBTAG00000005251	0.257828	0.114049	0.272827	0.235969	0.22197	0.387508
ENSBTAG00000005252	7.33603	4.50386	4.460412	4.86422	6.07505	6.449663
ENSBTAG00000005257	9.28324	8.8827027567	8.56659	7.97076	9.690345	10.2728192657
ENSBTAG00000005259	0	0	0	0	0	0
ENSBTAG00000005260	442.84554	207.7417	323.79715	324.80251	307.94777	283.97213
ENSBTAG00000005261	0.0769225	0.0623536	0.127717	0.199116	0.138601	0.462633
ENSBTAG00000005263	37.8966	32.366	29.5983	24.627482	33.969295	29.253211
ENSBTAG00000005265	20.19687	22.24796	20.26342	22.00868	21.35637	23.5868
ENSBTAG00000005267	0	0	0	0	0	0
ENSBTAG00000005268	0.0358604	0	0	0	0.0377208	0
ENSBTAG00000005269	0.24909	0.259799	0.414622	0.179132	0.149886	0.196577
ENSBTAG00000005270	0	0	0	0	0	0
ENSBTAG00000005272	12.3673	11.251	11.4701	14.1813	11.307	10.2747
ENSBTAG00000005273	0.869036	0.897788	0.637274	0.338652	1.35611	1.0537
ENSBTAG00000005275	62.8153	61.0821	59.0237	71.7651	76.752	87.1011
ENSBTAG00000005278	5.49097	5.53722	3.71234	2.7639	3.91134	4.81411
ENSBTAG00000005280	4.959936	3.063729	5.26167	4.41744143499	5.036576	4.5497
ENSBTAG00000005284	0.373055	0.2123184	0.3328502	0.207543	0.444943	0.426226
ENSBTAG00000005285	218.95096	191.5039	170.12585	160.26982	195.85014	186.9793
ENSBTAG00000005287	0	0	0	0	0	0
ENSBTAG00000005288	0.1126272	0.113711	0.0533427	0.607708	0	0.228642
ENSBTAG00000005289	7.601135	8.958646	13.015866	14.82558	11.463778	13.2122
ENSBTAG00000005293	0.197138	0.3256803	0.2126881	0.2829165	0.299602	0.2219599
ENSBTAG00000005294	1.939736	1.538953	1.581226	2.1123312	1.160647	2.78105
ENSBTAG00000005295	14.4936	22.2205	20.957	14.6363	19.2807	12.6068
ENSBTAG00000005296	857.112195	725.38773	633.692532	854.34555	754.14226	812.212658
ENSBTAG00000005299	37.61502	11.625611	19.37232	25.76708	30.69145	33.3401
ENSBTAG00000005300	20.1541	19.6768	31.784	24.8906	29.7425	27.9001
ENSBTAG00000005301	3.63315	3.269046	4.014831	3.265667	6.45472	8.51615
ENSBTAG00000005304	20.0365	21.0306	30.2882	32.2869	32.9473	21.4576
ENSBTAG00000005305	216.39	83.3878	8.3122	9.31984	17.717	5.40423
ENSBTAG00000005306	0.760245	2.62947	0.975193	0.886293	3.54032	1.17993
ENSBTAG00000005308	0.0313885	0.0763803	0.0997099	0.0316013	0.0660891	0.115502
ENSBTAG00000005309	3.49276	3.049347	3.304891	2.38672	2.75877	3.83242
ENSBTAG00000005310	3.94171	4.86701	4.58145	2.91493	4.04039	3.91766
ENSBTAG00000005311	8.99995	11.3747	13.2765	14.2892	14.4101	10.2486
ENSBTAG00000005312	2.23522	2.06745	2.46894	3.01694	2.87341	3.03733
ENSBTAG00000005313	2.67512	2.56136	3.26312	3.31445	3.19472	2.97288
ENSBTAG00000005314	38.9224	38.5615	44.656	39.8116	44.0733	34.5293
ENSBTAG00000005315	3.29055	0.584358	1.10468	2.75324	2.50554	1.48325
ENSBTAG00000005316	201.19	226.2037	219.2358	180.9692	238.0611	198.3473
ENSBTAG00000005318	13.400026	13.66443	14.137843	10.151303	13.908094	12.349171
ENSBTAG00000005319	0	0	0	0	0	0
ENSBTAG00000005321	45.6464	51.5498	58.1899	32.78227	48.6495	32.34243
ENSBTAG00000005324	0	0.0847647	0	0.525365	0.110275	0
ENSBTAG00000005326	61.3638	63.5904	66.8627	58.8987	66.4378	80.2368
ENSBTAG00000005327	2.34222	2.80323	2.69121	3.76716	2.58562	2.6262
ENSBTAG00000005328	5.427741	3.926768	5.875064	3.743344	5.662574	6.379934
ENSBTAG00000005330	0	0	0	0	0	0
ENSBTAG00000005333	1.75544	4.34236	2.35977	1.62275	1.03745	0.710595
ENSBTAG00000005337	21.189	39.1396	13.4836	9.14349	22.6525	10.622
ENSBTAG00000005338	71.766406	68.768729	56.533262	58.944184	63.018529	73.784936
ENSBTAG00000005339	28.34368	23.434743	39.18963	37.37731	33.79911	26.487575
ENSBTAG00000005340	21.4341	12.0701	15.0987	16.0553	17.1428	12.1421
ENSBTAG00000005343	0.219441	10.934	0.132778	54.4433	0.396031	62.1761
ENSBTAG00000005344	16.857054	17.870318	11.1706	12.49189	16.45759	16.7806
ENSBTAG00000005345	290.5777	300.4755	229.3859	224.3271	258.6399	245.9986
ENSBTAG00000005347	22.5855	25.2114	18.2042	17.3773	20.8373	21.6988
ENSBTAG00000005349	270.54326	202.38964	233.06666	240.0984	225.73721	334.18323
ENSBTAG00000005351	12.19271	13.06747	12.02338	10.26309	11.19203	13.60554
ENSBTAG00000005352	1.1875	0.771201	1.01	0.63772	0.835925	0.735207
ENSBTAG00000005353	16.3948	7.03551	5.42301	8.85025	9.3201	22.9191
ENSBTAG00000005354	28.775419	30.1253790001343	26.83458713	18.4798516	27.509011	21.88434801
ENSBTAG00000005355	12.3974	10.6101	8.49853	9.48822	10.0458	10.3348
ENSBTAG00000005356	7.11101	6.04302	6.378941	7.70064	8.288052	9.66866
ENSBTAG00000005357	32.4457	32.2813	38.39906	38.2134	37.957	31.1753
ENSBTAG00000005359	7.434422	6.399736	6.289128	6.761577	9.65664	11.62771
ENSBTAG00000005362	7.89926	7.02563	8.58979	6.26398	9.34297	8.13516
ENSBTAG00000005363	0.0798414	0.194262	0.197186	0.482285	0.168058	0.146758
ENSBTAG00000005364	33.6715	31.5955	33.4922	31.2265	31.8364	32.8736
ENSBTAG00000005365	0.280741	0.223548	0.2499661	0.16255	0.186439	0.2168744
ENSBTAG00000005367	8.7453	7.02537	10.3448	12.1306	10.1689	12.5056
ENSBTAG00000005370	3.817367	3.2815798523	2.677331	1.995529345022	3.721718	2.554302
ENSBTAG00000005371	9.356995	9.448718	9.564773	9.267763	10.308665	9.632508
ENSBTAG00000005372	3.94707836	5.996498	6.5443529	3.829299	4.90366	3.5475282706
ENSBTAG00000005373	74.23679	128.31122	98.4461635	47.75955	73.769575	54.05474
ENSBTAG00000005376	3.57992	2.40472	2.748143360669	2.361707	2.83239	3.535718
ENSBTAG00000005377	6.53946	1.29436	2.68364	1.95309	4.61159	2.93593
ENSBTAG00000005378	0.473824	0.551106	0.627398	0.501297	0.475798	0.332578
ENSBTAG00000005379	11.022897	13.46463	16.69835	16.6393	17.2136	14.64358
ENSBTAG00000005380	37.659595	33.093451	34.6524	27.790183	43.4146	39.2143
ENSBTAG00000005384	46.3475	47.2433	51.4115	50.5538	57.3534	64.4845
ENSBTAG00000005385	10.7856	13.2049	10.334833	7.436391	9.79046	13.732
ENSBTAG00000005386	0	0	0.0789126	0	0.0392232	0
ENSBTAG00000005390	32.9044	24.4115	19.7459	21.3103	24.5739	26.0221
ENSBTAG00000005392	4.97346	4.86441	4.76979	4.80095	4.61926	4.73474
ENSBTAG00000005393	28.3575	37.7795	32.1255	26.6609	36.5042	32.9493
ENSBTAG00000005394	8.76005	8.60481	9.65663	10.5205	8.89577	11.2927
ENSBTAG00000005395	0.404896	0.333267	0.374962	0.20756	1.08388	0.375022
ENSBTAG00000005396	0.419039	0.151122	0.296187	0.375034	0.392502	0.515545
ENSBTAG00000005397	33.6295355	29.932546	26.870592	22.799708	32.471766	26.882086
ENSBTAG00000005400	14.9653	12.4534	11.2002	9.76179	13.65	14.0362
ENSBTAG00000005403	21.90267	15.55799	19.50987	19.788092	19.64513	24.91078
ENSBTAG00000005404	0.325652	1.16228	1.55187	0.360649	0.480002	0.719159
ENSBTAG00000005408	206.9549	107.6271	104.515	130.2582	152.1547	187.5669
ENSBTAG00000005410	27.05998	45.629300001367	28.01517	16.7562500160853	29.99699	18.05743
ENSBTAG00000005412	9.190491	7.9155272	9.941493	10.385724	9.970804	8.732264
ENSBTAG00000005413	0.413282	0.261425	0.3495728	0.654331	0.23092	0.3846846
ENSBTAG00000005416	39.96137	34.92557	17.45722	18.156023	19.72486	25.18367
ENSBTAG00000005419	0.0318061	0	0	0.0320193	0.016726	0
ENSBTAG00000005424	29.8415	22.9674	31.6234	16.295	28.8431	11.1108
ENSBTAG00000005425	0	0	0	0	0.0142869	0
ENSBTAG00000005426	125.64822	103.71415	111.3418	118.7027	107.97219	108.26855
ENSBTAG00000005427	4.152713	3.383255	4.9893428	4.2502426	4.46901	4.48045
ENSBTAG00000005429	0	0.0679676	0	0.0842992	0	0
ENSBTAG00000005430	4.83721	9.09562	10.2493	6.22928	5.29181	7.04567
ENSBTAG00000005431	11.7793	17.6539	12.78510147035	9.789718377	12.40575	8.52699
ENSBTAG00000005432	4.811572	3.522992	4.041011065826	4.418834	4.92898	4.26632000635567
ENSBTAG00000005433	0.0816565	0.0165539	0.129577	0	0.0644295	0.224865
ENSBTAG00000005434	0.376921	0.55023	0.106374	0.303572	0.396653	0.507924
ENSBTAG00000005436	11.5827	11.4006	10.5533	8.58834	10.9239	11.1254
ENSBTAG00000005437	0	0	0	0	0	0
ENSBTAG00000005439	2.95616	4.2698	1.71848	2.7948	3.94823	1.85893
ENSBTAG00000005441	99.8362	87.9648	81.9269	73.0389	97.3939	82.4042
ENSBTAG00000005442	5.448596	4.148378	2.567168	4.131605	6.53787	21.922218
ENSBTAG00000005443	10.92654	8.98317	10.909237	7.93813	10.845017	10.97343
ENSBTAG00000005444	5.40919	4.66675	5.51744	3.919797	5.39176	4.14701
ENSBTAG00000005445	4.29526	3.02882	3.53062	2.78875	4.01695	3.77331
ENSBTAG00000005446	53.636089	45.834381	42.643888	53.763783	50.06457	57.401603
ENSBTAG00000005448	13.477823	12.705507	13.761499	14.05839074962	14.363748	12.95917
ENSBTAG00000005449	0	0.0497722	0.0650968	0	0	0
ENSBTAG00000005453	6.65354	7.0729	7.910991	5.00652	6.116777	4.786884
ENSBTAG00000005454	4.83856	6.01697	5.63133	6.50875	7.9789	7.89378
ENSBTAG00000005455	38.9005	37.5414	40.2465	36.2609	40.978	37.4107
ENSBTAG00000005456	0.138072	0.0995103	0.0811135	0.0463323	0.112942	0.112545
ENSBTAG00000005458	9.801589685	11.3942770838414	12.0903265957	16.4072129078134	13.529898548	8.759843343
ENSBTAG00000005461	1.63487	2.09054	2.41678	5.88608	3.02843	7.59292
ENSBTAG00000005462	63.2142	59.4763	64.6742	64.82038	67.415	51.24551
ENSBTAG00000005464	7.83516	6.78966	9.47637	8.65656	9.62699	8.56913
ENSBTAG00000005465	80.6562	79.9471	85.8674	77.2753	88.5574	72.7513
ENSBTAG00000005466	0.296689	0.144493	0.12596	0.119498	0.187732	0.219571
ENSBTAG00000005469	45.1827	38.321	44.7548	47.7551	46.1877	47.3983
ENSBTAG00000005470	7.266597	5.2362	7.814	7.38974207024	9.31229	9.85056
ENSBTAG00000005471	0.09351578	0.1136367	0.2965042	0.235412	0.34421	0.171492
ENSBTAG00000005474	8.14451	6.79845	6.26944	5.19127	8.01498	6.17275
ENSBTAG00000005475	0.804767	0.528854	1.082174	0.796442	0.773537	1.971795
ENSBTAG00000005477	155.027	115.709	99.2547	147.825	142.943	126.714
ENSBTAG00000005478	14.34397	13.62412	21.18362	20.6653	19.54917	20.39737
ENSBTAG00000005479	0.321622	0.0948592	0.185726	0.353236	0.430876	1.07544
ENSBTAG00000005481	22.0677	20.2437	20.5401	18.624	22.8415	22.6957
ENSBTAG00000005482	9.36949	8.82097	8.2103924573	7.7489852	8.37696	7.613906
ENSBTAG00000005483	9.295601	6.598518	9.69863	7.600995	9.37657	8.46298
ENSBTAG00000005488	24.3205	20.927	26.9016	27.8825	26.952	30.212
