sample_SRR6798308	sample_SRR6798310	sample_SRR6798312	sample_SRR6798314	sample_SRR6798316	sample_SRR6798318
ENSBTAG00000000115	6.10331	5.16918	5.76363	4.857	5.50542	6.11138
ENSBTAG00000000118	0	0	0	0	0	0
ENSBTAG00000000120	0.143566	1.11915	0.221802	0.333519	0.220619	0.283314
ENSBTAG00000000123	0.0216836	0.0351679	0	0.0218296	0.0228139	0
ENSBTAG00000000124	1.18069	0.167588	0.531255	0.891514	1.1807	0.48859
ENSBTAG00000000125	3.236332	2.76655629588	2.66071400061943	2.36646937	3.1649944916	3.7695581
ENSBTAG00000000128	0.841121	0.982203	0.585507	0.47321	0.580867	0.61609
ENSBTAG00000000130	9.18588	5.32198	6.78561	9.03306	8.67409	10.4981
ENSBTAG00000000131	19.3831	18.4546	19.8828	17.505	18.1965	20.6406
ENSBTAG00000000132	77.4761	76.5878	88.6025	73.7285	84.4483	102.297
ENSBTAG00000000133	12.0824	8.33276	8.27848	11.5134	11.229	13.1306
ENSBTAG00000000134	66.0635	69.0902	69.1249	70.8338	78.3667	82.3421
ENSBTAG00000000137	9.38582	10.5238	12.8865	8.29201	9.99492	8.55068
ENSBTAG00000000138	0.157154	0.0364124	0.0237545	0.0226017	0.0236219	0
ENSBTAG00000000139	22.51296	22.64796	23.18405	23.232510397	25.88525505	21.0105458
ENSBTAG00000000140	30.8981	30.1357	28.0579	25.5839	35.0288	46.8727
ENSBTAG00000000141	106.5983	92.8714	66.349	74.5481	68.2599	95.002
ENSBTAG00000000144	0.438864	0.3390103	0.952132	0.4550977	0.143931	0.504063
ENSBTAG00000000145	0	0	0	0	0	0
ENSBTAG00000000146	14.503	12.69972	12.64556	13.50505	16.16865	13.97336
ENSBTAG00000000147	16.31242	12.134322	13.764904	10.885687	13.6008	14.05675
ENSBTAG00000000149	14.1278726	8.922171750826	15.010105713	11.247695	11.770135695	12.097999
ENSBTAG00000000152	9.675263	8.291966	9.35488	7.209033	9.364604	9.815634
ENSBTAG00000000153	3.74543	6.47971	7.93737	10.39039	7.65551	3.73319
ENSBTAG00000000154	1.46964	0.903975	2.36779	1.55453	1.80572	2.69877
ENSBTAG00000000157	2.96369	2.16545	2.40217	2.41923	2.41663	5.54588
ENSBTAG00000000160	12.6644	11.220179	11.9006	17.0721	14.313105	17.2844
