sample_SRR5570209	sample_SRR5570210	sample_SRR5570211	sample_SRR5570212	sample_SRR5570213	sample_SRR5570214	sample_SRR5570215	sample_SRR5570216
ENSPANG00000000271	3.45876	4.77337	2.59246	0	4.3908	8.31159	3.40967	6.0468
ENSPANG00000000274	15.4262	6.837256	13.589984	2.09242	7.078517	12.99942	8.262882	14.039369
ENSPANG00000000275	0.71874192093	8.53121	2.75047572022	0.590672	3.02004	10.5049	0.7789006	12.17673
ENSPANG00000000276	0	0	0	0	0	0	0	0
ENSPANG00000000277	0	0	0	0	0	0	8.84499	0
ENSPANG00000000279	0.290114	8.10771	1.00279	0.264727	1.59102	5.43241	0.259997	5.76599
ENSPANG00000000280	3.96554	14.6093	8.66574	12.389	8.66444	12.5334	10.8969	15.5651
ENSPANG00000000281	11.9985	12.4192	24.8952	7.52714	18.9557	14.9314	17.2495	15.297469
ENSPANG00000000282	23.0215	20.59873	18.10502	9.06956	20.324	24.12519	15.03442	26.3616609193
ENSPANG00000000283	54.6137400487011	71.8043	62.59860268	27.36551096	82.7509400097383	78.9592	59.827845	89.39538
ENSPANG00000000284	31.64493	23.06398	32.8987	1.524310978074	26.86547	25.9269	26.59	39.0893
ENSPANG00000000290	0.245089	3.04419	0.300605	0	0.448033	2.77654	0	1.42075
ENSPANG00000000291	18.64619	49.19751	27.8546039	3.50569	41.1809	52.65077	19.23305	68.13681
ENSPANG00000000294	0.154776	0.480606	0	0	0	0.956402	0	0.897211
ENSPANG00000000295	0.248868	1.54556	0	0.624499	0.341205	6.15131	0.490672	2.67921
ENSPANG00000000300	0.306899	4.781734	0.971347	3.532988	2.171602	11.96247	2.047988	7.4328343366
ENSPANG00000000301	1.18338185518	2.81634	2.0398448895	0.6420573711	1.07313	2.4374740732	1.6892	1.80105331592
ENSPANG00000000304	3.64091	4.61384	4.25682	13.6027	5.68194	3.47094	4.37685	4.05154
ENSPANG00000000305	0.196157	0.730922	0.115482	0	0.430298	0.775749	0.556913	0.467831
ENSPANG00000000308	2.73418	6.69058	9.91621	4.19294	2.43753	1.40232	6.4536	0
ENSPANG00000000309	0.927927	0.411626	0.812939	0	1.6357	1.63826	0.914758	0.878213
ENSPANG00000000311	0	0	0.240588	0	0	0	0	0
ENSPANG00000000312	10.33498	33.213	7.13834	9.06365	16.41921	27.23373	12.45762	12.940019
ENSPANG00000000313	0.495554	4.70856	1.856836	5.59847	1.962767	4.423123	4.55585	4.668512
ENSPANG00000000314	0.285319	2.6579	0	0	0.248249	2.23774	0.562538	0.945114
ENSPANG00000000315	2.64038	5.89293	2.63125	0	4.52504	4.75873	1.46413	7.7896
ENSPANG00000000317	0.174361	0	0.427713	0	0.796848	0.718285	0.343774	0.721962
ENSPANG00000000318	1.43801	0	0.755885	0	0.563299	1.26941	0	1.7012
ENSPANG00000000319	0	0	0	0	0	0	0	0
