sample_ERR2928440	sample_ERR2928435	sample_ERR2928431	sample_ERR2928429	sample_ERR2928424	sample_ERR2928423	sample_ERR2928419	sample_ERR2928417
ENSFDAG00000006181	0.237436	0.369031	0.14639	0.20171	0.192011	0.193538	1.24856	0.247603
ENSFDAG00000006182	1.02398	0.859413	0.795477	0.260973	0.347793	0.350559	0.215384	0.576628
ENSFDAG00000006183	8.37557	8.5318	7.32719	4.80767	5.76639	4.79741	7.27437	7.19984
ENSFDAG00000006184	11.6366	15.1973	12.655	14.8286	15.5533	9.35347	11.1428	14.4945
ENSFDAG00000006185	30.4736	34.0796	36.59	45.6312	35.4123	49.9402	33.2163	56.4137
ENSFDAG00000006186	54.7971	82.1394	68.7712	74.8628	75.0051	78.1823	67.5674	85.3346
ENSFDAG00000006187	331.971	427.9	326.412	429.424	424.264	441.576	363.682	436.538
ENSFDAG00000006188	22.8135	25.394	29.437	30.9992	28.3341	30.4091	28.3737	29.0597
ENSFDAG00000006189	1.4984	0.222976	0.619163	0.203129	0.0773448	0.1949	0.167646	0.299214
ENSFDAG00000006190	9.12331	15.0792	8.60532	13.4189	12.6085	13.2082	10.2235	20.164
ENSFDAG00000006191	851.898	718.921	779.402	728.577	700.166	731.521	619.447	671.409
ENSFDAG00000006192	1.64529	17.695	1.25698	4.60484	4.12116	2.15219	6.24803	4.20393
ENSFDAG00000006193	177.97607	129.81025	131.031	129.38744	147.2735	155.8285	128.57129	136.995
ENSFDAG00000006194	0.448253	0.335332	0.27768	0	0.179366	0.537385	0.396188	0.454146
ENSFDAG00000006195	0	0	0.142934	0.393896	0.562434	0.944844	0.270907	0
ENSFDAG00000006196	0	0	0	0	0	0	0	0
ENSFDAG00000006197	13.5825	11.9846	12.0873	12.3664	11.6333	13.5219	11.5245	11.3775
ENSFDAG00000006198	99.5981	56.6674	54.9494	44.6565	63.1246	62.9822	62.3498	44.5128
ENSFDAG00000006199	6.34311	5.76483	4.07654	3.28803	4.56447	4.07497	6.97259	3.5316
ENSFDAG00000006200	10.6803	17.9509	16.3092	7.27977	15.6672	13.9697	13.2788	13.9869
ENSFDAG00000006201	13.8738	23.4917	18.4718	19.6607	20.7465	24.8496	18.5533	17.4924
ENSFDAG00000006202	0.565048	4.17153	1.39351	12.2407	8.22505	5.29668	11.39	10.901
ENSFDAG00000006203	0	0	0	0	0	0	0	0
ENSFDAG00000006204	89.2937	68.2989	82.5694	90.151	91.1828	99.8035	76.0476	85.0848
ENSFDAG00000006205	0	0	0	0	0	0	0	0.164333
ENSFDAG00000006206	8.44747	11.6144	8.61366	8.83254	11.298	7.68019	7.78319	6.43751
ENSFDAG00000006207	39.999	45.83283	36.51299	42.0429000151447	50.1695	44.8308	46.95733	46.079
ENSFDAG00000006208	21.9471	17.624	29.7691	17.4019	20.7064	23.2563	26.5013	20.5982
ENSFDAG00000006209	0.381085	0	0	0	0	0	0	0
ENSFDAG00000006210	108.291	145.379	127.761	147.221	129.64	128.214	127.695	163.44
ENSFDAG00000006211	63.9179	123.556	11.9452	11.7294	105.567	83.5346	78.2904	100.253
ENSFDAG00000006212	43.20299	37.32426	41.88953	34.43552	47.771688	40.9065	41.68837	34.2138
ENSFDAG00000006213	0	0	0	0	0	0	0	0
ENSFDAG00000006214	0	0	0	0	0	0	0	0
ENSFDAG00000006215	0.669932	0.223121	0.354038	0.731741	0.928741	0.702094	1.17428	0.748522
ENSFDAG00000006216	3572.63	6133.11	4722.42	5466.99	5003.06	4890.96	5711.95	5569.16
ENSFDAG00000006217	0	0	0	0	0	0	0	0
ENSFDAG00000006218	18.6476	8.19079	19.2452	20.3189	17.3749	13.8783	15.8694	16.9097
ENSFDAG00000006219	26.3617	23.2758	29.8783	31.0198	25.3099	31.8204	36.6713	35.7963
ENSFDAG00000006220	0	0.181684	0.432432	0	0	0.190568	0	0.487609
ENSFDAG00000006221	31.4156	27.0673	41.4753	31.6204	34.7944	46.4831	35.5139	24.2146
ENSFDAG00000006222	0	0	0	0	0	0	0	0
ENSFDAG00000006223	7.71168	2.23615	4.82557	2.20008	2.55969	2.3455	3.32889	3.54085
ENSFDAG00000006224	0	0	0	1.53439	0	0.911834	0	1.16656
ENSFDAG00000006225	0	0	0.352891	0	0	0	1.00327	0
ENSFDAG00000006226	0.330616	0.578086	1.83456	0.210653	0.802094	1.81906	1.15903	0.25858
ENSFDAG00000006227	32.0424	22.904	21.8756	23.5938	26.2179	26.1491	19.2736	27.307
ENSFDAG00000006228	36.3148	26.8186	43.8061	20.9824	22.9831	28.6816	26.8849	16.5828
ENSFDAG00000006229	5.53166	14.2022	11.8505	17.801	18.0068	19.0917	12.4577	19.2772
ENSFDAG00000006230	0	0	0	0	0	0	0	0
ENSFDAG00000006231	44.8028	65.5866	57.1106	86.3999	54.8907	60.0291	60.7969	80.1857
ENSFDAG00000006232	83.8481	81.4135	63.1837	94.2939	77.4257	89.2329	91.4757	111.006
ENSFDAG00000006233	0	0	0	0	0	0	0	0
ENSFDAG00000006234	29.5243	32.391	27.4228	25.4839	24.9067	29.9766	25.9568	24.7125
ENSFDAG00000006235	6.44935	55.7785	7.16539	8.09894	10.9735	3.72136	12.4389	9.67765
ENSFDAG00000006236	136.626	135.955	142.38	132.488	142.286	146.677	158.292	131.356
ENSFDAG00000006237	0	0	0	3.75383	14.2933	10.8052	2.58174	4.6079
ENSFDAG00000006238	12.8756	3.50551	4.68164	3.39312	6.52911	7.37259	2.22775	2.01971
ENSFDAG00000006239	0	0	0	0	0	0	0	0
ENSFDAG00000006240	17.4664	16.7007	14.7841	17.3915	15.3421	25.5068	14.9787	18.7853
ENSFDAG00000006241	67.0249	51.6039	42.4718	33.2151	49.1835	40.9749	38.0734	34.3004
ENSFDAG00000006242	61.4971	70.2696	86.3637	98.1027	121.567	96.7273	87.8324	67.6934
ENSFDAG00000006243	4.70406	4.6304297408	5.3171579664	1.7317140952	3.1700938495	3.450921771	2.1071748875	3.59737
ENSFDAG00000006244	28.4985	34.3637	30.9125	29.1224	30.6724	32.0939	22.8208	37.3233
ENSFDAG00000006245	606.832	625.37	775.045	905.448	692.604	737.127	803.118	944.168
ENSFDAG00000006246	42.4378	46.5175	47.6947	52.1133	44.238	50.2873	44.7891	53.6181
ENSFDAG00000006247	0	0	0	0	0	0	0	0
ENSFDAG00000006248	49.6126	52.4894	56.1361	52.6452	45.8312	47.2559	50.3212	54.9344
ENSFDAG00000006249	17.0136	20.6256	16.7235	25.2733	14.3877	14.7398	21.3015	23.1155
ENSFDAG00000006250	16.4362	15.6982	13.3372	17.9719	17.8795	23.2078	18.1224	20.2363
ENSFDAG00000006251	0	0	0	0.480029	0	0.460581	0.330146	0
ENSFDAG00000006252	122.517	115.744	138.602	117.192	132.591	120.142	136.505	111.888
ENSFDAG00000006253	21.6828	17.7973	19.934	19.1288	20.2323	18.05563	22.0393	21.21434
ENSFDAG00000006254	5.22795	13.1041	6.51176	13.5551	15.6892	17.9939	9.45509	13.8502
ENSFDAG00000006255	9.51062	5.78249	10.9412	10.0236	9.68708	9.61133	5.05868	12.5019
ENSFDAG00000006256	0	0.384528	0.152537	0	0	0	0	0.258001
ENSFDAG00000006257	0.615509	0.689221	0.965861	0.664082	1.03338	1.01772	0.74233	1.10115
ENSFDAG00000006258	24.822	28.5948	33.39677	26.02729	29.56489	27.03236	29.06532	27.9965
ENSFDAG00000006259	38.3727	44.7474	36.5633	18.27524	22.5684	20.37831	37.3674	19.4017
ENSFDAG00000006260	0.130808	0	0.120973	0	0	0.0799677	0	0
ENSFDAG00000006261	6.2253	6.39732	6.64662	8.12088	6.93665	8.06493	7.15243	8.97063
ENSFDAG00000006262	0	0	0	0	0	0	0	0
ENSFDAG00000006263	105.839000017854	108.8243	96.4266000050742	91.96	109.3649	100.0027	129.33377	102.6039
ENSFDAG00000006264	3.43389	2.93062	2.4385	3.97869	2.82653	3.82367	2.74082	3.25181
ENSFDAG00000006265	15.75326	24.1231	22.86158	36.23433	32.75644	38.94346	31.50453	44.73512
ENSFDAG00000006266	10.44741	10.11124	11.9661	11.22688	13.24665	11.48081	14.75386	11.3371
ENSFDAG00000006267	3.6231	3.87142	3.62994	4.55282	3.47933	5.84499	3.79279	4.64411
ENSFDAG00000006268	1.2487	24.71531	0.394933	4.153312	4.61156	0.96277	8.99828	2.61122
ENSFDAG00000006269	1.34427	2.45732	2.26038	2.37486	4.33603	2.27864	2.49017	2.24612
ENSFDAG00000006270	26.134	27.3186	24.4542	30.0556	26.8992	25.5578	23.9547	27.2384
ENSFDAG00000006271	0.238332	0	0.440828	0.303708	0.0722761	0	0.0522197	0.372808
ENSFDAG00000006272	36.4769	47.0063	40.794	43.2685	45.3113	40.4349	48.0624	47.2567
ENSFDAG00000006273	32.1212	17.9414	24.6315	16.8846	20.375	22.5825	18.3572	13.6081
ENSFDAG00000006274	82.333	79.0939	70.0211	73.8113	88.8314	104.714	104.793	82.8387
ENSFDAG00000006275	18.6832	15.4353	12.917	4.85409	8.36124	9.09307	8.90256	7.37718
ENSFDAG00000006276	0.347017	0.314618	0.499221	0.589607	0.608027	0.330003	0.337924	0.542816
ENSFDAG00000006277	0.327309	0.535699	0.302702	0.0976035	0	0.200097	0.28686	0.127997
ENSFDAG00000006278	59.3019	36.10463	58.97033	50.11059	52.61849	56.7192	49.560619	44.03695564
ENSFDAG00000006279	16.95048	25.11904	25.73215	36.82521	40.07387	34.69452	27.39956	29.72447
ENSFDAG00000006280	29.1281	30.238200885237	26.2267000010403	21.5705114293	28.7999303145	27.2818409117202	22.5421002033	20.25252809
ENSFDAG00000006281	0	0	0	0	0	0	0	0
ENSFDAG00000006282	9.07625	12.6171	9.97123	12.6151	12.1599	15.4916	9.8703	12.5691
ENSFDAG00000006283	0	0	0.182858	0	0.166047	0.334735	0.359908	0.214122
ENSFDAG00000006284	103.653	106.719	119.938	129.904	128.551	116.272	133.801	124.088
ENSFDAG00000006285	21.31819	22.87343	35.3982	35.19215	38.78944	42.9485	30.5733	40.1518
ENSFDAG00000006286	55.3172	48.2882	60.8328	54.2812	61.0105	54.1285	45.6205	51.1844
ENSFDAG00000006287	219.416	76.7369	132.785	102.8	109.041	146.338	100.215	90.751
ENSFDAG00000006288	11.3979	14.3154	10.0585	8.84758	9.05503	9.32332	12.0645	7.09391
ENSFDAG00000006289	64.3946	68.6351	71.7272	63.4705	59.1239	60.0291	67.5057	68.1724
ENSFDAG00000006290	0.759223	1.32751	0.819168	2.25746	0.613974	0.928285	1.66349	1.7814
ENSFDAG00000006291	144.192	120.157	149.144	159.499	158.72	149.702	144.177	162.896
ENSFDAG00000006292	0.68613	0.266602	0.211515	0	0	0.279639	0.200446	0.357756
ENSFDAG00000006293	42.3124	31.1315	38.9055	35.7484	35.1162	41.4002	34.1467	38.9054
ENSFDAG00000006294	16.5156	17.2546	18.2921	17.6978	19.2808	18.9941	16.8037	17.9041
ENSFDAG00000006295	30.9603	20.6985	25.8958	14.7948	12.9789	12.8037	7.78114	12.1073
ENSFDAG00000006296	0.0968796	0	0.0597307	0.0823028	0.0391727	0.197421	0.0849071	0
ENSFDAG00000006297	0	0	0	0	0	0	0	0
ENSFDAG00000006298	18.7666	22.6712	17.8816	12.4645	14.3485	14.6017	21.1324	16.012
ENSFDAG00000006299	16.91621245	31.7348000164709	16.9888	28.56206	21.99629	22.622013309	22.374918905	28.7348000363874
ENSFDAG00000006300	0.259312	0.302274	0	0	0.314554	0	0	0
ENSFDAG00000006301	4.06104	9.7059	6.46631	6.8226	3.95749	5.48072	5.48783	4.68912
ENSFDAG00000006302	0.234475	0.273322	0.144565	0.497987	0.616255	0.621155	0.410996	0.61129
ENSFDAG00000006303	73.9231	84.8721	74.9317	40.9799	51.6748	50.724	53.3186	50.9569
ENSFDAG00000006304	17.85081	31.20707	23.97251	39.46449	45.2751	40.57609	45.07794	36.75585
ENSFDAG00000006305	18.7448	23.1378	18.4988	24.5512	20.9517	21.3809	19.1977	26.8738
ENSFDAG00000006306	3.70453	6.39745	2.09368	2.71003	5.40909	2.26472	2.58535	1.50234
ENSFDAG00000006307	40.7503	39.7533	49.2098	49.06	43.9353	46.5632	57.3655	39.8603
ENSFDAG00000006308	57.3897	41.1828	41.2636	22.616	37.4234	39.749	30.5273	21.5347
ENSFDAG00000006309	67.088	9.88092	17.8226	12.4635	15.6432	17.6278	12.1912	7.47962
ENSFDAG00000006310	33.4592	25.412	26.6052	19.0768	26.9464	24.7145	29.8684	19.2086
ENSFDAG00000006311	33.247	48.4441	35.1562	37.2268	34.2506	42.7427	40.3866	35.9455
ENSFDAG00000006312	0.783453	0	0.724553	0.998359	0	0	0	1.22551
ENSFDAG00000006313	4.28776	4.20057	4.04978	2.32507	4.48188	2.84436	3.75788	4.13841
ENSFDAG00000006314	30.9724	24.6643	47.8191	33.1168	33.5523	35.4048	42.201	44.8547
ENSFDAG00000006315	66.0732	35.4917	48.1705	40.4784	48.6278	61.5649	40.3815	39.3093
ENSFDAG00000006316	0.881972	2.05619	0	1.1239	2.13972	0	0.772977	0
ENSFDAG00000006317	61.2774	50.5714	53.7365	52.3038	53.8871	57.9178	57.7927	51.9362
ENSFDAG00000006318	10.2371	8.52369	4.25071	10.1167	6.33569	10.4732	6.59168	5.22882
ENSFDAG00000006319	96.4042	68.9098	95.8432	69.8266	98.683	89.571	88.715	67.3616
ENSFDAG00000006320	0	0	0	0	0	0	0	0
ENSFDAG00000006321	1.60065	1.82322	1.59183	2.03763	2.08783	1.86025	1.332	2.56669
ENSFDAG00000006322	9.40984	12.3955	12.4229	12.9494	14.3873	11.9311	12.388	12.6067
ENSFDAG00000006323	64.66530820798	39.6940154	39.0901020032963	48.774286344106	42.4026749	54.40421	46.13443	51.033365478495
ENSFDAG00000006325	137.9962	168.8175	143.0816	184.7345	166.7597	165.6211	150.0304	202.4448
ENSFDAG00000006326	0	0	0	0	0	0	0	0
ENSFDAG00000006327	13.5644	18.0492	14.3435	18.0563	15.9884	15.74	15.3424	19.8968
ENSFDAG00000006328	0	0.0662902	0	0.144936	0	0.139063	0.0996811	0
ENSFDAG00000006329	11.8842	11.8897	9.60608	11.8052	13.2808	17.963	13.778	14.6376
ENSFDAG00000006330	16.86197	17.69358	13.54114	14.61538	15.62901	18.29771	11.77004	18.86242
ENSFDAG00000006331	0.801211	2.94002	0.493984	1.19115	0.971894	1.30616	1.05329	0.20888
ENSFDAG00000006332	2.85629	4.77229	2.81765	3.76111	3.93741	3.02668	3.09377	3.12753
ENSFDAG00000006333	32.6466	33.6303	31.5965	35.7968	32.2336	38.988	35.9315	41.5661
ENSFDAG00000006334	16.1312	22.4364	14.8337	16.8187	19.2342	15.8011	16.1459	17.3477
ENSFDAG00000006335	0	0.11648	0	0	0	0	0	0
ENSFDAG00000006336	6.18662	7.35028	4.73125	4.69987	5.48411	6.54598	4.48364	5.76918
ENSFDAG00000006337	186.715	153.048	164.078	156.41	165.582	158.258	176.354	161.16
ENSFDAG00000006338	0.777936	0.302274	0.359725	0	0.157277	0.792637	0.454532	0.202813
ENSFDAG00000006339	11.6705	17.3696	12.4133	18.0765	14.2421	20.0804	12.5799	18.8654
ENSFDAG00000006340	122.6209	97.8708	88.3785	96.255	109.4823	126.1181	104.1786	92.0587
ENSFDAG00000006341	15.3249	21.5028	19.1595	22.7834	17.7289	26.5446	13.6797	19.7545
ENSFDAG00000006342	21.5506	26.5972	20.1142	22.7077	18.9895	25.5537	17.733	29.2123
ENSFDAG00000006343	0.0494259	0	0.0914201	0	0	0.241728	0	0
ENSFDAG00000006344	0.996422	2.00624	1.29849	0.923451	1.04387	0.775283	1.42901	0.637625
ENSFDAG00000006345	14.8168	7.83077	10.8578	6.96043	10.8144	8.44399	9.07901	7.07095
ENSFDAG00000006346	128.174	124.89	125.803	118.621	114.77	114.029	114.515	120.352
ENSFDAG00000006347	11.2932	7.88001	9.78225	7.90493	9.16486	8.94602	11.9886	6.59338
ENSFDAG00000006348	39.9255	27.1484	38.2257	20.2205	26.0782	23.7822	20.5238	24.6208
ENSFDAG00000006349	11.7721	6.57868	5.7317	4.76509	5.29195	5.84204	7.40415	5.52428
ENSFDAG00000006350	0.163837	0	0.303039	0	0	0.200319	0	0.477605
ENSFDAG00000006351	0.26043	0.759456	0	0.164403	0.796658	0.635513	0.113594	0
ENSFDAG00000006352	37.7238	56.1878	47.7085	55.635	60.6481	60.9372	46.3635	58.7907
ENSFDAG00000006353	13.4173	18.5859	18.6407	20.2412	17.6623	17.6556	15.5031	20.9878
ENSFDAG00000006354	16.9907	22.0047	16.1302	19.5119	19.24	19.0943	15.5009	23.3887
ENSFDAG00000006355	15.1279	17.6739	13.6028	18.0328	14.8158	16.4191	14.597	20.1341
ENSFDAG00000006356	8.08814	6.32678	8.35347	6.64515	7.74566	8.97834	8.48766	9.82175
ENSFDAG00000006357	73.2594	97.1932	76.4477	107.876	100.214	108.017	78.0837	124.472
ENSFDAG00000006358	10.4246	14.9581	11.539	19.0924	15.8494	16.5176	12.3771	18.1907
ENSFDAG00000006359	42.835	42.1555	35.7181	35.7934	41.5256	40.1386	38.003	38.1703
ENSFDAG00000006360	0.239495	0.279173	0	0	0.581029	1.46412	0.419795	0
ENSFDAG00000006361	11.4723	85.4144	255.662	17.9203	12.1206	71.4919	28.5419	9.26211
ENSFDAG00000006362	3.21399	4.13403	2.56238	5.22542	5.37747	10.8405	6.50778	8.84134
ENSFDAG00000006363	13.1274	19.7909	10.7645	9.70241	10.1913	7.27625	9.58757	8.35062
ENSFDAG00000006364	0.0622524	0.435397	0.115145	0	0.377571	0.228344	0.218237	0
ENSFDAG00000006365	1.03162	1.00858	1.01562	1.2722	1.17066	1.01721	1.0208	0.936988
ENSFDAG00000006366	0	0	0	0	0	0	0	0
ENSFDAG00000006367	0	0	0	0	0	0	0	0
ENSFDAG00000006368	28.8166	24.6399	20.45825	13.276	26.7905	25.9002	24.41715	15.73709
ENSFDAG00000006369	48.3074	73.4799	57.5675	66.0272	54.3444	58.2068	50.7896	61.5758
ENSFDAG00000006370	0	0	0	0	0	0	0	0
ENSFDAG00000006371	38.5016	38.1806	41.4988	39.7973	36.7917	40.2169	48.6732	44.7358
ENSFDAG00000006372	73.96168	78.34888	68.0139	79.79465	76.09405	80.04738	76.23795	79.22247
ENSFDAG00000006373	48.5638	61.3149	47.5959	44.6323	54.8291	47.9136	40.3512	59.8514
ENSFDAG00000006374	0	0	0	0	0	0.125147	0.0897061	0
ENSFDAG00000006376	5346.32	3683.11	4127.41	2320.88	2919.65	2455.42	3319.96	2234.17
ENSFDAG00000006377	35.9128	35.6649	29.2446	28.647	31.4562	34.3865	35.4806	29.839
ENSFDAG00000006378	21.8333	25.4505	26.8173	29.5611	23.7946	23.8795	21.527	34.8194
ENSFDAG00000006379	14.4834	19.9353	16.9513	21.5845	25.2118	25.5124	21.1559	25.4715
ENSFDAG00000006380	0	0	0	0	0	0	0	0
ENSFDAG00000006381	29.0531	24.9018	20.5468	23.2107	20.3489	26.6694	25.2656	20.4014
ENSFDAG00000006382	22.3701	25.9523	25.9666	23.5539	26.0835	23.5409	25.7907	28.5616
ENSFDAG00000006383	10.1324	12.2373	10.6182	14.4847	12.1749	12.9306	10.2059	15.4772
ENSFDAG00000006384	230.155	263.413	244.461	290.781	307.819	265.471	267.656	311.168
ENSFDAG00000006385	8.95288	14.2311	10.4651	12.9142	8.69446	11.2033	10.2165	13.3062
ENSFDAG00000006386	12.0533	10.4991	12.2496	8.94573	9.31893	11.6603	10.0994	11.1882
ENSFDAG00000006387	220.036	188.699	243.411	279.693	266.911	266.875	256.576	254.757
ENSFDAG00000006388	77.4738	88.6485	96.85	93.0514	108.453	92.3301	103.644	75.2197
ENSFDAG00000006389	324.7759	257.4094	252.0938	327.292	372.365	432.2647	238.1258	321.8272
ENSFDAG00000006390	54.228	49.1471	60.1556	41.3557	45.4237	46.9719	47.5264	37.3145
ENSFDAG00000006391	104.166	126.22	78.3361	94.1735	90.5812	111.218	134.422	101.116
ENSFDAG00000006392	50.1782	58.5885	39.8643	35.6296	35.6324	34.593	47.7695	31.5003
ENSFDAG00000006393	17.7645	17.438	16.0254	16.9184	22.305	21.7202	16.9895	17.5502
ENSFDAG00000006394	6.47586	7.43524	7.65511	6.82514	6.14258	6.31049	9.64419	6.55007
ENSFDAG00000006395	153.323	149.762	158.511	179.492	162.711	169.619	178.014	178.536
ENSFDAG00000006396	6.21241	1.62535	3.31954	1.83894	1.47368	4.57513	1.22808	2.42999
ENSFDAG00000006397	28.4316	35.88	29.3594	37.3881	34.3395	35.6332	31.6746	45.3186
ENSFDAG00000006398	6.5307	5.14027	6.35119	8.25525	5.7643	6.32571	5.47947	8.99772
ENSFDAG00000006399	790.1078	630.363	800.562	618.41578	740.184778	745.579	665.9806	505.85590801
ENSFDAG00000006400	0	0	0	0	0	0	0	0
ENSFDAG00000006401	33.00945	15.90404	13.5940849629	21.3913	24.44906	48.4978	16.52627164	34.9404
ENSFDAG00000006402	23.016	27.5389	23.1214	22.8614	23.5101	24.4143	25.5206	24.5929
ENSFDAG00000006403	0	0	0	0	0	0	0	0
ENSFDAG00000006404	43.5376	51.2726	39.0224	41.0753	49.5542	50.085	37.0782	43.4179
ENSFDAG00000006405	73.9725	33.1381	53.1885	38.2737	35.3992	47.7881	47.876	38.0059
ENSFDAG00000006406	42.1164	42.3029	35.7658	40.3273	40.6843	39.9229	37.4301	50.7979
ENSFDAG00000006407	5.50764200365691	5.0786600903977	5.72168182616	2.31832000340395	3.23918	4.29616575	3.637703	2.56124
ENSFDAG00000006408	152.704	67.5404	128.203	105.576	132.029	138.376	93.9678	109.268
ENSFDAG00000006409	85.6307	70.5408	91.7568	100.9186	101.5855	100.7396	83.7853	93.6523
ENSFDAG00000006410	0	0	0	0	0	0.206759	0	0
ENSFDAG00000006411	0	0	0	0	0.624614	0	0	0.800729
ENSFDAG00000006412	49.8064	47.5542	55.1531	70.567	55.0507	56.6904	49.8256	71.7582
ENSFDAG00000006413	30.7079	34.1385	31.7438	32.232	37.5032	35.6545	39.6458	31.3908
ENSFDAG00000006415	0.948214	0.736874	0.80385	1.4097	0.86266	0.772906	0.900285	1.11242
ENSFDAG00000006416	16.2315	15.736	13.8966	19.66	14.3284	18.5687	16.2679	21.2421
ENSFDAG00000006417	5.70426	10.6209	10.7854	7.73403	9.99347	7.42285	11.3566	9.45903
ENSFDAG00000006418	58.0464	58.8767	59.0761	66.8874	66.4076	64.5139	58.8776	80.9868
ENSFDAG00000006420	21.2964	27.8953	22.2141	30.7794	18.197	49.7846	24.2601	37.7823
ENSFDAG00000006421	29.1549	21.4063	25.4748	21.7124	29.1653	32.8694	24.7223	26.5043
ENSFDAG00000006422	24.3696	33.7903	37.1723	39.6294	34.8181	42.2273	38.9044	44.9085
ENSFDAG00000006423	391.852	332.825	406.463	299.604	315.771	312.504	338.25	268.589
ENSFDAG00000006424	80.5809	94.0311	86.7981	96.2464	78.7379	72.9772	83.8316	113.992
ENSFDAG00000006425	23.4046	18.9896	21.1779	19.7937	17.3101	20.6902	22.9472	22.1242
ENSFDAG00000006426	39.8864	34.96494	31.1820000811098	34.10373049	35.21166	35.62309	36.8909	30.978525971
ENSFDAG00000006427	0	0	0	0	0	0	0	0
ENSFDAG00000006428	10.6332	12.8539	11.6548	12.0444	4.77718	6.74123	18.2931	9.85647
ENSFDAG00000006429	10.4276	19.942	21.3214	25.5377	26.2861	21.4152	34.6279	27.5251
ENSFDAG00000006430	3.24955	36.8087	5.55317	3.69082	5.05579	2.59118	7.24374	6.40907
ENSFDAG00000006431	5.14882	11.3652	3.29269	10.9586	8.17255	13.8632	7.82491	14.3943
ENSFDAG00000006432	0.167755	0	0.283193	0.427543	0.203493	0.374402	0.268372	0
ENSFDAG00000006433	79.23	72.7036	85.9959	89.6279	84.1891	72.5914	87.8409	92.061
ENSFDAG00000006434	19.6322	13.0455	20.0859	15.4697	16.7967	16.6984	16.9567	13.0552
ENSFDAG00000006435	30.71610334506	25.2669	28.7491	27.352000392891	32.2574	32.32172	32.94439	25.553500228036
ENSFDAG00000006436	33.8399	29.7123	34.5321	26.3498	29.0381	31.3111	28.5079	25.3783
ENSFDAG00000006437	56.0671	69.5787	49.7961	51.8276	50.9334	53.4524	56.6425	54.4757
ENSFDAG00000006438	44.9273	40.4748	46.6714	43.4537	39.1753	44.8887	48.4826	42.244
ENSFDAG00000006439	1.32472	1.13257	1.55647	0.825984	2.37205	1.59099	0.863699	1.29284
ENSFDAG00000006440	30.824	39.8116	29.47543	38.9134	41.43751	43.2322010102	38.0822	43.76867
ENSFDAG00000006441	242.9128	212.511	251.431	197.1529	245.575	224.0908	182.3667	172.3103
ENSFDAG00000006442	0	0.254735	0.202101	0	0	0.534383	0	0
ENSFDAG00000006444	21.6128	11.5811	12.3886	12.8344	11.5356	13.2281	9.61494	16.12
ENSFDAG00000006445	0.209655	0.116876	0.092727	0.383305	0.121625	0.264882	0.0878741	0.313676
ENSFDAG00000006446	1.71693	2.0601	1.86573	1.77546	1.85878	1.66021	2.22378	2.15567
ENSFDAG00000006447	0.268042	0.156225	0.123945	0	0	0	0	0.209641
ENSFDAG00000006448	24.6398	29.4301	22.6656	20.0521	18.1884	17.1336	20.5002	22.6833
ENSFDAG00000006449	58.4329	82.2888	81.0809	78.0597	69.3341	66.3215	78.8732	93.9676
ENSFDAG00000006450	0	0	0	0	0	0	0.372009	0
ENSFDAG00000006451	57.46044	59.9591900014113	63.19959	60.1405300069398	59.74189	64.1151700030821	62.54528	57.49416
ENSFDAG00000006452	18.93212	29.408	36.9985	50.6861	39.71	28.886	37.1454	58.24
ENSFDAG00000006453	2.10017	3.18717	2.89509	2.77725	1.82656	2.61628	1.97954	2.7273
ENSFDAG00000006454	11.754	13.8903	13.4942	21.4859	22.616	30.1302	25.2917	25.7403
ENSFDAG00000006455	26.60673	14.193899	24.0581	21.6344	24.73956	22.40553	16.613509	21.7526
ENSFDAG00000006456	0	0	0	0	0	0	0	0
ENSFDAG00000006457	23.9078	30.8547	36.9165	26.3856	37.8048	26.8826	40.0357	25.7108
ENSFDAG00000006458	80.74	80.0038	92.9654	95.8289	87.8614	88.5601	79.4773	102.572
ENSFDAG00000006459	9.290476	4.370216	5.654522	8.580291	8.461111	12.167535	7.660254	5.37946410091
ENSFDAG00000006460	20.9165	20.7408	19.928	30.4576	20.5371	14.5627	18.8597	34.0679
ENSFDAG00000006461	0.734469	7.57366	0.365751	1.29591	2.056	1.38157	4.20882	1.14888
ENSFDAG00000006462	79.2825	82.5598	88.964	80.8241	89.3332	79.2728	82.4551	82.6776
ENSFDAG00000006463	5.54501	10.0995	8.33321	7.94929	4.62431	13.1358	7.59336	11.9263
ENSFDAG00000006464	1.0553	2.46027	2.23076	0.57633	1.82873	1.84327	1.18913	1.41491
ENSFDAG00000006465	0	0	0	0.420833	0	0	0	0
ENSFDAG00000006466	16.249	8.46674	15.4429	13.2634	11.899	14.0078	15.4878	14.407
ENSFDAG00000006467	0	0.167996	0.133284	0.550953	0.524461	0	0	0
ENSFDAG00000006468	35.3683	44.2513	39.1784	50.2781	38.5172	43.9167	41.1233	53.849
ENSFDAG00000006469	26.5108	33.358	29.1705	27.695	31.2805	24.2667	27.5582	27.3986
ENSFDAG00000006470	0	0	0	0	0	0	0	0
ENSFDAG00000006471	43.6682	54.2	43.6747	58.4317	51.6194	58.7366	44.7317	60.3974
ENSFDAG00000006472	0	0	0	0	0	0	0	0
ENSFDAG00000006473	55.5219	51.4283	54.863	51.8963	59.1164	63.57	50.2071	56.2716
ENSFDAG00000006474	6.3465	6.8139	6.82135	5.98672	8.48488	6.11557	7.41329	7.10777
ENSFDAG00000006475	1001.5	1344.49	1496.32	1654.43	1317.85	1216.68	1264.32	1662.82
