sample_ERR2928440	sample_ERR2928435	sample_ERR2928431	sample_ERR2928429	sample_ERR2928424	sample_ERR2928423	sample_ERR2928419	sample_ERR2928417
ENSFDAG00000000140	0.167184	0	0	0	0	0.613237	0	0.261515
ENSFDAG00000000141	21.2882	16.5971	19.1763	19.553	20.2897	21.8877	21.6256	20.3258
ENSFDAG00000000144	83.4296	71.0093	87.3633	85.1268	62.6493	70.7036	89.8838	76.1846
ENSFDAG00000000146	207.465	253.187	193.889	176.063	158.385	180.123	193.747	149.362
ENSFDAG00000000148	12.6336	14.3675	10.6864	8.83485	8.78381	9.60716	15.9333	9.88096
ENSFDAG00000000150	0	0	0	0	0	0	0	0
ENSFDAG00000000152	98.760925	7.729050209763	26.3366	2.97183	4.49189	24.14608	2.40460000281105	2.2174
ENSFDAG00000000153	23.712	31.5394	33.474	40.5675	29.8502	30.5988	31.5651	37.7452
ENSFDAG00000000154	1.56358	3.46299	1.44603	3.78571	2.65534	3.44116	4.38512	2.69039
ENSFDAG00000000155	1.1301	0.780638	2.01285	1.44009	0.406176	1.12586	1.43063	1.83321
ENSFDAG00000000157	10.4084	12.1702	10.9014	12.5891	12.6646	11.3219	11.3148	14.7509
ENSFDAG00000000158	4.70072	24.3534	6.52098	46.5901	62.4066	56.836	48.0643	40.4417
ENSFDAG00000000159	12.8097	12.8742	24.3213	26.9943	23.6648	27.893	19.5971	21.4535
ENSFDAG00000000161	27.0096	36.37	25.5084	37.2081	21.0796	28.1549	27.5157	40.3271
ENSFDAG00000000162	158.2075	169.1511	168.2687	238.6876	191.2165	211.9839	192.5012	248.1116
ENSFDAG00000000163	23.8418	25.939	29.8891	36.4581	41.7745	36.2766	26.0032	25.6915
ENSFDAG00000000165	0	0	0	0	0	0	0	0
ENSFDAG00000000168	343.5739	341.048	296.453	298.6271	318.0679	325.061	326.503	329.1384
ENSFDAG00000000170	0	0	0	0	0	0	0	0
ENSFDAG00000000173	19.4856	31.2373	25.3224	34.3465	27.3166	28.152	29.1784	39.1191
ENSFDAG00000000174	0.481495	2.24507	0.979651	0.4295	0.408848	0.117743	0.717385	0.677854
ENSFDAG00000000177	28.6533	55.6126	24.1495	43.7977	40.5788	47.7184	27.5864	40.6255
ENSFDAG00000000179	0.967735	0.902452	0.715984	0	0.469557	0.709936	1.01777	0.605506
ENSFDAG00000000181	2.53704	2.43594	2.13477	1.25726	2.05167	1.89565	2.11647	0.955386
ENSFDAG00000000183	6.28896	4.9935	6.06903	5.11041	4.533	6.90929	6.15081	3.99199
