sample_SRR8750789	sample_SRR8750790	sample_SRR8750791	sample_SRR8750792
ENSG00000005486	425.581582	414.4534681	206.731782767373	219.485443
ENSG00000005513	76.72928	35.75145	35.09898	90.06199
ENSG00000005700	6.3447334	5.9967675	4.9073553	5.800659
ENSG00000005801	12.3282391015	13.78918456	8.8359010226826	11.95568173
ENSG00000005810	126.620073022958	94.9991158060663	41.2248115900882	66.95147620255
ENSG00000005812	18.265218	16.959569	29.83131	21.520969
ENSG00000005844	3.126798598	1.8923721	12.1253932	9.709721
ENSG00000005882	53.7055248	32.6298561	38.2303540175813	42.350727
ENSG00000005884	12.7453189	21.5246761	19.917479	12.9598234
ENSG00000005889	4.12017150112005	6.5245972	14.247103	5.339685
ENSG00000005893	80.535127	28.83534	94.97453	102.770908
ENSG00000005961	3.674574	2.559473	1.3156824	3.892238
ENSG00000005981	1.4508966	1.912811	3.6423046	5.058572
ENSG00000006007	55.9037748	23.899166	39.48372	68.287796
ENSG00000006015	239.40261	134.23425	129.071397	150.86872
ENSG00000006016	7.6687263	25.208948	196.76869	6.47325
ENSG00000006025	8.51323300009128	6.1024283	13.8412811	7.8238998
ENSG00000006042	56.420345	18.128616	54.873056	70.328509
ENSG00000006047	0.32693198	0.154223932	0.1066309	0.4236695
ENSG00000006059	0	0.13925	0.435274	0.832509
ENSG00000006062	4.2920459	3.374411053	6.920448	3.747629
ENSG00000006071	20.038750402	21.558787219359	8.802653071	14.622174925815
ENSG00000006116	4.6192	7.53148	1.02412	1.7027
ENSG00000006118	139.827033	91.674215	94.840656	81.030015
ENSG00000006125	73.826508	56.7797928	75.314756	61.3699735
ENSG00000006128	192.873526	14.152676	7.191788	147.5898
ENSG00000006194	13.040636	11.515859	18.832382	14.193062
ENSG00000006210	28.200252	32.853602	24.452363	21.63885
ENSG00000006282	53.0683674	36.455204483	35.3815457001513	40.9824567414502
ENSG00000006283	7.44972094983742	6.56710301771705	1.65214075	6.37831211
ENSG00000006327	3.942718	8.179851	20.685034	8.930363
ENSG00000006377	1.877953	9.422237	2.59855	2.068152
ENSG00000006432	6.0069804	6.635416	2.4529503	3.2905213
ENSG00000006451	24.6196063	17.909107	27.521139	25.796014
ENSG00000006453	1.413902	1.281749	2.602392	2.046965
ENSG00000006459	1.338424	1.331001	2.68918	2.101041
ENSG00000006468	5.136713	7.99547370054756	10.6089724312	7.68360220825259
ENSG00000006530	12.2765002	15.7914636902477	16.040324211283	14.76231944951
ENSG00000006534	7.022353	2.203269	7.6962452	13.300966
ENSG00000006555	0.76311	1.2975094	3.342121	1.5945247
ENSG00000006576	3.948592	4.7257295275	3.779136045	5.01397600016606
ENSG00000006606	0	0.346565	1.777942	2.253056
ENSG00000006607	16.5279655	11.9974422	19.3778868	21.3272348
ENSG00000006611	34.946724	4.3370915	28.4139533	48.314359
ENSG00000006625	28.868188	22.9991703	31.3917953	22.466671
ENSG00000006634	1.0634695	1.914745	3.4550280022642	1.616172
