sample_SRR11526905	sample_SRR11526906	sample_SRR11526907	sample_SRR11526952	sample_SRR11526976	sample_SRR11526977	sample_SRR11526978	sample_SRR11527019
ENSSSCG00000000103	1.402526	2.604028	1.608026	0.990334	0.749104	1.000781	0.470011	1.850786
ENSSSCG00000000104	444.9867	651.593	653.758	295.8873	471.2994	434.3327	423.6577	672.283
ENSSSCG00000000105	6.19655	10.61357	16.66286	4.4654	3.99148209	5.536338	4.394665	6.63403
ENSSSCG00000000106	1.25653	3.25658	2.87778	1.01861	0.632933	3.01402	9.82088	1.67104
ENSSSCG00000000107	35.70856	59.49644	41.9329	63.9589	35.42633	37.15365	40.8725	46.34701
ENSSSCG00000000108	13.97616	36.39494	23.34809	27.43672	11.345593	10.387472	10.517831	11.16077
ENSSSCG00000000110	14.285969	28.74268	21.181055	20.224672	10.802144	9.375194	9.707405	16.68505
ENSSSCG00000000111	0.6385630824849	0.890018	1.68506	1.68007	0.559467	0.868903	1.939039	1.09913
ENSSSCG00000000113	1.26338	2.03357	2.02161	3.69884	2.79351	2.47875	2.84685	2.73778
ENSSSCG00000000114	36.20234	51.88902	24.80232	68.98	45.648955	48.94798	46.132439	43.72095
ENSSSCG00000000116	264.66889	283.11623	200.7963	396.893306	335.34809	322.02949	306.40506	384.44907
ENSSSCG00000000117	9.07019	11.72472	7.639752	10.65156	8.532006	6.38311	5.87741	9.99338
ENSSSCG00000000118	7.55439	14.1482	9.30112	17.7158	8.99391	6.14994	6.65928	9.63069
ENSSSCG00000000119	69.12712	78.34010278958	78.341968	82.386868	65.31767	70.6204	68.58932	75.1722
ENSSSCG00000000120	12.93092	20.64263	18.73169	26.27443	16.27108	16.71536	14.83849	23.77741
ENSSSCG00000000121	2.1082	5.30747	4.62362	1.6703	1.88279	1.56552	1.35861	3.73589
ENSSSCG00000000130	10.85766	18.85301	36.05033	17.20347	11.65971	9.8252	10.2191	16.89246
ENSSSCG00000000131	13.1441	21.228	6.34106	35.3307	11.8598	9.04967	14.1507	11.4324
ENSSSCG00000000132	0.442028	0.349015	0.255839	0.804092	0.790173	0.870553	0.314981	0.756835
ENSSSCG00000000133	227.4538	193.6062	83.6069	401.564	302.25	202.6797	174.6506	338.539
ENSSSCG00000000135	39.6045	35.2976	12.20329	63.8754	52.6262	51.4434	46.3664	44.9643
ENSSSCG00000000136	11.43112	15.62705	44.8473	5.14985	3.79402	3.92379	2.42462	5.84988
ENSSSCG00000000137	19.44157	28.1412750148655	52.027121479819	17.339213	15.221125003717	16.338233	13.389273	42.016921
ENSSSCG00000000138	12.1301	7.24864	13.1003	162.911	27.2193	42.1618	65.9758	13.1193
ENSSSCG00000000139	6.64722	11.341426	8.057465	8.6256235	7.4416894	7.8456449	6.8487712	11.951559
ENSSSCG00000000141	72.2263	105.6414	112.79	89.3104	69.1916	71.7551	72.8835	99.5915
ENSSSCG00000000142	5.13738	14.38486	8.9134	5.04573	4.25496	3.99738	4.49455	5.54586
ENSSSCG00000000144	56.904501	58.56498	50.095436	100.07271	55.87046	56.03374	59.94474	57.017017
ENSSSCG00000000145	53.7391	126.3354	240.7574	60.3879	31.7207	41.1582	32.7487	56.013
ENSSSCG00000000146	29.4531	95.70816	430.23267	9.566993	19.112085	77.477419	36.00565	49.462101
ENSSSCG00000000148	3.85239	12.247056	23.37566	4.2938800316148	2.96197	3.117615	2.8952335	4.824576
ENSSSCG00000000151	0.751636	2.21358	2.74125	1.13187	0.294388	0.558203	0.235898	0.844563
ENSSSCG00000000152	68.6394350006596	157.384326080874	107.594418	99.316677	73.234291	79.766145	72.698268	80.513752
ENSSSCG00000000156	29.2934	39.5372	28.0167	46.9247	28.5825	31.565	28.6911	41.5862
ENSSSCG00000000157	0.186872	0	0.076141	0.061903	0.21608	0.0739788	0.159446	0.117212
ENSSSCG00000000158	52.2049	61.5912	50.4767	52.8698	72.9994	73.8561	68.6938	74.1823
ENSSSCG00000000159	0.254541	0	0	0.284397	0	0.92211	0	0
ENSSSCG00000000160	11.32362	21.05163	15.78421	12.006503	11.158656	12.148512	10.174632	11.78009
ENSSSCG00000000161	29.8436	29.7187	18.747	18.341	27.6361	31.3517	32.3699	22.7377
ENSSSCG00000000162	22.28863	48.91234	12.68751	39.46302	21.74864	23.1857	12.73973	26.40555
ENSSSCG00000000164	20.3172	19.7128	13.9309	12.6953	16.9783	16.9596	12.7492	22.0624
ENSSSCG00000000167	54.15187	57.54325	45.6413700736016	25.14996167007	50.101811	59.5042400010511	69.8837700093238	50.152228
ENSSSCG00000000169	51.30808	61.95963	29.6003	32.97652	48.34562	32.72474	28.767664	45.89022
ENSSSCG00000000171	11.2209	24.6912	28.7766	19.2516	16.9781	19.6066	14.3937	15.9198
ENSSSCG00000000174	1.251187	3.74952	5.16079	1.6324	0.686587	0.747876	0	1.85822
ENSSSCG00000000175	12.1511	36.4555	25.6559	16.2534	12.8284	12.8436	9.25299	22.7825
ENSSSCG00000000176	32.0115	35.9454	32.56678	25.391658	31.6702	32.3731	25.9192	34.870382
