sample_ERR1709728	sample_ERR1709727	sample_ERR1709726	sample_ERR1709725
ENSMUSG00000000568	99.2992427	90.813393299	100.849692	120.60217
ENSMUSG00000000579	51.83724	57.021234	42.154901	57.532877
ENSMUSG00000000581	92.12718	96.858291	83.32673	85.222897
ENSMUSG00000000594	27.5236	28.7501	28.1214	24.6508
ENSMUSG00000000600	105.279466	104.715357	117.4799302	117.98319
ENSMUSG00000000605	87.302027	87.582021	88.539547	84.80499
ENSMUSG00000000606	4.64434	3.877994	5.37101	4.91896
ENSMUSG00000000617	0.469205	0.410471	0.488454	0.524933
ENSMUSG00000000627	14.976653	14.497649	13.241989	14.19498
ENSMUSG00000000628	4.86682	3.398228	3.471558	3.587909
ENSMUSG00000000631	54.894544696	53.818193067	47.81359732	59.6955388372213
ENSMUSG00000000632	17.931857	22.338556	17.8125623	30.643629761
ENSMUSG00000000673	0.931777	0.906007	0.873094	1.406758
ENSMUSG00000000682	2.53733	7.47452	5.980826	3.04145
ENSMUSG00000000686	3.71512000357756	3.29262	4.34207	4.44589
ENSMUSG00000000690	0	0	0.0358053	0
ENSMUSG00000000693	6.102244	5.3970743	5.051629	6.0772
ENSMUSG00000000701	0	0	0	0
ENSMUSG00000000706	1.098009	0.474542	0.435252	0.378104
ENSMUSG00000000708	28.447637	25.32746	33.914037	26.9792700163443
ENSMUSG00000000711	100.27028	104.87318	103.10711	100.41197
ENSMUSG00000000724	3.57934	3.281885	3.460413	4.832323
ENSMUSG00000000730	1.118848	0.3708	0.532224	0.138308
ENSMUSG00000000731	2.52252	1.918936	1.745881	2.131617
ENSMUSG00000000732	6.717827	8.202196	10.107827	9.561712
ENSMUSG00000000738	51.5872505	46.0149816922509	53.80902	44.242738
ENSMUSG00000000739	4.67339	3.36158	3.68963	3.7782
ENSMUSG00000000740	814.0715	823.89782	664.71826	697.75201
ENSMUSG00000000743	71.39	67.00167	58.90596	64.01999
ENSMUSG00000000751	51.98881	53.182725523	54.37924	46.064811
