sample_SRR10334377	sample_SRR10334376	sample_SRR10334375	sample_SRR10334373	sample_SRR10334372	sample_SRR10334371	sample_SRR10334370
ENSMMUG00000000124	4.110363	8.991652	16.632565	10.403534	16.572945	7.389385	8.436918
ENSMMUG00000000125	8.5705	6.04832	7.77234	7.67172	10.24238	6.80729	6.283431
ENSMMUG00000000129	0.813456	0.369116	0.293826	0.803513	0.623583	0.306353	0.491445
ENSMMUG00000000130	7.20828	3.66716	8.806224	6.335665	6.88423	4.483145	5.89847000128016
ENSMMUG00000000134	93.267561	91.167303	113.5684	112.529324	114.775494	77.920432	85.23091
ENSMMUG00000000135	27.24139	12.60596	23.588629	25.17292	26.61099	11.938239	15.53575
ENSMMUG00000000136	3.65058	4.69911	7.045494	13.242376	8.3811	5.374098	4.161681
ENSMMUG00000000137	225.95705	292.2462	205.65287	261.1438	260.29146	247.47197	247.06507
ENSMMUG00000000138	18.3394	12.89561	22.869324	24.88263	24.446016	14.614219	13.417947
ENSMMUG00000000140	35.54431	36.11299	52.50291	41.89124	41.59512	37.21914	39.36027
ENSMMUG00000000141	12.0121	8.27627	13.6947	11.4427	12.9612	6.47177	6.9277
ENSMMUG00000000143	16.19758	19.652418	29.49608	23.546208	19.460115	14.731046	18.470676
ENSMMUG00000000144	5.552855	6.0052	6.623	5.720941	3.806724	3.712031	4.8131
ENSMMUG00000000145	1.93645	2.68235	5.46814	4.52176	4.58316	2.57448	1.86416
ENSMMUG00000000147	0	0	0	0	0	0	0
ENSMMUG00000000148	0	0	0	0	0	0	0
ENSMMUG00000000149	35.649183	45.708183	38.17385	38.575559	38.75116	36.76981	28.128912
ENSMMUG00000000151	0.618106	0.503978	0.871096	0.711084	0.951035	0.4077402	0.386964
ENSMMUG00000000152	12.998506	14.5015	18.435666	14.897304	17.757968	11.209659	12.867426
ENSMMUG00000000153	17.6771	10.169335	16.89932	15.17983	13.22129	8.484581	11.15176
ENSMMUG00000000156	62.73292	78.5287	79.8126	62.2011	66.5494	63.9864	70.87744
ENSMMUG00000000157	0	0	0	1.07805	0.202159	0	0
ENSMMUG00000000158	11.25525	5.773438	7.79678	8.47191	8.63917	6.161124	7.52063
ENSMMUG00000000163	2.60786	4.02838	3.54263	3.74937	2.54634	2.88593	2.13842
ENSMMUG00000000164	168.084	94.7955	152.967	123.959	125.404	77.2663	126.777
ENSMMUG00000000165	100.75921	110.12973	87.13513	79.46083	98.91713	64.1884	78.65791
ENSMMUG00000000166	32.7655	29.3318	43.5214	34.5301	27.4944	35.0662	27.2731
ENSMMUG00000000167	16.509837	13.752302	20.53976	17.7359492	16.27804	12.903379	13.19667
ENSMMUG00000000168	29.85629	44.630711	33.526944	37.023994	37.37527	32.878696	25.86832
ENSMMUG00000000169	41.383	55.56808	45.617587	49.674194	38.36945	39.405475	38.48502
ENSMMUG00000000170	0.140928	0.577229	0.313748	0.364001	0.285482	0.367447	0.5828828
ENSMMUG00000000171	36.6195	29.7432	35.8674	31.1765	27.8466	27.14737	27.9605
ENSMMUG00000000172	9.84993	12.919611	11.09982	12.82631	16.190563	7.8308	12.77834
ENSMMUG00000000173	12.82715	14.197463	16.039504	14.289063	16.21775	12.864136	14.614303
ENSMMUG00000000179	0	1.64375	0	0.685997	1.71729	4.05502	0
ENSMMUG00000000180	10.04366	3.03316	10.353453	8.27383	6.10637	1.75281	5.286904
ENSMMUG00000000181	6.89583	4.769423	7.84857	7.06834	6.3661	2.187994	4.6825
ENSMMUG00000000182	25.033893	18.325037	29.700477	23.9356893983	24.455989	17.978784	20.127175
ENSMMUG00000000183	48.6937	44.01167	57.274106	54.88227	47.9288	33.965456	48.0896
ENSMMUG00000000184	14.099904	12.18482	15.813690002022	15.167063	16.008795	11.190182	13.8683
ENSMMUG00000000185	7.44656	5.69885	5.78463	4.36238	5.87178	3.26879	5.26914
ENSMMUG00000000186	34.241119	31.263028	40.91415	39.142214	43.066905	22.545777	31.25316
ENSMMUG00000000187	6.33422	4.45952	5.95448	5.05267	7.49231	4.73724	4.89351
ENSMMUG00000000188	49.4855	56.740729	73.7586	67.492056	59.4385	45.8408	44.6956
ENSMMUG00000000190	8.712309	8.296087	14.8147	11.2955	10.6082	9.72543	10.0536
ENSMMUG00000000192	55.96684	61.33847	66.89437	56.4331	67.85372	48.46517	59.567617
ENSMMUG00000000194	36.713815	43.0391	48.569448	41.92182	33.89382	51.30181	44.21887
ENSMMUG00000000195	46.7821	51.0285	57.379	49.048	47.6819	69.6078	52.7897
ENSMMUG00000000196	0.730917	1.1856	0.982225	0.942745	0.403006	0.441424	1.109967
