sample_SRR13255798	sample_SRR13255824	sample_SRR13255827	sample_SRR13255871	sample_SRR13255875	sample_SRR13255897	sample_SRR13255903	sample_SRR13255906
ENSMOCG00000000089	3.26214	4.3315	4.25507	4.52911	4.20321	4.36247	3.33291	3.19606
ENSMOCG00000000090	0.150042	0	0	0	0	0	0	0
ENSMOCG00000000091	153.072	152.447	160.869	149.083	119.855	128.518	153.491	155.59
ENSMOCG00000000092	200.13	132.321	131.861	131.516	149.065	169.683	176.384	153.928
ENSMOCG00000000093	10.7783	12.0464	10.5604	10.3526	7.72103	11.3217	11.5396	9.52054
ENSMOCG00000000094	13.0893	15.3286	13.935	10.3096	12.7991	13.9029	13.0298	13.1273
ENSMOCG00000000095	1.88651	2.85268	3.54137	2.20866	2.43829	3.05052	3.43268	1.95937
ENSMOCG00000000096	4.873931	4.55699	3.902777	6.05145	4.21996	5.744895	3.80945	3.6672
ENSMOCG00000000097	0	0	0	0	0	0	0	0
ENSMOCG00000000098	0	0.304717	0.588701	0	0	0	0	0
ENSMOCG00000000099	43.71467	61.3407	60.5359	60.0093	51.39145	53.0463	62.3201	52.0073
ENSMOCG00000000100	75.7542	129.5162	153.91886	111.7603	79.4399	77.9343	113.2604	96.4964
ENSMOCG00000000101	7.44515	6.32619	5.28978	5.27856	3.3391	5.23174	7.77599	6.86622
ENSMOCG00000000102	22.901	19.9744	15.6433	18.1491	14.115	19.3169	21.3057	19.7181
ENSMOCG00000000103	341.387	404.563	424.125	347.116	372.593	361.306	352.468	373.448
ENSMOCG00000000104	80.25196	63.486972	61.6908200018277	52.19412	64.84667	76.64419	79.12825	71.46878627845
ENSMOCG00000000105	42.1588	37.9518	37.4307	40.3575	39.3478	44.8307	44.355	39.5362
ENSMOCG00000000106	49.9491	92.0311	86.3387	70.8323	71.9647	59.3572	67.9162	66.3215
ENSMOCG00000000107	2.88234	4.47994	6.25828	3.23323	2.27322	2.90312	3.39712	2.3575
ENSMOCG00000000108	42.65400450952	54.862083383	52.3472	45.8231100028854	46.32356	50.57602	42.955951	56.7452337897
ENSMOCG00000000109	0	0.863364	0	0	0	0.432933	0.373286	0
ENSMOCG00000000110	0.427392	0.523251	0.336967	0.336252	0.325624	0.295182	0.509026	0.677953
ENSMOCG00000000111	1.04152	1.35708	1.41496	1.3289	0.826584	0.699354	1.1735	0.963736
ENSMOCG00000000112	0.162877	0	0	0	0.0788631	0	0.0818424	0.0641375
ENSMOCG00000000113	228.018	247.319	245.841	231.893	266.438	225.378	239.256	247.552
ENSMOCG00000000114	131.7104	90.2837	78.8581	85.9172	110.2951	126.446	114.6966	107.0028
ENSMOCG00000000115	5.27552	8.23821	7.95796	10.90575	8.92048	6.00651219861	6.197681	4.01864
ENSMOCG00000000116	0	0	0	0	0	0	0	0
ENSMOCG00000000117	10.8904	14.3439	14.6037	13.3788	15.2683	11.8783	12.8287	12.7438
ENSMOCG00000000118	12.1958	10.2079	7.73992	10.8044	17.0254	11.8414	10.1483	17.204
ENSMOCG00000000119	0	0	0	0	0	0	0	0
ENSMOCG00000000120	10.7372	21.1664	18.2941	16.2865	16.985	9.42677	19.8684	16.7432
