sample_SRR5516115	sample_SRR5516118	sample_SRR5516121	sample_SRR5516123	sample_SRR5516126	sample_SRR5516128	sample_SRR5516131	sample_SRR5516132
ENSCPOG00000000102	79.0343	80.9921	59.1431	107.697	67.9686	69.729	113.289	87.168
ENSCPOG00000000103	3.53308	3.97125	4.38957	7.13716	2.50674	5.89647	7.68307	7.98338
ENSCPOG00000000106	116.236	90.1439	98.6845	99.0479	94.8928	124.714	140.277	138.861
ENSCPOG00000000108	16.6701	17.6197	13.4321	15.9248	15.8439	17.3492	15.0706	21.4661
ENSCPOG00000000112	0	0	0	0	0	0	0	0
ENSCPOG00000000113	0	0	0	0.112146	0	0	0	0
ENSCPOG00000000114	2.5582	2.41532	2.95365	2.22336	2.31376	5.91239	3.80324	5.64458
ENSCPOG00000000116	0	0	0	0	0	0	0	0
ENSCPOG00000000119	12.377	14.1344	7.89076	11.0573	8.69607	12.2035	15.6334	14.0879
ENSCPOG00000000120	6.7000624	6.263433621	6.39605	7.35852518534384	5.14692974	7.89675	8.12259	8.13328
ENSCPOG00000000121	0.1292901291	0.1280234548	0	0.0603974	0.0628531556	0.0623726239	0.0712515719	0.1821799
ENSCPOG00000000124	16.88724	19.212757	15.085547	15.690471	15.85835	16.89282	18.81828	18.574341
ENSCPOG00000000125	0.752764	1.06485	1.18643	2.5118	0.313671	3.63153	2.01497	2.32345
ENSCPOG00000000126	61.637087	53.17641	71.99918	69.066499	62.77084	63.76091	91.0065	89.28253
ENSCPOG00000000127	41.0167	37.1853	32.6824	32.8715	35.8033	39.575	48.8253	41.2705
ENSCPOG00000000128	62.0439	51.7163	52.0397	49.8927	48.6536	56.0541	64.0335	64.7981
ENSCPOG00000000131	33.1196	32.09929	27.42924	23.07072	27.6896	32.66355	33.33891	36.89886
ENSCPOG00000000135	48.03515	49.09903	39.53312	41.98356	40.30089	44.10423	47.39364	61.863
ENSCPOG00000000136	18.3109	20.2534	13.7007	19.4737	13.1631	14.4722	15.6735	19.2139
ENSCPOG00000000137	19.9287	19.7576	18.8139	23.2741	20.5579	20.3538	22.9833	23.1042
ENSCPOG00000000138	24.6359	24.57532	17.368	23.3129	19.581296	24.132035	21.552343	27.2132
ENSCPOG00000000139	0.437044	1.94744	1.20544	2.44997	1.06233	2.74094	1.20427	1.23166
ENSCPOG00000000140	36.8376	28.266	34.7882	36.02	34.4729	37.7499	44.3317	47.1842
ENSCPOG00000000141	26.34378	25.15232	24.4839	27.2659	22.77504	25.7723	31.8075	31.4164
ENSCPOG00000000142	13.4899	13.8696	14.129	13.006	11.7257	12.4007	18.0208	15.0352
ENSCPOG00000000143	8.52237	7.80598	9.99012	7.96239	8.28616	9.25067	9.86301	10.4075
ENSCPOG00000000144	13.0303	15.028	10.3771	10.265	13.5632	12.2314	12.7012	14.8273
ENSCPOG00000000146	65.872	68.048	78.7255	84.7655	74.3955	63.0604	58.8862	54.3692
ENSCPOG00000000148	0	0	0	0	0	0	0.129788	0
ENSCPOG00000000149	13.7621	11.9239	13.9677	15.2054	17.1016	16.5047	12.1646	15.8694
ENSCPOG00000000150	4.83158	4.51847	1.97427	3.76176	5.74159	4.40277	0.88756	3.53012
ENSCPOG00000000153	35.8909	35.5394	47.6493	49.6517	52.3442	47.8661	38.0316	40.6799
ENSCPOG00000000154	58.8377	65.984	66.5715	71.5501	67.8042	67.5621	73.4205	70.6631
ENSCPOG00000000156	111.725	129.333	121.095	147.484	118.305	160.053	175.534	179.872
ENSCPOG00000000157	0.0697126	0.0690299	0.0640931	0.130264	0.203341	0.269049	0.307349	0.130974
ENSCPOG00000000160	15.9984	15.2903	10.6282	9.80715	10.9607	10.2582	10.5466	10.500174
ENSCPOG00000000161	12.8987	13.353	14.0921	13.0685	11.8083	14.2232	17.8173	16.287
ENSCPOG00000000162	54.0865	58.798869	33.3429000450587	34.5010648	41.38103	38.72752	29.96325	34.981152
ENSCPOG00000000164	193.162	184.709	103.352	92.7723	136.032	96.1031	96.9453	93.3422
ENSCPOG00000000165	30.4915	29.2626	21.68355	26.9808	24.3287	24.5093	27.5207	30.4165
ENSCPOG00000000166	7.80133	6.64616	6.14784	5.69847	6.58033	7.25341	7.32558	7.63303
ENSCPOG00000000167	0.607447	0.892512	0.557904	0.551728	0.288671	0.28327	0.966942	0.855065
ENSCPOG00000000168	21.8705	21.581426	29.4626	32.968383	26.6242	38.3759353275	42.0216	43.921
ENSCPOG00000000170	68.0968	59.296	72.9541	71.6807	71.4007	80.4449	79.5831	91.8256
ENSCPOG00000000173	33.6357	33.6965	29.0472	27.5435	28.3151	34.5272	32.0986	34.6254
ENSCPOG00000000174	1.481689	0.811633	1.897074	1.155777	1.8391	5.68804	2.890083	2.013791
ENSCPOG00000000176	15.976	17.0633	6.50332	5.97051	9.29849	6.3784	4.95473	5.19575
ENSCPOG00000000179	37.4425	34.86231	33.39678	41.2478	37.4915	39.9009	41.26908	43.57251
ENSCPOG00000000180	6.46958	5.537238	10.638983	12.4894	8.9546	11.42103	15.49873	18.05977
ENSCPOG00000000183	588.893	498.826	387.642	468.359	416.741	479.117	536.574	562.773
ENSCPOG00000000186	0	0.199138	0.184955	0	0	0	0.444322	0
ENSCPOG00000000189	3.418183	1.921053	2.293288	2.416769	3.503095	3.208902	2.138321	3.037432
ENSCPOG00000000190	0.754748	0.747357	0.410037	0.86542	0.700473	0.827523	0.79407	0.902365
ENSCPOG00000000191	0	0	0.122748	0	0	0.128817	0	0
ENSCPOG00000000192	0.391404	0.83051	0.462669	0.313446	0.10873	0.161849	0.184888	0.210103
ENSCPOG00000000193	37.6341	39.50884	46.0353	39.3739	41.0485	39.7266	44.4115	38.4444
ENSCPOG00000000194	3.83756	4.88568	2.93254	1.21066	2.95588	4.37588	2.30714	2.99632
ENSCPOG00000000195	0.157336	0.0778976	0.0723266	0.440994	0.152975	0.151806	0.0867077	0.0738997
ENSCPOG00000000196	18.00298	17.01578	11.2241643	6.11433	11.786737	14.339777	11.08179	9.244769
ENSCPOG00000000197	70.5129	56.7028	52.6302	90.3341	94.3503	79.2334	78.009	87.3803
ENSCPOG00000000198	15.83323	15.32499	16.91349	15.175823	14.25269	15.65628	18.94902	16.77128
ENSCPOG00000000202	18.4155	15.7414	17.0378	14.6062	14.9805	18.1013	21.0612	19.6498
ENSCPOG00000000203	0.108912	0.0539227	0.0722711	0	0	0.0758446	0	0
ENSCPOG00000000204	67.6974	56.4455	51.9547	53.2106	49.4347	47.8663	61.99	54.989
ENSCPOG00000000207	21.1403	24.0385	18.9143	23.3378	23.0514	22.7448	22.2282	26.3601
ENSCPOG00000000208	31.5815	33.3426	24.6043	25.9014	27.6405	30.3142	29.1066	32.2697
ENSCPOG00000000209	61.178969	57.05049	51.69317	68.3498400371338	56.670293	59.40287	66.029529	71.63208
ENSCPOG00000000210	49.5825	47.882	44.2586	49.9658	39.0157	44.7758	49.8768	51.0518
ENSCPOG00000000211	0.283606	0.140414	0.730086	0.397457	0.441193	0.738822	1.00029	0.772606
ENSCPOG00000000212	5.86324	5.80582	4.369905	5.47799	6.13925	6.645261	5.252603	7.104051
ENSCPOG00000000213	87.7682	84.1922	76.0406	84.819	70.0775	86.2615	100.607	105.577
ENSCPOG00000000214	12.698	17.0291	13.848	20.1594	13.6167	13.258	15.4067	16.1673
ENSCPOG00000000215	11.994	12.4136	10.9979	13.322	10.6691	11.5109	14.0636	12.4357
ENSCPOG00000000216	10.3636	10.1841	10.571	9.92738	9.07474	10.2118	13.2603	12.6014
ENSCPOG00000000218	54.7319	50.98379	45.65672	52.7799	45.24412	48.51237	60.26042	61.55321
