sample_SRR6293978	sample_SRR6293979	sample_SRR6293980	sample_SRR6293981	sample_SRR6293982
ENSSTOG00000000149	1.44789	1.50656	0.916727	1.27004	1.45908
ENSSTOG00000000150	16.71227	14.17423	15.90505	16.36316	12.82961
ENSSTOG00000000151	277.301	297.913	287.876	249.39	282.208
ENSSTOG00000000153	462.853	507.757	443.206	467.203	465.572
ENSSTOG00000000154	0.0726708	0.119647	0.0618701	0	0
ENSSTOG00000000156	0	0	0	0	0
ENSSTOG00000000157	27.101	29.3956	32.5158	31.6757	30.3245
ENSSTOG00000000161	11.5267	11.008	10.8356	10.4246	7.88503
ENSSTOG00000000164	1.12206	0.615688	1.01879	1.0522	0.784423
ENSSTOG00000000165	20.12449	22.70141	20.84516	22.05496	19.49358
ENSSTOG00000000167	26.8617	25.1099	24.0812	24.8233	24.6463
ENSSTOG00000000168	2.632564	2.370127	2.67783	2.656516	2.349076
ENSSTOG00000000170	2.36269	1.96906	0.947423	0.815906	2.27365
ENSSTOG00000000173	104.449	100.901	103.676	100.331	101.844
ENSSTOG00000000174	35.52827	31.2195	37.4818	32.18849	36.89281
ENSSTOG00000000175	15.3791	18.0354	18.6827	19.875	16.9443
ENSSTOG00000000176	20.1176	14.7769	18.8029	17.5108	17.983828
ENSSTOG00000000177	57.7922	61.9572	62.0568	65.2688	61.9016
ENSSTOG00000000179	40.2469	37.9591	41.0163	36.2051	38.451
ENSSTOG00000000180	0.374309	0.204556	0	0.17456	0
ENSSTOG00000000182	14.4784	14.8	15.6579	14.8728	14.122
ENSSTOG00000000183	0.286628	0.117303	0	0	0
ENSSTOG00000000185	47.4922	46.7128	50.6634	43.813	34.6949
ENSSTOG00000000186	5.84812	6.13387	6.41545	6.66902	4.95785
ENSSTOG00000000187	6.307261	6.70619	6.19596	5.92807	6.7556
ENSSTOG00000000188	5.1313	6.7883	5.07687	5.17014	4.7497
ENSSTOG00000000191	6.96752	7.36459	7.32969	9.46394	8.31235
ENSSTOG00000000192	0	0.103351	0.213722	0.0881929	0.219353
ENSSTOG00000000193	36.8601	36.7707	38.5126	38.7393	34.551
ENSSTOG00000000194	14.3834	15.6245	16.2992	17.6147	14.9146
ENSSTOG00000000196	6.32701	5.37146	4.45535	5.59116	5.02588
ENSSTOG00000000198	0	0	0	0	0
ENSSTOG00000000199	435.607	414.824	455.545	454.693	461.906
ENSSTOG00000000200	11.1726	10.9965	9.52944	11.3626	9.06268
ENSSTOG00000000201	92.8893	88.0101	87.7889	82.4939	82.8776
ENSSTOG00000000202	3.70741	3.94153	3.55974	3.98546	3.06513
ENSSTOG00000000203	2.91063	2.15349	2.02698	2.52329	2.51421
ENSSTOG00000000205	60.4533	54.8625	66.1128	61.0064	60.1487
ENSSTOG00000000206	40.8919	40.4273	41.6819	39.625	37.5361
ENSSTOG00000000208	1.17903	0.844405	1.34849	0.870156	0.792563
ENSSTOG00000000209	5.164379076	6.45241	6.64765	6.36272	6.982024
ENSSTOG00000000212	2.47506	2.80696	3.01522	2.80758	2.75457
ENSSTOG00000000214	7.36152	9.06831	9.89823	11.1128	5.4366
ENSSTOG00000000215	49.2683	47.8948	54.4556	56.2614	51.8413
ENSSTOG00000000217	17.4795	16.834	20.0135	17.5205	16.9532
ENSSTOG00000000218	2.06952	1.31882	1.33186	1.34147	1.74172
ENSSTOG00000000219	29.789827	28.6995	24.447730054	25.74745	25.8752
ENSSTOG00000000221	6.84461	8.33244	7.79414	7.551397	6.924574
ENSSTOG00000000222	0	0	0	0	0
ENSSTOG00000000223	8.40119	7.47917	8.87974	9.60851	9.36363
ENSSTOG00000000226	0	0	0.447231	0	0.305934
ENSSTOG00000000230	0	0	0	0	0
ENSSTOG00000000231	28.06334	28.0497	28.32675	28.35472	29.33333
ENSSTOG00000000232	8.69402	9.14412	14.2917	9.07233	11.0574
ENSSTOG00000000234	1.45558	1.26051	1.30386	0.877627	1.43221
ENSSTOG00000000235	40.94104	44.26389	46.3273	46.29023	40.42105
ENSSTOG00000000236	16.1202	16.4159	16.1348	16.1679	15.6991
ENSSTOG00000000238	21.4869	18.3875	21.0847	18.5846	26.9031
ENSSTOG00000000239	41.6655	46.40834	46.11471	48.3871	39.7230560108
ENSSTOG00000000241	20.54308	22.47925	24.64589	20.02932	21.37107
ENSSTOG00000000242	14.1275	14.1779	14.8355	13.5301	13.3786
ENSSTOG00000000243	152.33357	152.26562	159.92895	148.59773	155.79862
ENSSTOG00000000245	55.4883	47.1901	42.245	49.0609	45.4343
ENSSTOG00000000247	0.92552	0.763652	1.120107	0.435861	0.5413539
ENSSTOG00000000248	6.62015	6.13223	6.31016	5.3809	5.33184
ENSSTOG00000000249	124.617727	108.824290128479	116.844925	125.1721109681	114.557108
ENSSTOG00000000250	60.0565	56.231	50.1708	58.3094	59.2443
ENSSTOG00000000251	829.856	780.333	799.788	761.102	761.44
ENSSTOG00000000253	25.3858	25.738	25.0796	25.4163	24.0299
ENSSTOG00000000256	34.3567	30.8879	30.7469	28.404	31.9065
ENSSTOG00000000257	68.47721	59.6797013208	63.6489	62.73418	58.657
ENSSTOG00000000258	72.2442	74.7584	66.4379	61.7048	61.3214
ENSSTOG00000000259	4.03393	4.21774	4.88287	4.00377	5.4244
ENSSTOG00000000260	31.1566	26.66318	27.54584	26.69072	29.35057
ENSSTOG00000000262	7.17703	8.61258	9.62667	7.73304	9.17029
ENSSTOG00000000265	36.92491	33.35719	34.00252	31.8815	32.2957
ENSSTOG00000000268	57.57	56.2793	61.4085	52.9525	55.5106
ENSSTOG00000000269	0	0.123395	0	0	0
ENSSTOG00000000270	36.44288	32.32012	31.6242	36.06708	32.65464
ENSSTOG00000000271	3.78808	5.17143	6.19037	4.11728	6.03903
ENSSTOG00000000273	12.9494	12.5774	13.5587	13.6257	14.5111
ENSSTOG00000000274	101.302304	103.7946	116.115069	107.780333	102.1446022
ENSSTOG00000000275	12.4188	12.0806	12.0469	14.619	12.672
ENSSTOG00000000278	2.56853	3.39652	2.80017	3.07178	3.50212
ENSSTOG00000000280	21.7333	16.8841	14.6956	16.7547	16.5412
ENSSTOG00000000281	7.13462	5.67068	9.98506	6.05916	7.10763
ENSSTOG00000000282	7.74146	9.21077	9.92346	5.98752	8.04876
ENSSTOG00000000283	134.021	113.501	135.858	133.919	130.85
ENSSTOG00000000284	0.741364	0.658084	1.12692	1.37339	0.955252
ENSSTOG00000000285	7.38536	8.11308	7.10728	6.28741	5.9423
ENSSTOG00000000286	18.9728	18.0255	18.9109	18.0036	18.9213
ENSSTOG00000000287	0.417867	0.573463	0.355854	0.196034	0.730662
ENSSTOG00000000288	3.32231	2.82467	2.29478	2.41057	1.92705
ENSSTOG00000000290	17.380227	18.820259	19.65898	20.07048	17.64442
ENSSTOG00000000291	12.051708	12.315113	11.3194	10.816729	12.199931
ENSSTOG00000000292	7.71042	9.20695	6.81503	8.66968	8.04478
ENSSTOG00000000293	22.597	23.8483	25.4216	25.0573	23.8152
ENSSTOG00000000294	0.63396900100156	0.76553880675	0.73998591203	0.623118	0.510492
ENSSTOG00000000295	3.78042	3.71198	3.7037	4.13255	4.49399
ENSSTOG00000000296	19.1152	15.9891	19.2463	21.051	18.2273
ENSSTOG00000000297	2.68377	2.52393	2.07401	2.26024	2.35516
ENSSTOG00000000298	7.56382	9.18739	8.25006	8.18699	6.11468
ENSSTOG00000000299	7.30652	7.41204	9.25047	8.49832	7.6872
ENSSTOG00000000301	3.60637	4.74326	4.33945	4.36393	4.10146
ENSSTOG00000000302	2.96421	2.11765	2.7348	2.45218	2.4835
ENSSTOG00000000303	7.385971	7.21815	6.805845	7.23258	7.99696
ENSSTOG00000000304	22.5096	26.6804	30.9754	29.3089	24.0894
ENSSTOG00000000307	2.05501	1.84239	1.90524	2.1636	2.52618
ENSSTOG00000000308	17.0902	16.6983	18.1188	18.0512	15.813
ENSSTOG00000000309	0	0	0	0	0
ENSSTOG00000000311	7.47474	6.52389	7.39225	6.47068	5.9978
ENSSTOG00000000312	118.264	109.023	110.69774	115.68357	113.597
ENSSTOG00000000313	53.8205	55.8206	59.4301	55.2861	56.7136
ENSSTOG00000000314	0.752483	1.31146	0.608757	1.53952	1.10736
ENSSTOG00000000315	5.09524	3.95121	4.35071	4.96029	5.2118
ENSSTOG00000000316	9.96493	10.1095	10.1976	9.82	9.92305
ENSSTOG00000000317	8.55215	7.46572	6.96001	6.89497	5.91305
ENSSTOG00000000319	36.8544	37.5088	46.7864	35.0186	36.5071
ENSSTOG00000000320	0.499538	0.52467	0.425342	0.401666	0.399158
ENSSTOG00000000321	12.3141	6.62944	7.84318	6.9332	10.4917
ENSSTOG00000000322	49.5316	46.953	56.803584	44.929854	47.692314
ENSSTOG00000000323	38.2628	38.5084	41.3038	40.7728	39.8396
ENSSTOG00000000324	12.4042	8.1721	8.22091	6.40661	9.37461
ENSSTOG00000000327	173.83222	167.670977	177.712621	161.872661	176.627562
ENSSTOG00000000329	16.1705	20.5584	16.9458	17.3462	18.5901
ENSSTOG00000000330	2.0249699	2.80258	2.505028	2.06336	2.25605
ENSSTOG00000000334	76.6181	67.0452	68.1751	70.2782	64.2559
ENSSTOG00000000335	103.912	100.008	98.1909	96.021	95.5111
ENSSTOG00000000336	34.0046	33.8477	31.1898	33.7604	31.9467
ENSSTOG00000000338	0.239475	0.262698	0.611273	0.168332	0.278898
ENSSTOG00000000339	5.22953	5.48187	5.38308	6.13773	6.14465
ENSSTOG00000000341	11.3682	6.49473	5.08606	5.31446	6.25636
ENSSTOG00000000343	7.3168	4.71066	4.39338	5.67696	7.64643
ENSSTOG00000000345	0	0	0	0.0489454	0
ENSSTOG00000000346	59.0873	65.2645	69.3945	61.7834	54.063
ENSSTOG00000000348	32.177886774	41.49775	34.85113	40.4591	46.7757
ENSSTOG00000000349	94.1863	95.0201	99.6445	94.4358	104.274
ENSSTOG00000000350	75.1343	77.6072	70.5185	76.1721	75.7505
ENSSTOG00000000351	27.409386	25.72325	25.856292	26.359042	26.404086
ENSSTOG00000000352	38.2941	37.356	43.018	34.808	35.6171
ENSSTOG00000000353	3.16375	3.95558	3.36657	5.34109	3.69868
ENSSTOG00000000354	15.1254	13.3791	12.84	10.1535	11.1377
ENSSTOG00000000355	19.8502	17.6013	14.1412	15.1111	15.9405
ENSSTOG00000000356	66.1212	58.9749	56.4022	61.1762	59.8022
ENSSTOG00000000358	12.7944	14.7739	14.7601	13.6014	11.4772
ENSSTOG00000000359	14.2219	16.3769	17.402	16.9159	15.2691
ENSSTOG00000000360	37.3715	38.8948	34.0147	37.0528	34.4954
