sample_SRR6293978	sample_SRR6293979	sample_SRR6293980	sample_SRR6293981	sample_SRR6293982
ENSSTOG00000001253	13.4232	15.847	13.5168	10.137	11.8862
ENSSTOG00000001254	13.43698	13.16981	14.13944	14.08051	13.46689
ENSSTOG00000001255	27.1906	25.8882	27.4525	26.7363	25.7801
ENSSTOG00000001256	50.823277031	45.97948	47.990265	48.39126	48.57822
ENSSTOG00000001257	12.6185	12.3383	12.629	12.169	11.7713
ENSSTOG00000001258	10.3978	12.9063	12.1686	12.1921	11.392
ENSSTOG00000001260	12.3645	13.0037	13.2741	14.0962	13.2054
ENSSTOG00000001265	6.64004	5.49266	6.38559	5.449811	5.97737
ENSSTOG00000001267	15.1939	16.0441	15.087	15.4089	15.2577
ENSSTOG00000001270	19.5715	20.9366	23.1706	22.662	21.4072
ENSSTOG00000001272	9.531181	10.883071	10.305615	11.208963	11.026348
ENSSTOG00000001273	13.9552	10.9205	9.87869	8.68472	8.83439
ENSSTOG00000001275	0.719497	0.460404	0.816239	0.842908	0.558622
ENSSTOG00000001276	26.6228	26.09862	23.29598	27.30513	24.31628
ENSSTOG00000001277	305.633	271.186	299.833	325.388	297.039
ENSSTOG00000001278	0	0	0	0	0
ENSSTOG00000001280	0.657875	0.667467	0.558345	0.353728	0.634762
ENSSTOG00000001281	0.392137	0.107098	0.221465	0.274136	0
ENSSTOG00000001282	12.8163	12.5998	11.8961	13.3073	12.0517
ENSSTOG00000001284	39.7209	38.3555	37.1011	32.8269	34.2846
ENSSTOG00000001285	4.393741	4.207304	3.390962	3.364697	3.764364
ENSSTOG00000001287	46.3399	44.3021	42.3156	41.976	41.5647
ENSSTOG00000001288	87.7355	77.7282	81.0274	87.3961	81.9947
ENSSTOG00000001289	15.7468	16.0382	14.3905	15.9373	14.5176
ENSSTOG00000001295	19.1343	19.3566	15.9689	22.3552	16.3157
ENSSTOG00000001296	161.74729	144.54185	153.50313	147.90039	140.022597
ENSSTOG00000001297	19.2524	22.0861	25.7992	22.5417	20.9384
ENSSTOG00000001300	249.363	248.508	270.187	249.315	255.231
ENSSTOG00000001303	5.57613	5.66574	6.16093	5.3496	5.95191
ENSSTOG00000001304	71.8005	69.62671	68.54593	66.77622	70.29722
ENSSTOG00000001309	0.704273	0.287459	0	0.122502	0.152472
ENSSTOG00000001310	0	0.996387	0.228929	0.283348	0.23495
ENSSTOG00000001311	0.194993	0	0	0.270795	0
ENSSTOG00000001320	8.90129	7.892409	7.856426	7.925528	8.19194
ENSSTOG00000001321	0.894883	0.642543	0.569491	0.548508	0.38969
ENSSTOG00000001327	6.95742	5.84927	5.63185	6.92389	4.70071
ENSSTOG00000001328	5.90587107647	5.51319	5.524269	5.918062	5.5712823
ENSSTOG00000001329	0.870324	0.71436	0.473107	1.21973	0.947754
ENSSTOG00000001330	13.77583	10.1939692	13.41925	12.57605	12.27976
ENSSTOG00000001331	1.46029	0.645216	1.04841	1.4163	0.489137
ENSSTOG00000001333	17.0035	18.7176	17.9638	18.0722	16.9912
ENSSTOG00000001335	66.9662	95.4864	61.3146	54.469	58.6171
ENSSTOG00000001337	0.978233	1.18716	0.860325	0.942613	0.90184
ENSSTOG00000001338	41.4536	39.48653	41.34316	42.99725	42.21203
ENSSTOG00000001339	373.878	368.465	389.294	351.747	356.908
ENSSTOG00000001341	0	0	0	0	0
ENSSTOG00000001342	0	0	0	0.0923799	0.114895
ENSSTOG00000001343	12.4864	13.2632	13.2594	12.2966	9.85069
ENSSTOG00000001344	5.08709	6.13469	5.18549	7.2084	5.44878
ENSSTOG00000001345	40.5813	35.7141	41.0396	39.3212	39.0759
ENSSTOG00000001347	0.150649	0.082999	0.257572	0.17754	0.0661225
ENSSTOG00000001348	119.551	99.2553	105.255	105.686	92.5251
ENSSTOG00000001349	4.00916	4.45594	4.22674	3.93203	4.29126
ENSSTOG00000001352	1.07533	1.30739	0.67549	0.55584	0.230929
ENSSTOG00000001353	11.99296	14.32866	14.09659	12.52433	12.14682
ENSSTOG00000001354	43.9575	40.8043	39.1823	44.8068	37.7785
ENSSTOG00000001356	22.4448	22.3513	22.0499	22.1115	20.2875
ENSSTOG00000001357	15.1465	14.0267	14.7658	15.0432	14.9717
ENSSTOG00000001358	7.33686	6.14768	5.7697	6.10503	5.19174
ENSSTOG00000001359	16.3143	16.8964	17.3553	12.2479	13.0073
ENSSTOG00000001360	14.8843	6.74738	8.56181	15.0795	10.6983
ENSSTOG00000001362	26.0564	25.3033	23.441	22.0607	23.2938
ENSSTOG00000001364	52.5526	54.4288	50.8377	48.1851	49.3041
ENSSTOG00000001365	21.895224	22.334319	21.45634345	21.04092	20.607872
ENSSTOG00000001366	0	0	0	0	0
ENSSTOG00000001367	31.07828	31.756586	29.853835	30.313511	28.619826
ENSSTOG00000001369	37.559	34.3523	35.984	35.5937	35.7593
ENSSTOG00000001371	10.79236	12.86238	15.34229	9.6673	12.19014
ENSSTOG00000001373	6.55723	6.18036	7.65765	6.12684	7.14045
ENSSTOG00000001374	12.4294	11.8919	10.8354	12.2927	12.8502
ENSSTOG00000001377	24.5948	25.1479	25.2805	24.9864	26.5697
ENSSTOG00000001380	8.30595	9.71876	9.15087	8.80107	8.1837
ENSSTOG00000001382	23.1795	24.1467	27.8424	21.7922	20.8767
ENSSTOG00000001385	3.055398	4.75818	2.92743	3.251124	2.87423
ENSSTOG00000001386	9.01173	7.4116	7.95128	9.40857	8.60366
ENSSTOG00000001387	57.3029	55.0911	53.5615	55.5402	57.7295
ENSSTOG00000001389	19.57976	20.67149	24.49486	21.50392	21.31508
ENSSTOG00000001390	4.00915	3.75209	5.07615	4.28479	4.88709
ENSSTOG00000001391	98.0573	102.983	104.656	108.038	101.407
ENSSTOG00000001392	22.514	24.2554	33.8089	25.2587	21.8778
ENSSTOG00000001393	39.8612	38.3428	44.7916	37.6048	37.53
ENSSTOG00000001396	8.33222	7.87618	7.19904	6.65528	6.85637
ENSSTOG00000001399	0.594118	0.204171	0.211178	0.209495	0.260188
ENSSTOG00000001400	12.9617	13.5765	12.1803	11.2595	12.9357
ENSSTOG00000001402	5.25118	5.10094	4.128717	4.217416	3.35565
ENSSTOG00000001403	128.497	137.06	138.961	125.016	118.94
ENSSTOG00000001407	8.43593	10.02948	10.06947	8.60126	8.49312
ENSSTOG00000001408	35.2781	32.4758	34.8219	32.7958	35.1127
ENSSTOG00000001409	1.71203	2.14808	1.7618	2.15111	2.04443
ENSSTOG00000001411	6.04166	9.45511	6.458289	5.62493	5.76372
ENSSTOG00000001412	4.58516	4.89834	5.09963	5.63153	4.25655
ENSSTOG00000001413	2.02998	2.19876	1.5884	1.55212	1.66799
ENSSTOG00000001415	31.4137	31.1393	27.4124	29.2588	28.3725
ENSSTOG00000001418	82.8478	80.0597	79.05019	80.82026	77.5025
ENSSTOG00000001419	38.809	37.7275	35.3533	37.9419	36.0904
ENSSTOG00000001420	26.4048	24.3045	28.3602	31.4095	31.0751
ENSSTOG00000001422	94.9664	88.4113	92.9149	88.1055	89.9944
ENSSTOG00000001423	17.01926	18.83961	18.14342	16.48428	18.09895
ENSSTOG00000001424	76.5281	74.5692	90.2792	105.113	68.0568
ENSSTOG00000001425	12.5936	12.0207	13.2557	11.1778	12.0568
ENSSTOG00000001426	2.73171	1.81263	2.30649	1.06971	1.77506
ENSSTOG00000001427	5.17198	4.64319	4.25404	5.15237	3.91723
ENSSTOG00000001428	0	0.129644	0	0	0
ENSSTOG00000001429	21.9454	21.1189	24.9156	23.9666	23.5888
ENSSTOG00000001431	0.584654	0.47281	0.244313	0.200941	0
ENSSTOG00000001433	1.27447	2.66621	1.9176	3.95518	3.56696
ENSSTOG00000001434	0	0	0	0	0.0891246
ENSSTOG00000001436	2.74699000444781	3.8311173938	2.503090107085	3.4283500052041	2.87031
ENSSTOG00000001439	10.65131	10.8272	12.7091	10.60689	9.90965
ENSSTOG00000001440	1.67883	2.1047	3.0609	1.51723	2.44397
ENSSTOG00000001441	24.5931	28.07804	28.91978	26.35094	25.34668
ENSSTOG00000001442	62.6038	60.2458	58.8961	59.8187	55.8736
ENSSTOG00000001443	22.49549	26.97992	28.96576	23.07408	22.08177
ENSSTOG00000001446	3.20321	2.776328	2.55135	2.293449	2.43456
ENSSTOG00000001447	55.3608	56.9651	47.0474	48.4409	50.0822
ENSSTOG00000001451	45.1916	42.7998	46.071	46.4999	39.3767
ENSSTOG00000001452	49.3276	57.7141	55.072	55.6149	51.7985
ENSSTOG00000001453	63.437863	61.561	64.8884	58.9468	65.19458
ENSSTOG00000001455	1.09728	1.286	1.45116	1.65005	1.58318
ENSSTOG00000001458	38.86039	38.42499	32.52784	33.53056	34.1027
ENSSTOG00000001459	0	0	0	0	0.186572
ENSSTOG00000001461	0	0	0	0	0.132146
ENSSTOG00000001462	4.79395	4.822702	4.859525	2.96453	4.121872
ENSSTOG00000001463	4.863881	4.765513	4.846011	3.816193	4.738685
ENSSTOG00000001464	18.58337	18.90934	22.30011	21.80991	19.39402
ENSSTOG00000001465	3.99717	5.300777	6.821853	6.9342194	7.86625
ENSSTOG00000001467	11.7302	9.83581	10.48121	9.654746	10.5817
ENSSTOG00000001468	52.5564	50.18841622176	57.9351329718	53.682706	53.39139272
ENSSTOG00000001471	20.6031	24.4488	25.131	23.3362	22.2017
ENSSTOG00000001472	0	0	0.134642	0	0.276441
ENSSTOG00000001473	86.191	82.9111	84.9755	88.4012	84.3459
ENSSTOG00000001475	78.733	78.0771	83.5876	78.3599	79.8285
ENSSTOG00000001477	3.98401	2.68176	2.90016	4.5052	3.93611
ENSSTOG00000001478	19.4421	23.7952	25.8152	22.2951	21.3421
ENSSTOG00000001480	11.1404	12.4891	11.1661	11.0043	10.1607
ENSSTOG00000001481	40.388	34.7304	38.334	42.681	44.2658
ENSSTOG00000001482	21.0661	17.5306	18.8555	19.4802	22.426
ENSSTOG00000001488	242.476	206.636	252.834	227.767	240.738
ENSSTOG00000001489	76.38759	68.10489	71.3107	65.5122	67.4171
ENSSTOG00000001490	223.5178	201.002	220.4137	190.1196	209.6233
ENSSTOG00000001491	11.7751	12.6095	10.1374	12.2176	12.214
ENSSTOG00000001496	7.26343	8.65313	6.68643	9.128343	7.78617
ENSSTOG00000001498	0.126304	0.520277	0.21524	0.177884	0.386714
ENSSTOG00000001499	35.3087	37.8732	29.7519	28.3199	31.7353
ENSSTOG00000001500	110.275	109.441	116.067	108.886	102.492
ENSSTOG00000001502	2.97591	3.60584	3.57094	3.44431	3.99236
ENSSTOG00000001503	7.72409	7.94091	8.99767	8.73043	7.69719
ENSSTOG00000001504	0.323002	0.798221	0.529563	0.592153	1.139952
ENSSTOG00000001507	7.92258	7.82016779518	6.164405	7.821679	8.12816
ENSSTOG00000001508	20.6703	21.9455	19.3678	19.5774	18.9107
ENSSTOG00000001509	15.8854	17.2925	17.7019	18.2653	17.6419
ENSSTOG00000001510	0.213235	0.35112	0.181568	0.200039	0.124268
ENSSTOG00000001511	14.8415	16.3646	15.2947	14.9396	13.4798
ENSSTOG00000001512	0.0860195	0.0473779	0.0490088	0.0608009	0.12581
ENSSTOG00000001514	106.174	102.366	113.383	105.6	109.233
ENSSTOG00000001517	12.59018	11.604079	12.5805	12.781696	12.641079
ENSSTOG00000001518	8.24869	9.00482	9.89647	10.03334	9.67222
ENSSTOG00000001520	4.88384	2.937227	3.05219	1.45313	1.7161
ENSSTOG00000001522	19.9715	22.7281	19.9783	16.6833	19.7121
ENSSTOG00000001523	34.853976	27.97097	31.959532	30.922457	27.80698
ENSSTOG00000001524	0.897697	0.92078	0.476054	0.786017	0.586355
ENSSTOG00000001525	0.214945	0	0	0	0
ENSSTOG00000001527	4.43542	4.58182	5.03171	4.59971	4.58184
ENSSTOG00000001528	8.76673	9.55187	7.35319	9.68113	7.39485
ENSSTOG00000001529	3.49122	2.74251	3.95998	2.36124	2.64816
ENSSTOG00000001533	55.9839	51.9914	52.29978	51.58852	53.1012
ENSSTOG00000001534	19.8992	19.6272	20.4778	19.2311	19.3164
ENSSTOG00000001535	36.2815	33.10189	34.58934	36.1417	33.273
ENSSTOG00000001537	16.4068	12.0323	13.2613	10.9356	12.4513
ENSSTOG00000001538	3.61281	3.05699	4.10587	3.86596	4.60671
ENSSTOG00000001539	18.2761	14.2804	17.24	16.7722	17.5763
ENSSTOG00000001542	6.31719	5.82974	5.56297	5.64508	5.28029
ENSSTOG00000001543	77.9804	70.7336	79.9929	72.9431	66.0043
ENSSTOG00000001546	1.39134	0.357512	0.295775	0.244313	0.379532
ENSSTOG00000001548	15.84196	17.54249	16.665	17.66296	16.20498
ENSSTOG00000001549	5.28665	4.89768	5.62335	5.18609	4.34208
ENSSTOG00000001550	29.1864	26.6508	30.3088	25.6645	28.1348
ENSSTOG00000001552	11.8181	13.4174	17.0653	16.189	15.8569
ENSSTOG00000001554	27.7147	26.8008	26.7563	24.67	23.7404
ENSSTOG00000001556	25.9046	26.2576	29.0825	30.2122	26.7818
ENSSTOG00000001562	37.8909	36.334	40.8696	37.3377	37.5944
ENSSTOG00000001563	121.741	122.83	118.826	114.919	113.884
ENSSTOG00000001564	44.033416	45.66105	44.580898	46.0112	44.075641
ENSSTOG00000001565	16.1656	15.272	17.2202	16.258	14.8333
ENSSTOG00000001566	11.0149	11.3899	11.5826	15.2664	12.4879
ENSSTOG00000001569	1.307088672	0.7401883344	1.179563303	1.061266728	0.998749847
ENSSTOG00000001572	51.0669	49.5035	49.2581	45.4886	50.1124
ENSSTOG00000001573	0.186006	0.104058	0.184205	0.0668333	0.226395
ENSSTOG00000001576	11.9158	10.9513	10.5949	11.144	11.1434
ENSSTOG00000001578	31.95744	32.51678	33.23188	31.70198	31.90521
ENSSTOG00000001579	12.0981	12.8613	17.005	12.744	12.3723
ENSSTOG00000001581	10.4077	8.11448	9.1308	9.55336	9.01469
ENSSTOG00000001583	28.6585	27.45	26.2149	27.8004263338	23.56624
ENSSTOG00000001584	72.95297	72.19133	79.36006	78.1269	73.89377
ENSSTOG00000001585	11.068716	10.123019	9.206055	9.967039	10.62614
ENSSTOG00000001587	1.089	1.38515	1.81994	1.05647	0.954193
ENSSTOG00000001590	2.00699	2.09755	1.90316	2.51759	1.32877
ENSSTOG00000001592	9.793132915	9.669967635	11.929368333	10.6054	11.077186992
ENSSTOG00000001593	50.20633	54.1333	55.9686	53.7612	53.9409
ENSSTOG00000001595	20.88772	23.674	23.08773	19.615	20.83222
ENSSTOG00000001596	18.48325	14.83033	13.73781	12.494	18.4317000007855
ENSSTOG00000001598	181.348	172.2245	181.8266	174.851	172.9153
ENSSTOG00000001599	31.5096	30.0985	32.154	29.2887	32.1786
ENSSTOG00000001601	52.942	52.144	58.0242	53.0846	50.3424
ENSSTOG00000001602	29.47965	28.24011	26.37939	24.26281	30.837302
ENSSTOG00000001603	0	0	0	0	0
ENSSTOG00000001604	4.21373	4.670495	6.52935	5.47691	5.78975
ENSSTOG00000001605	85.9171	81.8007	86.5224	86.4083	87.9459
ENSSTOG00000001606	12.9234	12.0829	14.26	13.444336	11.6896
ENSSTOG00000001607	0	0	0.0614555	0.0507794	0
ENSSTOG00000001610	0	0.0849099	0.0656603	0.0271471	0
ENSSTOG00000001611	10.1085	11.374	10.2163	10.9883	9.07675
ENSSTOG00000001613	14.8432	17.3819	18.3347	16.5021	18.2813
ENSSTOG00000001614	55.675107	50.745276	60.07271	64.236486	62.503359
ENSSTOG00000001615	26.7325	27.0336	30.7596	27.52	29.5015
ENSSTOG00000001616	0.505423	0.498132	0.515107	0.779812	0.0881238
ENSSTOG00000001619	49.7199	43.4992	46.2813	44.4161	42.3596
ENSSTOG00000001620	11.7526	12.02092	12.52491	11.3235694335	12.2337
ENSSTOG00000001621	10.9262	12.795	12.731	11.4279	11.0145
ENSSTOG00000001622	24.9842	26.7656	24.0858	30.0728	24.1374
ENSSTOG00000001623	25.71	21.6237	22.1187	21.5848	20.137
ENSSTOG00000001626	0.149847	0.123584	0.127826	0.140895	0.262485
ENSSTOG00000001628	0.47495	0	0.253015	0.20912	0.259766
ENSSTOG00000001629	12.420156	11.421077	16.41315	9.77702	10.01664
ENSSTOG00000001632	23.11167	20.074704	22.25655	23.76648	21.47527
ENSSTOG00000001633	17.4624	19.1939	20.7388	20.7744	20.3425
ENSSTOG00000001636	13.68251	11.10417	12.480561	11.41437	12.663814
ENSSTOG00000001637	17.85219	19.60383	22.54231	19.43789	20.93948
ENSSTOG00000001638	27.7837	27.4958	27.3218	28.009	27.8125
ENSSTOG00000001640	61.285	61.9956	63.528	64.7425	59.3856
ENSSTOG00000001641	30.27492	29.16745	23.63611	29.3126	28.07405
ENSSTOG00000001642	26.1758	23.8322	22.4165	25.6993	25.0996
ENSSTOG00000001643	49.3369	46.5983	46.3237	45.4737	42.1965
ENSSTOG00000001644	92.0986	82.1775	87.9919	85.0879	83.6657
ENSSTOG00000001647	32.8432	34.7895	35.8155	37.0536	33.6027
ENSSTOG00000001648	175.714821	165.292604	162.52542	175.50402000011	174.137572
ENSSTOG00000001650	1.07173	1.9225	2.39817	1.8547	1.28136
ENSSTOG00000001651	12.49723	13.22626	15.75533	14.93217	13.6916
ENSSTOG00000001652	13.588	14.0507	12.2679	12.4337	13.6956
ENSSTOG00000001655	137.864	133.7432	133.6028	130.8236	123.4118
ENSSTOG00000001658	10.8959	11.6278	10.0291	10.5214	10.6648
ENSSTOG00000001659	121.592	98.089	79.768	87.0075	87.8854
ENSSTOG00000001660	134.3044	142.1028	136.65	137.3055	126.3826
ENSSTOG00000001661	41.3386	35.6807	42.9958	45.6948	47.3588
ENSSTOG00000001662	0	0	0.497874	0	0
ENSSTOG00000001663	34.6636	33.1298	37.2416	36.1555	34.2679
ENSSTOG00000001668	40.03391	42.89748	39.076362	40.289242	36.8247
ENSSTOG00000001669	25.7576	27.5449	28.5785	28.864	25.3293
ENSSTOG00000001670	13.6213	14.4715	14.4189	14.9895	13.6234
ENSSTOG00000001671	28.326	26.0594	23.9061	23.5276	23.8563
ENSSTOG00000001672	4.85318	6.19174	4.87041	6.05595	3.74069
ENSSTOG00000001673	1.02303	0.928387	0.95478	1.272506	0.6423173
ENSSTOG00000001674	1.48684	2.4378	2.1005	2.8605	0.862347
ENSSTOG00000001675	121.8765	123.5972	124.0313	134.7738	107.5047
ENSSTOG00000001676	31.952	21.2092	19.6712	24.2612	28.6682
ENSSTOG00000001677	0	0.0944324	0.097644	0.483632	0.300666
ENSSTOG00000001678	14.4459	11.6773	10.504	12.5504	12.1245
ENSSTOG00000001679	153.68	143.905	166.051	146.229	140.073
ENSSTOG00000001680	50.8186	51.8208	59.8558	52.5738	56.5875
ENSSTOG00000001681	0.794523	0.891934	1.04544	0.965454	0.694469
ENSSTOG00000001682	13.7737	13.4572	14.9063	12.9976	13.3114
ENSSTOG00000001683	21.5125	22.2783	22.7	22.5522	21.5422
ENSSTOG00000001684	18.51643	18.13426	21.01391	17.02729	19.3644
ENSSTOG00000001687	60.5627	56.8143	58.1687	59.1909	58.228
ENSSTOG00000001688	18.305099	18.975408	19.162164	20.56581	19.78931
ENSSTOG00000001689	107.39796	96.66056	104.96455	102.44752	98.739266
ENSSTOG00000001690	0.0856819	0.649166	0.321049	0	0
ENSSTOG00000001691	31.5534	29.7381	27.7354	30.6145	29.5999
ENSSTOG00000001693	3.19135	3.12132	3.51137	2.48052	2.44205
ENSSTOG00000001694	44.3159	40.8943	44.0229	44.4288	41.1826
ENSSTOG00000001696	315.689	311.19	240.406	230.575	326.176
ENSSTOG00000001698	7.347159	7.639488	6.43839	6.257784	6.19411
ENSSTOG00000001700	68.1769	88.70387	128.5772	116.2966	118.9612
ENSSTOG00000001701	0.570921	0	0.16171	0.0667751	0.165996
ENSSTOG00000001706	45.354	38.0465	44.4099	45.1922	43.937
ENSSTOG00000001707	32.335485	25.971966	22.817869	26.788783	27.34335
ENSSTOG00000001710	23.1174	25.863	27.0438	23.1529	26.5191
ENSSTOG00000001717	23.16503	22.84002	22.737901	24.57859	21.12118
ENSSTOG00000001720	0	0	0	0	0
ENSSTOG00000001722	8.94445	7.96097	7.76426	7.04551	7.5383
ENSSTOG00000001723	13.9864	13.0242	14.9778	15.7143	14.9027
ENSSTOG00000001725	74.0819	74.4415	82.9742	78.214	73.1448
ENSSTOG00000001727	0	0	0	0	0.0677676
ENSSTOG00000001728	17.1776	17.3308	17.9265	16.7207	17.3139
ENSSTOG00000001729	4.71691	5.38874	4.55515	3.85317	4.84166
ENSSTOG00000001730	14.53159	16.43559	17.44382	14.68701	15.72192
ENSSTOG00000001732	0	0	0	0	0
ENSSTOG00000001735	0	0	0.0944802	0.156192	0.145505
ENSSTOG00000001736	3.96876	3.82745	2.48276	3.02393	3.37605
ENSSTOG00000001741	6.66737	6.64542	6.01192	5.84737	6.403
ENSSTOG00000001742	16.80713	14.627113	14.053765	13.835352	14.463379
ENSSTOG00000001743	54.89053	59.42166	63.95387	56.5059	54.65158
ENSSTOG00000001744	13.7377	13.2679	13.0426	12.1128	13.8141
ENSSTOG00000001745	10.0959	9.0701	8.25861	10.5455	9.38408
ENSSTOG00000001747	0.13618	0.0843443	0.116327	0.0721499	0
ENSSTOG00000001748	16.7776	19.1204	21.7399	18.0269	18.85
ENSSTOG00000001750	17.80747	20.98051	22.69737	23.24841	21.71561
ENSSTOG00000001752	21.1586	24.4658	23.8023	21.4941	20.0474
ENSSTOG00000001754	21.2855	20.7013	20.4187	18.7081	20.701
ENSSTOG00000001755	4.104262	5.535865	6.03003	6.898835	6.43665
ENSSTOG00000001756	11.9481	10.7586	14.3399	11.456	11.2398
ENSSTOG00000001758	20.8918	17.8747	17.8761	15.8445	15.6065
ENSSTOG00000001759	0.0669195	0.0276327	0.0857497	0.0472759	0.0586993
ENSSTOG00000001760	8.11837	6.2653	5.2009	7.13145	6.10064
ENSSTOG00000001764	38.1766	40.9165	42.0034	41.6639	41.301
ENSSTOG00000001765	0	0	0	0	0
ENSSTOG00000001766	28.822	24.8866	25.4052	28.0429	25.0704
ENSSTOG00000001767	53.7528	53.17	52.3268	53.4033	51.2067
ENSSTOG00000001768	25.9051	20.49977	29.0466	18.13163	20.02887
ENSSTOG00000001770	26.5804	24.9944	20.3744	25.0063	27.4113
ENSSTOG00000001771	4.03951	4.07479	2.18495	2.3202	2.4031
ENSSTOG00000001772	215.1549	186.2659	192.5225	186.25037	210.5402
ENSSTOG00000001773	19.46977	16.39833	19.79171	15.78884	20.01996
ENSSTOG00000001776	98.9703	96.6977	102.281	88.8169	97.491
ENSSTOG00000001777	35.3785	35.1967	36.663	34.8087	33.8346
ENSSTOG00000001779	45.0616	41.5954	46.288	40.0514	37.2859
ENSSTOG00000001780	53.8512	54.5149	60.9689	52.5584	53.6626
ENSSTOG00000001781	0	0	0.0940391	0	0
ENSSTOG00000001782	39.6624	37.1323	37.5375	36.7828	35.9678
ENSSTOG00000001783	17.603	19.0499	20.3083	18.2269	17.9391
ENSSTOG00000001785	12.1152	10.1016	9.95256	8.27995	9.56478
ENSSTOG00000001786	0.125241	0.0689066	0.142548	0.029466	0.109774
ENSSTOG00000001787	0	0	0	0	0
ENSSTOG00000001789	15.105	18.3439	16.6311	16.9409	14.1408
ENSSTOG00000001792	11.01831	13.1839700008358	12.55954	13.81444	13.25578
ENSSTOG00000001793	11.23687	10.266917	9.97534	11.97752	9.74181
ENSSTOG00000001794	0.145936	0.300333	0.124243	0.153987	0.2551
ENSSTOG00000001795	93.9377	97.6683	94.4693	88.9144	80.0325
ENSSTOG00000001796	111.2599	101.0223	108.912	114.9346	104.9661
ENSSTOG00000001798	130.1098	134.0821	148.784	147.9951	142.8409
ENSSTOG00000001799	15.4186	15.1985	11.206	11.4362	15.5306
ENSSTOG00000001801	5.76334	6.43139	6.24247	6.85101	6.35648
ENSSTOG00000001803	0.31602721962	0.17116033462	0.04906246988	0.17949174095	0.051169221257
ENSSTOG00000001805	110.84451	105.251685	103.893996	105.000785	102.196211
ENSSTOG00000001806	0	0	0	0	0
ENSSTOG00000001807	33.9212	29.8881	28.6319	30.0686	30.2144
ENSSTOG00000001810	1.375	1.09674	1.13211	1.86173	0.577883
ENSSTOG00000001811	0	0.334637	0	0.38064	0
ENSSTOG00000001812	25.35916	20.69232	21.25212	20.31288	23.84008
ENSSTOG00000001813	41.1484	39.801	36.7001	36.5128	37.2594
ENSSTOG00000001815	17.1346	17.3265	15.5722	18.3746	17.1049
ENSSTOG00000001817	28.6015	29.3458	27.6776	26.3244	25.4966
ENSSTOG00000001818	3.36675	3.37895	2.24705	2.87779	2.75186
ENSSTOG00000001819	106.53948	99.9331	115.40691	114.63771	108.93496
ENSSTOG00000001822	86.06707	65.2845	60.594222	62.37808	64.8764
ENSSTOG00000001825	16.0926	23.4356	40.4533	36.0875	21.6234
ENSSTOG00000001826	55.9458	56.1881	53.4014	46.188203	49.472
ENSSTOG00000001827	16.9864	18.8161	20.8139	19.6002	19.3122
ENSSTOG00000001828	8.40874	5.48655	7.13742	8.83935	7.32612
ENSSTOG00000001829	79.3682	69.2862	72.0174	72.1923	72.6106
ENSSTOG00000001832	5.501362	4.74212	5.82501	5.40034	4.72018
ENSSTOG00000001834	30.3761	28.079	29.9509	29.7976	29.0966
ENSSTOG00000001835	32.01489	33.20168	37.26296	34.18405	31.63317
ENSSTOG00000001837	0.120148	0.197053	0.101875	0.0840886	0.104562
ENSSTOG00000001839	9.29085	10.0599	11.4067	8.60808	10.8638
ENSSTOG00000001840	2.51313	1.3685	1.69784	1.6333	0.725924
ENSSTOG00000001842	6.0758	6.8592	7.33957	7.08938	5.61189
ENSSTOG00000001843	7.267	7.948812	6.899414	7.161445	6.702935
ENSSTOG00000001846	12.4492	12.1298	12.8998	13.8295	12.3175
ENSSTOG00000001848	49.1989	45.2778	49.1381000002471	45.1414	46.1955000089577
ENSSTOG00000001849	0.321011	0.259061	0	0	0
ENSSTOG00000001851	12.57085	10.31442	11.20441	12.80208	12.83392
ENSSTOG00000001853	13.2552	11.7733	13.0072	11.841	12.0952
ENSSTOG00000001854	26.76742	27.11615	26.932797	27.464994	26.0980200008071
ENSSTOG00000001855	22.4781	19.5481	21.0265	21.216	21.9643
ENSSTOG00000001857	0.700267	0.776054	0.802668	0.975697	0.519776
ENSSTOG00000001860	8.15933	8.31756	8.79319	7.3705	7.13012
ENSSTOG00000001862	0	0	0	0	0.0660563
ENSSTOG00000001863	22.0701	20.60374	18.980126	18.50699	19.361462
ENSSTOG00000001864	0	0	0	0	0
ENSSTOG00000001865	1.88249	2.39334	1.60755	1.91419	2.11279
ENSSTOG00000001866	31.6414	31.3447	29.7605	28.3389	29.5858
ENSSTOG00000001868	40.9351500343925	45.6531	42.918420410291	43.29285173755	37.16154
ENSSTOG00000001869	7.74254	9.2595	11.0731	9.62363	9.101
ENSSTOG00000001872	0.142172	0	0.120322	0	0.123482
ENSSTOG00000001874	7.3269	8.22333	8.73199	8.91151	9.31538
ENSSTOG00000001877	0	0	0	0.0180582	0
ENSSTOG00000001883	13.8834682	16.482159	14.80853	14.67102	14.634796028371
ENSSTOG00000001884	10.7858	13.4843	12.5569	12.4532	13.2209
ENSSTOG00000001886	26.062659	33.114915	35.36991	33.25884	33.68018
ENSSTOG00000001889	36.4804	31.72101	33.18102	34.16588	33.5862
ENSSTOG00000001891	0	0	0	0.157268	0
ENSSTOG00000001892	29.6021	29.2146	31.2542	32.8992	30.9459
ENSSTOG00000001893	5.658960544692	6.154891	7.09453	6.831667	6.54449
ENSSTOG00000001894	40.61202	38.874	44.5327	43.9501	42.029
ENSSTOG00000001895	31.0673	32.2281	36.2546	32.1772	31.4607
ENSSTOG00000001896	17.942166	17.599241	17.307899	17.458683	17.243385
ENSSTOG00000001897	49.1289	52.3886	58.2871	50.6138	49.7849
