sample_SRR5517308	sample_SRR5517314	sample_SRR5517326	sample_SRR5517342	sample_SRR5517351	sample_SRR5517359	sample_SRR5517365	sample_SRR5517370
ENSHGLG00100000090	0.213344	0.225619	0.218805	0	0.395689	0.31389	0.0971768	0.180712
ENSHGLG00100000091	0	0	0	0	0	0	0	0
ENSHGLG00100000092	0.647743	0.642199	1.16257	1.38949	0.976112	0.833888	0.95889	0.754416
ENSHGLG00100000093	11.1059	12.2094	12.2911	9.63112	11.4046	9.69319	10.6889	9.67291
ENSHGLG00100000094	7.4137	10.69733	7.5434	11.52115	9.83286	11.64557	10.50688	11.37237
ENSHGLG00100000095	2.88518	2.54257	2.72053	3.48169	3.11444	1.95801	3.98506	3.05851
ENSHGLG00100000096	0	0.61101	0	1.10167	0	0	0.526338	0
ENSHGLG00100000097	156.683343	184.2199942	184.2233134	204.588945	173.27345	181.6927171	204.698841	183.7536157
ENSHGLG00100000098	88.699115	89.054115	97.768716	79.264641	93.2961	100.31198	92.209451	91.35802
ENSHGLG00100000099	0	0.096343	0	0	0	0.0665991	0.0827614	0
ENSHGLG00100000100	0	0.136961	0.130848	0	0.121934	0	0.113545	0
ENSHGLG00100000101	1.19893	0	1.127156	1.0478	0.277957	5.21842	16.886191	0.169258
ENSHGLG00100000102	2.18941	1.38923	2.42509	1.92037	2.3552	2.38372	1.99452	2.67051
ENSHGLG00100000103	0	0.107857	0	0	0.0966027	0.0757564	0	0
ENSHGLG00100000104	0.144016	0	0	0	0	0.0961297	0	0
ENSHGLG00100000105	0.363779	1.15413	1.11927	2.42776	0.6747	1.07045	1.65699	1.84882
ENSHGLG00100000106	0	0.23942	0.23219	0	0	0	0	0
ENSHGLG00100000107	16.87565	9.187825	17.14566	6.7268	23.7308	38.6046	17.2442	30.2168
ENSHGLG00100000108	26.8191569	31.26227	26.18497	33.88086	26.56201	29.66303	30.335	26.02623
ENSHGLG00100000109	15.8548	20.9364	18.1302	16.0858	22.6638	23.2646	21.9549	19.3546
ENSHGLG00100000110	1.42915	1.67737	1.5737	1.1459	1.60049	1.37723	2.10116	1.51771
ENSHGLG00100000111	7.129689	7.34874	7.97696	7.62131	10.41846	11.5018	5.69734	9.51625
ENSHGLG00100000112	54.5578	41.4974	45.4092	35.9103	46.1185	43.3768	37.085	44.08
ENSHGLG00100000113	0.480216	0.523707	0.17076	0.326624	0.449507	0	0.138054	0
ENSHGLG00100000114	0	0	0	0	0	0	0	0
ENSHGLG00100000115	5.28416	5.92962	7.34055	7.18083	5.90565	8.61078	6.93857	6.70995
ENSHGLG00100000116	0	0	0	0	0	0.106619	0	0
ENSHGLG00100000117	0	0	0	0	0	0	0	0
ENSHGLG00100000118	1.1082	1.16408	0.564461	0	0	0.813731	0	0
ENSHGLG00100000119	0	0	0	0	0	0	0	0
ENSHGLG00100000120	32.7341	32.6125	35.4769	40.3201	37.7476	39.1097	42.4394	41.853
ENSHGLG00100000121	0	0.166092	0	0	0	0	0	0.798198
ENSHGLG00100000122	0	0.737886	2.86241	0	0	0	0	0
ENSHGLG00100000123	25.3314	26.1943	24.9589	25.1137	30.0686	29.9058	27.7589	30.7494
ENSHGLG00100000124	274.355	170.925	236.276	143.039	150.083	218.222	179.528	159.67
ENSHGLG00100000125	4.46455	4.72144	5.49462	6.81035	3.86419	5.47387	6.23631	3.78167
ENSHGLG00100000126	47.7211	44.0733	55.5567	39.5024	34.5362	31.1326	37.672	24.7174
ENSHGLG00100000127	20.72704	26.2445	28.2074	47.6571161349	46.5389	40.3923	45.7159	57.0413
ENSHGLG00100000128	9.58392	10.14071	10.08728	9.989039	9.02572	9.18454	9.86817	8.77629
ENSHGLG00100000129	6.514798	6.21516	8.52942	6.68469	8.38072	8.4438	7.8793	7.72542
ENSHGLG00100000130	50.0465	51.0027	51.5232	40.4383	46.116	52.051	46.1095	45.7009
ENSHGLG00100000131	0	0	0	0	0	0	0	0
ENSHGLG00100000132	26.72351	25.42574	25.56153	22.40364	19.759	25.01545	23.51778	20.7193
ENSHGLG00100000133	5.01879	3.18454	6.10105	5.3431	5.51196	5.581033	5.86747	5.59732
ENSHGLG00100000134	0	0	0	0	0	0.279558	0	0
ENSHGLG00100000135	38.7461	38.8026	32.212	37.5	39.4699	41.2435	37.4365	29.5875
ENSHGLG00100000136	0	0	0	0	0	0	0	0
ENSHGLG00100000137	2.41829	1.99458	2.91251	2.75178	2.31245	4.71624	2.60343	4.89829
ENSHGLG00100000138	65.4995	64.6638	69.5062	61.1833	68.4653	67.1238	60.8765	70.153
ENSHGLG00100000139	44.0816	59.1229	56.388	67.4639	62.8744	68.091	65.3065	65.407
ENSHGLG00100000140	166.7238	185.6916	189.1544	161.8631	178.8895	206.4632	179.1748	198.4101
ENSHGLG00100000141	0.161194	0	0	0	0	0	0	0
ENSHGLG00100000142	11.1707	11.419	10.479	10.3339	11.4739	11.5566	9.98761	10.1116
ENSHGLG00100000143	6.4052	6.211862	6.22242	6.07478	5.385476	6.76431	5.87687	6.64368
ENSHGLG00100000144	44.5711	43.2987	46.20221	40.073212	47.57701	55.58937	46.473743	47.531500234588
ENSHGLG00100000145	6.63094	12.318426	11.4299	11.8674	22.162493	13.6413	18.215864	22.619415
ENSHGLG00100000146	7.59622	8.183101	8.51154	8.76827	16.6117	11.151209	11.9071	18.373465
ENSHGLG00100000147	11.1348	11.4454	11.2064	13.3938	12.7385	13.6266	13.5565	14.2797
ENSHGLG00100000148	10.7494	8.46672	13.7986	7.81303	10.1577	12.3461	9.71176	9.07813
ENSHGLG00100000149	73.2952	78.4478	68.1798	75.9219	52.6608	65.4404	68.3825	59.3999
ENSHGLG00100000150	112.469	151.423	137.88	152.769	158.612	188.573	149.973	165.57
ENSHGLG00100000151	0	0	0	0	0	0	0	0
ENSHGLG00100000152	0	0	0	0	0	0.0457088	0	0
ENSHGLG00100000153	0.0859262	0	0.0440629	0.163843	0.0796836	0.28445	0.0391389	0.0363916
ENSHGLG00100000154	0.289275	0	0.237517	0.0850542	0.101416	0.302559	0.189628	0.833188
ENSHGLG00100000155	6.44568	7.13573	8.235424	7.74343	8.50677	6.95103	6.99588	7.84987
ENSHGLG00100000156	56.4364	51.6721	46.9181	62.4353	39.829	54.1035	54.5251	43.1039
ENSHGLG00100000157	1.07752	0.28488	0.276276	0.256825	0.124905	1.38718	0.245402	0.342265
ENSHGLG00100000158	75.3124	87.442	82.8158	104.897	70.3082	86.9867	91.0514	74.5748
ENSHGLG00100000159	161.34117	135.87	144.70295	152.33688	151.17238	156.59201	157.95277	142.70344
ENSHGLG00100000160	5.12167	0	2.25765	1.93681	3.23432	4.19298	4.86676	4.31672
ENSHGLG00100000161	1.2054	0.789135	1.64834	1.69646	1.72997	2.4491	2.43152	2.01774
ENSHGLG00100000162	2.87703	2.75819	3.13535	1.80612	2.79917	4.06858	3.53494	2.32332
ENSHGLG00100000163	0.08779917	0	0	0	0	0	0	0.071291346
ENSHGLG00100000164	0	0	0	0	0	0	0	0
ENSHGLG00100000165	7.60736	3.27547	5.19225	7.86425	4.32217	2.62234	4.137	3.57753
ENSHGLG00100000166	35.7248	22.8671	40.0579	25.83	22.1919	33.1338	36.905	28.3058
ENSHGLG00100000167	0	0	0	0.12923	0.141971	0.211	0	0
ENSHGLG00100000168	663.658	717.84	797.843	681.653	835.917	953.467	787.925	863.661
ENSHGLG00100000169	2.03116	2.24567	1.60971	2.37661	1.19865	1.76589	1.85037	1.25126
ENSHGLG00100000170	0	0	0.185342	0	0	0.199212	0	0
ENSHGLG00100000171	83.048	76.064	85.9345	69.987	81.9655	98.1863	83.2213	88.1828
ENSHGLG00100000172	0.0988284	0.278706	0.168931	0.251259	0.183297	0.0969366	0.180063	0.195328
ENSHGLG00100000173	2.1281	0	0	0	0	1.56553	0	0
ENSHGLG00100000174	0	0.10953	0	0.293533	0.190217	0.226504	0.093534	0.175973
ENSHGLG00100000175	0	0	0	0	0.232844	0	0	0
ENSHGLG00100000176	5.09471	5.21949	7.34785	5.91978	6.25023	7.18346	6.72011	5.79888
ENSHGLG00100000177	0.412116	0.174631	0.111073	0.502866	0.199129	0.249167	0.330016	0.642147
ENSHGLG00100000178	1.81115	0.957682	1.85752	4.31684	5.03872	1.99854	0.824969	0.767063
ENSHGLG00100000179	0	0	0	0	0	0	0	0
ENSHGLG00100000180	8.1308	10.369357	9.27349	12.51737	10.665563	12.88133	11.9833	13.6753
ENSHGLG00100000181	1.69891	1.01869	2.38434	3.51009	2.30877	4.19375	2.09977	1.81775
ENSHGLG00100000182	0	0	0	0	0	0	0	0
ENSHGLG00100000183	0	0	0	0.24824	0	0	0.453172	0
ENSHGLG00100000184	5.4801	4.82951	5.2457	6.18254	4.48907	6.85338	6.6564	6.11181
ENSHGLG00100000185	13.0559	13.3238	11.4491	15.2579	11.27	11.8634	13.3882	10.2949
ENSHGLG00100000186	0	0	0	0	0	0	0	0
ENSHGLG00100000187	3.47084	0.00892542	2.42505	0	0.926048	6.77201	2.31294	2.06732
ENSHGLG00100000188	54.3034	70.6208	65.4775	39.1791	52.3998	50.7446	53.4808	47.8621
ENSHGLG00100000189	10.8373	13.5588	14.2194	12.5833	14.0924	14.4305	12.1891	13.4361
ENSHGLG00100000190	118.738	122.341	128.549	105.554	128.187	136.272	114.313	120.347
ENSHGLG00100000191	19.4143	27.4804	29.7138	35.4526	32.6839	36.9135	38.0933	40.2264
ENSHGLG00100000192	4.41385	3.66757	4.36517	3.15609	4.09318	4.6386	4.59538	4.53988
ENSHGLG00100000193	4.22977	4.19358	4.60918	4.53671	4.41279	3.69503	4.33493	3.80673
ENSHGLG00100000194	0	0	0	0.0942951	0	0	0	0
ENSHGLG00100000195	26.6211	28.6157	20.5021	24.3638	27.6689	34.7006	18.5855	21.4082
ENSHGLG00100000196	21.6118	19.1074	22.3078	16.5435	18.4964	25.4354	20.576	19.3207
ENSHGLG00100000197	1.40058	1.31659	1.51624	0.890201	1.08236	1.71721	0.779724	1.31817
ENSHGLG00100000198	0.547422	1.08548	0.842155	1.37001	1.07876	1.20812	1.1844	1.10127
ENSHGLG00100000199	97.87	96.0396	101.309	89.4025	88.8602	94.2665	101.807	88.4912
ENSHGLG00100000200	3.10979	3.92404	2.76088	5.6879	3.284	4.38128	6.26324	3.92975
ENSHGLG00100000201	19.5772	22.2358	21.7249	16.4584	19.7928	24.3194	17.9364	19.0495
ENSHGLG00100000202	1.7488	1.21949	1.76913	1.45559	0.784946	2.04158	1.01667	1.52585
ENSHGLG00100000203	3.22394	2.50014	4.81248	2.27656	2.47678	3.67701	2.49283	3.15372
ENSHGLG00100000204	0.133983	0	0.137413	0	0	0.0985641	0.244115	0.22698
ENSHGLG00100000205	13.6805	13.923	14.5182	11.7811	12.2684	12.788	11.733	13.5653
ENSHGLG00100000206	4.4033589	5.478016	4.02756	6.4201	5.62326	4.572732	5.75401	6.06573
ENSHGLG00100000207	318.853	174.162	480.292	314.713	239.174	433.9	212.153	78.9661
ENSHGLG00100000208	6.96131	7.16275	8.10867	8.19633	8.3702	10.9011	9.92146	9.93922
ENSHGLG00100000209	0	0	0	0	0.241411	0.194714	0.239862	0
ENSHGLG00100000210	0.93956	0.496811	0.481807	1.07492	0.609911	0.691182	1.36949	0.955019
ENSHGLG00100000211	0.118012	0.124674	0.241453	0	0.109463	0.174414	0	0.0999291
ENSHGLG00100000212	46.4375	65.5508	68.9091	72.8219	91.3304	64.1957	84.8544	84.8528
ENSHGLG00100000213	8.55129	7.81014	9.56749	10.00562	6.66844	10.57982	7.79012	7.40794
ENSHGLG00100000214	76.4686	75.0847	79.8946	67.6306	80.0183	78.3638	72.2706	77.5062
ENSHGLG00100000215	4.20947	5.00541	4.31101	3.47632	4.99434	4.70582	4.06177	4.41311
ENSHGLG00100000216	0	0.401884	0	0	0	0.279558	0.346192	0
ENSHGLG00100000217	43.95	43.8073	47.52	41.0105	47.5622	51.9843	45.869	49.5534
ENSHGLG00100000218	9.79769	9.89001	10.8334	9.62875	11.6552	12.6613	9.80128	10.3623
ENSHGLG00100000219	209.645	254.566	263.521	267.14	263.9	344.755	272.255	262.234
ENSHGLG00100000220	10.1722	7.26745	7.12197	7.29369	6.61605	7.32873	7.1449	6.83677
ENSHGLG00100000221	112.317	123.78	126.509	111.215	130.098	126.402	131.399	132.19
ENSHGLG00100000222	2.12211	1.39355	2.43112	2.39842	1.28086	1.43251	1.18253	0.98217
ENSHGLG00100000223	0	0	0.25701	0	0	0	0	0
ENSHGLG00100000224	0	0	0	0.138493	0.321143	0.247281	0.306875	0.246088
ENSHGLG00100000225	26.7984	23.8948	26.9455	32.0619	23.3896	37.4953	22.4982	31.156
ENSHGLG00100000226	1.44628	1.5295	0.423803	1.18189	0.958009	0.911957	0.470553	0.525028
ENSHGLG00100000227	33.7165	40.8745	37.6289	38.6585	32.6749	47.373	34.8357	24.4335
ENSHGLG00100000228	81.81383	82.29193	68.07186	111.92309	73.708566	66.04268	96.51039	80.0741
ENSHGLG00100000229	0.795821	1.98304	0.799846	1.46617	1.51327	1.4539	0.806436	1.60179
ENSHGLG00100000230	13.37034	10.73742	11.96124	9.37403	10.04925	8.72098	10.07492	15.74718
ENSHGLG00100000231	15.4485	11.3361	13.9039	15.3296	11.1101	15.0754	17.8071	12.2844
ENSHGLG00100000232	4.44842	2.26507	2.70359	2.82739	3.66689	5.45409	2.85173	5.02401
ENSHGLG00100000233	3.49825	3.39124	2.69086	2.9183	3.37928	3.53852	3.8508	2.83971
ENSHGLG00100000234	1.70438	1.05143	2.18501	1.17357	1.71227	2.29866	1.29389	1.8046
ENSHGLG00100000235	8.17116	11.9028	14.0542	12.61	9.99525	16.2088	13.5553	10.4493
ENSHGLG00100000236	0	0	0	0	0	0	0	0
ENSHGLG00100000237	0	0	0	0	0	0	0	0
ENSHGLG00100000238	29.2873	28.0559	31.3809	28.8504	32.2752	32.1089	27.6589	31.4152
ENSHGLG00100000239	34.7657	28.8155	30.6378	27.2292	29.3627	29.3792	27.9025	26.8536
ENSHGLG00100000240	7.36055	6.95065	8.41733	5.64088	5.69571	8.52834	6.2105	9.79228
ENSHGLG00100000241	51.0379	48.4127	49.5303	47.0895	44.743	41.482	43.8286	46.3304
ENSHGLG00100000242	3.90876	2.52613	3.5634	3.51955	2.21515	4.23331	4.64887	5.33422
ENSHGLG00100000243	18.394	19.3579	20.788	27.7522	15.9812	24.0412	24.1589	17.6226
ENSHGLG00100000244	20.1389	25.4053	33.8746	33.2568	27.5062	35.8127	28.0451	36.1103
ENSHGLG00100000245	4.65417	2.71065	5.25757	3.98709	3.81564	4.66433	5.34596	4.17083
ENSHGLG00100000246	49.6199	51.0555	40.9161	50.1405	41.8054	41.177	47.7138	39.2949
ENSHGLG00100000247	0	0	0	0	0	0	0	0
ENSHGLG00100000248	16.9942	20.4614	20.6678	20.1979	19.3268	23.1872	26.0989	25.9691
ENSHGLG00100000249	24.9805	27.7177	23.3213	22.6788	27.6245	20.6107	22.8887	19.2304
ENSHGLG00100000250	3.23842	3.914	1.68469	1.98481	1.9306	3.76662	3.81389	3.15298
ENSHGLG00100000251	27.4942	20.5418	29.3642	16.25934	21.8642	30.9354	20.3848	22.9562
ENSHGLG00100000252	2.11907	5.64131	4.20677	5.87532	2.05777	5.40788	3.79772	0.874522
ENSHGLG00100000253	85.6165	70.3548	88.9783	80.1219	79.4152	102.1427	82.0539	87.9276
ENSHGLG00100000254	364.3184	391.4651	345.7792	370.986	295.7722	338.8565	371.297	306.1196
ENSHGLG00100000255	0.1972	0.826533	1.22644	0.275733	0.621051	0.559405	0.438437	0.732797
ENSHGLG00100000256	0.310341	0.163297	0.160443	0.756375	0.146788	0.235154	0.291229	0
ENSHGLG00100000257	0	0	0.205627	0	0	0	0	0
ENSHGLG00100000258	24.9646	23.7731	25.2842	23.8889	20.8384	24.5892	22.1981	21.9229
ENSHGLG00100000259	13.9371	15.121	15.841	14.4219	20.372	15.4886	16.3159	20.0835
ENSHGLG00100000260	16.8299	14.4136	11.4883	14.9407	12.8439	15.9124	19.9062	12.6197
ENSHGLG00100000261	14.2128	14.7882	14.4983	13.921796	15.236009	15.464173	16.637821	18.839396
ENSHGLG00100000262	1.32925	2.48071	2.40579	2.83278	2.24783	2.01323	2.13694	1.72202
ENSHGLG00100000263	0.723505	0.615539	1.03854	1.10503	0.945009	1.28906	1.32318	2.59363
ENSHGLG00100000264	99.6719	114.4706	109.2317	84.053	115.5899	109.4944	105.4632	112.5362
ENSHGLG00100000265	82.6815	93.5929	103.121	143.302	148.306	98.2243	155.681	181.432
ENSHGLG00100000266	0	0	0	0	0	0	0	0
ENSHGLG00100000267	7.01411	8.61378	7.68236	7.60919	6.69998	8.36093	7.72866	7.19095
ENSHGLG00100000268	67.1366	45.5469	64.9579	54.5875	57.3254	63.7393	57.9295	60.3012
ENSHGLG00100000269	2.24011	1.57933	5.36073	3.5595	1.38491	1.09861	0.680238	2.52996
ENSHGLG00100000270	0.468573	0.0825891	0.240284	0	0	0.0574505	0.0711441	0
ENSHGLG00100000271	23.5786	20.6695	25.0992	21.0127	22.2898	27.976	25.4955	22.7548
ENSHGLG00100000272	0.332516	0	0	0	0.154179	0	0	0
ENSHGLG00100000273	26.382300115794	29.099200175767	34.033500209056	29.475800496336	29.626400263401	33.5091000340801	32.201800356213	34.829900221262
ENSHGLG00100000274	0	0	0	2.04408e-07	1.87131e-07	4.26696e-08	2.01168e-07	2.02447e-07
ENSHGLG00100000275	39.5209	37.8107	38.8893	41.1239	32.8864	39.6982	40.027	39.3889
ENSHGLG00100000276	0	0	0.560835	0	0	0	0.498161	0.231597
ENSHGLG00100000277	0.837836	1.24046	0.515571	0.798786	0.310787	0.493079	0.763259	0.993558
ENSHGLG00100000278	0.443106	0	0	0.429795	0.211727	0.165152	0.620057	0
ENSHGLG00100000279	0	0	0	0.15796	0	0	0	0
ENSHGLG00100000280	0	0	0	0	0	0	0	0
ENSHGLG00100000281	0	0	0	0	0	0	0	0
ENSHGLG00100000282	18.36339	15.554672	19.49907	13.270669	20.70007	22.11181	17.70424	19.26125
ENSHGLG00100000283	30.0008	27.9474	27.5492	27.3635	26.61504	29.7072	27.4865	26.1026
ENSHGLG00100000284	0	0.593813	0.232587	0.321201	0.104142	0.247841	0.102305	0.190248
ENSHGLG00100000285	0.193264	0.279829	0.201547	0.12374	0.362719	0.521176	0.177731	0.167801
ENSHGLG00100000286	0	0	0	0	0	0	0	0
ENSHGLG00100000287	1.41874	0.750184	0	0	0	0.521842	0.646226	0
ENSHGLG00100000288	12.3978	14.1475	14.3828	12.682	13.9126	13.6989	13.6899	12.197
ENSHGLG00100000289	75.2084	77.1981	80.2911	75.6536	82.0174	89.3956	77.932	79.3041
ENSHGLG00100000290	0.0873965	0.0924251	0.179268	0	0	0.0642927	0.0796172	0.0740286
ENSHGLG00100000291	15.30944589	11.4501156577	13.22636	12.6250000027173	11.97045	11.803624	12.9988700365246	17.4067117417
ENSHGLG00100000292	29.6237	0.197033	1.71974	0.355258	0.403146	0.228433	0.282881	0.10521
ENSHGLG00100000293	8.68303	11.9858	12.28	10.1954	12.375	13.6493	13.4056	16.8002
ENSHGLG00100000294	0	0.280036	0.0543157	0.0504915	0	0.0389596	0	0
ENSHGLG00100000295	5.09659	8.41765	5.95457	6.1131	5.125965	5.9647	6.94902	6.74218
ENSHGLG00100000296	0	0	0	0	0.327703	0	0	0
ENSHGLG00100000297	0.364237	0.270871	0.130322	0.452503	0.340062	0.766223	0.906532	0.407191
ENSHGLG00100000298	1.69553	2.3448	2.40775	1.36781	1.4514	2.6865	0.950526	1.32571
ENSHGLG00100000299	0	0	0	0	0	0	0	0
ENSHGLG00100000300	0	0	0	0	0.822099	0	1.2004	0
ENSHGLG00100000301	10.1295	14.5017	13.251	13.1721	8.85039	15.6891	12.0527	6.82905
ENSHGLG00100000302	3.86928	6.13787	1.32278	1.84447	1.19606	1.42321	2.93739	2.73121
ENSHGLG00100000303	0.429902	2.03181	2.18826	1.03064	0	2.89337	0.505387	1.90528
ENSHGLG00100000304	1.23466	2.06886	0.883075	1.25449	1.58127	1.57185	1.49977	1.21341
ENSHGLG00100000305	0.431426	0.79577	0.83597	0.548921	0	0	0	0
