sample_SRR5279360	sample_SRR5279359	sample_SRR5279358	sample_SRR5279356	sample_SRR5279349	sample_SRR5279348	sample_SRR5279345	sample_SRR5279344
ENSPEMG00000000082	28.8262	29.0676	25.866	26.6354	58.0321	19.498	25.9623	34.1031
ENSPEMG00000000084	0	0	0.0659845	0	0	0	0	0
ENSPEMG00000000085	115.38247	108.28189	83.38637	96.94577	108.7514103	135.102474	136.9645	105.98623
ENSPEMG00000000086	42.1594	47.7907	43.4858	60.044	37.3713	51.0222	47.7522	30.6947
ENSPEMG00000000087	11.58629	10.0297	8.49272	22.046182	37.5197	26.2263	37.8403	2.89433
ENSPEMG00000000088	12.051	20.7265	9.41738	17.8366	4.59828	7.74824	18.943	7.66708
ENSPEMG00000000089	11.672	19.7398	18.7324	6.94988	20.1744	0	18.4278	11.6936
ENSPEMG00000000090	2.436767	1.69213	2.56063	2.34415	9.39872	5.97883	6.15178	3.73881
ENSPEMG00000000091	29.4587	27.8746	23.9943	25.4755	9.0295	24.1982	21.9527	21.2442
ENSPEMG00000000092	2.26157000057605	2.94715	2.458478	3.087222	1.8257	3.0533362	1.2725844	1.64547
ENSPEMG00000000094	0.553155	0.506542	0.253582	0.444014	0	0	0.0427324	0
ENSPEMG00000000096	11.175904305	15.7386	9.68342	10.8123	17.83556	25.1811	8.835611	13.22616
ENSPEMG00000000098	0.513834	0.558051	1.51273	0.670678	1.94922	0	0.535767	0.537497
ENSPEMG00000000099	0	0	0	0	0	0	0	0
ENSPEMG00000000101	1.96774	3.65787	1.90247	2.12762	0	0	0.314616	0
ENSPEMG00000000103	3.85664	3.4573	5.93621	4.350872	13.1207	23.4568	13.24202	15.2406
ENSPEMG00000000105	8.5902	5.07789	5.04452	9.28143	8.7381	18.0508	9.30052	9.35525
ENSPEMG00000000107	0	0	0	0	0	0	0	0
ENSPEMG00000000108	3.76684	4.08573	3.78307	3.38051	1.86009	2.2133	5.25241	3.72991
ENSPEMG00000000110	27.3496	32.2867	24.88041	24.2033	21.81356	18.09897	24.8902	18.32579
ENSPEMG00000000111	17.1261	18.6414	14.7784	17.2742	35.2677	16.8852	18.7033	13.4752
ENSPEMG00000000112	11.329	14.2536	11.9514	17.8222	12.1777	17.6314	12.3069	8.26479
ENSPEMG00000000113	3.96161	4.81746	3.1579	3.31384	5.08993	0	5.46174	3.65753
ENSPEMG00000000114	1.00433	0.334512	2.08104	1.37963	2.58998	1.88377	1.64566	0.770486
ENSPEMG00000000115	0.677113	0	1.58823	0.401956	0	0	0.238875	0
ENSPEMG00000000116	17.9626	19.454	17.4625	19.8493	4.68336	0	30.7725	13.3955
ENSPEMG00000000117	0	0	0	0	0	0	0	0
ENSPEMG00000000119	72.4617	63.1116	81.619	71.9688	88.6011	61.4837	65.9795	72.7377
ENSPEMG00000000120	45.497	52.22	33.243	46.9791	18.0489	19.20902	74.3808	52.9444
ENSPEMG00000000121	12.9192	12.8497	10.6055	13.638232	19.32642	10.8763	15.38224	7.93845
ENSPEMG00000000122	3.46093	2.09899	1.62365	0.788461	8.43807	0	6.06775	1.98589
ENSPEMG00000000123	2.04738	2.88296	1.6152	2.31603	1.37834	6.60187	0.754839	0.380548
ENSPEMG00000000124	9.73005	10.66707	8.94181	12.22994	12.4327	11.1276	12.82162	13.9792000650158
ENSPEMG00000000125	21.7491	16.9602	38.8923	26.8042	49.1932	51.8042	39.1925	39.6693
ENSPEMG00000000126	8.96127	7.4381	7.72124	9.25085	7.98844	8.15765	9.29396	6.93095
ENSPEMG00000000127	6.11431	4.69283	7.01236	5.95915	10.9018	14.7705	11.3047	10.0665
ENSPEMG00000000128	15.9998	14.7287	23.3781	32.8795	0	14.0508	4.74372	11.1346
ENSPEMG00000000129	7.82246	8.57846	7.55356	7.3059	11.9663	2.43644	8.54799	7.70328
ENSPEMG00000000130	2.6979	1.37264	2.64534	1.3995	0	0	0.464395	1.37861
ENSPEMG00000000131	22.2922	23.5964	22.368	21.2639	19.1899	25.8775	19.4019	20.1761
ENSPEMG00000000132	1.24605	2.83175	2.003	2.7763	0.140677	5.42992	0.548757	1.52014
ENSPEMG00000000133	1.85812	0.169266	2.30179	1.81034	2.50579	0	1.8247	1.69265
ENSPEMG00000000134	0	0	0	0	0	0	0	0
ENSPEMG00000000136	24.274	24.3892	22.8862	26.9973	30.6995	18.8317	24.8016	23.1703
ENSPEMG00000000138	0	0.370606	0	0.0437212	0	0.039352	0.157444	0.459197
ENSPEMG00000000139	60.192	48.1848	43.2913	48.4027	56.9502	50.8267	62.4899	39.6943
ENSPEMG00000000140	29.435	41.66	29.8464	42.7854	26.799	33.836	39.7399	29.0472
ENSPEMG00000000141	8.23703	9.67982	9.55722	9.58871	0	9.95077	11.7205	3.712
ENSPEMG00000000142	0	0	0	0	0	0	0	0
ENSPEMG00000000143	0	0	0	0	0	0	0	0
ENSPEMG00000000144	15.8972	12.0598	10.3937	18.0108	8.85208	16.6388	23.7471	11.7246
ENSPEMG00000000146	7.34961	5.29052	5.98177	6.07561	13.1746	3.14403	9.88648	4.44188
ENSPEMG00000000147	10.4648	9.58955	9.0117	7.22506	6.47516	13.1332	5.66309	15.6287
ENSPEMG00000000149	2.82943	2.10202	1.54781	2.92781	0	0	0	0
ENSPEMG00000000150	45.9726	44.6173	44.5935	46.6064	56.2077	37.8848	37.9168	26.7421
ENSPEMG00000000151	33.591	31.2454	39.7813	37.5492	44.6065	50.8282	32.6683	33.021
ENSPEMG00000000152	47.6579	76.2313	47.06931	92.6479	53.5971	63.8772	66.37471	61.8795
ENSPEMG00000000153	0.0269532	0	0	0	0	0	0	0
ENSPEMG00000000154	22.7686	22.2951	21.1984	25.6087	35.3846	35.5046	31.105	19.121
ENSPEMG00000000155	9.44654	7.67659	10.6614	14.4672	23.5438	9.75281	7.31435	7.52402
ENSPEMG00000000158	0.0747601	0	0	0	0	0	0	0
ENSPEMG00000000159	18.175	20.5485	14.9223	15.4807	23.5975	2.85731	15.7089	10.9348
ENSPEMG00000000160	103.7519	91.2874	94.9119	145.9302	55.6617	133.9507	91.7919	104.3302
ENSPEMG00000000161	0	0	0	0	0	0	0	0
ENSPEMG00000000162	31.2949	23.9957	32.4631	24.4712	25.2367	49.9464	19.9461	27.737
ENSPEMG00000000163	20.67533	17.81493	19.38558	31.0033	106.105462	49.4204	40.29834	15.54684
ENSPEMG00000000164	5.22967	6.67539	8.99165	4.73755	36.9462	24.3657	17.3262	9.18322
ENSPEMG00000000166	10.9048	12.4284	9.29449	13.792	12.0185	5.20398	9.64268	11.8072
ENSPEMG00000000167	2.10127	2.49221	3.91881	1.73669	0	0	4.84844	2.24337
ENSPEMG00000000168	11.59485	10.1241	11.58813	12.83367	5.12558	26.76935	15.77748	13.72115
ENSPEMG00000000170	3.74571	0.839896	3.03878	1.63996	0	0	1.57596	0
ENSPEMG00000000171	0.602792	0	0.0672714	0.298005	0	4.62261	0.638583	0
ENSPEMG00000000173	2.28265	1.17673	4.0651	1.58845	2.96024	8.66396	3.01838	4.16956
ENSPEMG00000000174	88.2087	101.018	82.9928	95.3164	86.0509	80.1132	70.3637	43.7027
ENSPEMG00000000175	1.39493	0.303555	0.683993	1.65015	2.93443	1.87702	1.30671	1.1636
ENSPEMG00000000176	26.5186	40.4735	33.13437	40.68036	30.4119	34.1369	24.86023	29.77324
ENSPEMG00000000177	1.75435	3.28271	1.58315	1.52129	3.3975	3.69383	3.439	1.02573
ENSPEMG00000000178	3.83112	3.98101	3.80869	6.53947	3.56186	6.7937	3.74042	1.92447
ENSPEMG00000000179	7.94884	6.80948	8.448726	7.62517	8.77199	4.20975	7.79603	9.90396
ENSPEMG00000000180	9.47092	9.04126	12.03123	18.98546	14.1218	11.005844798	8.952357	11.84975358
ENSPEMG00000000181	7.37476	7.29426	6.07907	10.0373	17.2353	15.4201	20.0925	21.0035
ENSPEMG00000000182	0.949284	0.365873	0.681174	1.3288	1.09718	0	0.86843	0
ENSPEMG00000000183	2.64433	1.62583	2.62279	1.85053	3.36598	0	2.8879	2.28878
ENSPEMG00000000184	0.78985	0.290889	0.687603	0.434859	0	0	0.617538	0.132168
ENSPEMG00000000185	22.544	15.072	18.5169	19.4152	31.646	34.0016	31.3738	27.487
