sample_SRR8750645	sample_SRR8750677	sample_SRR8750709
ENSPTRG00000000205	43.6408	39.9624	39.4327
ENSPTRG00000000206	2.1475	1.80527	1.31783
ENSPTRG00000000207	0.228305	0.28003	0.218931
ENSPTRG00000000208	3.276507	2.904396	2.994106
ENSPTRG00000000210	5.70728	5.57312	12.2067
ENSPTRG00000000211	14.11605	11.94199	18.687126
ENSPTRG00000000214	0.379554	0.595983	1.18483
ENSPTRG00000000217	0.338517	0.0941124	0.706189
ENSPTRG00000000221	1.03922	0.343476	2.00714
ENSPTRG00000000223	0.828668	0.863889	1.61174
ENSPTRG00000000224	35.5447	29.7998	14.1723
ENSPTRG00000000225	6.42131	5.39415	5.61664
ENSPTRG00000000226	30.17562	29.11529	50.2927
ENSPTRG00000000227	0.638869	0.5851351	0.0755449
ENSPTRG00000000228	24.871143	24.197559	25.30609
ENSPTRG00000000232	38.45766	30.508424	68.95167
ENSPTRG00000000238	9.50733	3.31623643666	3.72944
ENSPTRG00000000239	0.267953	0.306212	0.101456
ENSPTRG00000000241	77.262528	80.68179	54.374093
ENSPTRG00000000242	75.9963	74.6833	75.5756
ENSPTRG00000000243	47.3956	45.8702	178.452
ENSPTRG00000000244	0	0.0208909	0.120673
ENSPTRG00000000245	0	0.0507314	0
ENSPTRG00000000246	1.3601886	3.822916	3.00186
ENSPTRG00000000247	11.4461	11.6445	15.2333
ENSPTRG00000000248	19.007996	14.777532	15.98939
ENSPTRG00000000249	0	0.0507996	0
ENSPTRG00000000250	27.7861	23.6636	34.39289
ENSPTRG00000000253	0.093676	0.229501	0.161809
ENSPTRG00000000254	0	0	0
ENSPTRG00000000255	31.3177	29.72032	11.746352
ENSPTRG00000000256	5.11978	3.11981	4.05669
ENSPTRG00000000257	47.22653	32.93672	27.21712
ENSPTRG00000000261	15.333149	14.0561	16.116171
ENSPTRG00000000262	31.3024	31.9905	25.8366
ENSPTRG00000000263	0	0	0.110291
ENSPTRG00000000264	31.337	25.817	7.95295
ENSPTRG00000000265	71.5236000014898	69.8209	32.2282
ENSPTRG00000000266	18.2691	13.19268	13.05142
ENSPTRG00000000268	120.25049	122.8425	136.84519
ENSPTRG00000000269	281.97836	263.143	170.664861
ENSPTRG00000000271	1.05287	0.660883	3.30774
ENSPTRG00000000272	1.83095	1.35911	1.88471
ENSPTRG00000000274	0	0.146691	0
ENSPTRG00000000275	2.20428	1.33789	3.31827
ENSPTRG00000000276	0	0.567636	0
ENSPTRG00000000277	0.0312998	0.355979	0.14927
ENSPTRG00000000278	0.455099	0.371499	0.143544
ENSPTRG00000000279	0	0	0
ENSPTRG00000000280	0	0.0590764	0
ENSPTRG00000000282	1.60682	0.580576	0.426615
ENSPTRG00000000286	3.23865	1.52008	0.433006
ENSPTRG00000000287	184.618	209.65	325.939
ENSPTRG00000000288	19.3396	19.1992	17.4531
ENSPTRG00000000290	0.474146	0.483414	1.739867
ENSPTRG00000000291	194.665	185.993	141.710062
ENSPTRG00000000294	7.97126	4.92577	2.0319
ENSPTRG00000000295	12.76768	13.379916	9.84734
ENSPTRG00000000296	34.173	42.5366	44.9211
ENSPTRG00000000297	24.145278	25.0705235	23.5378150061731
ENSPTRG00000000298	17.0370345	9.6476	20.41454
ENSPTRG00000000300	35.28845	19.6882	60.2021115123
ENSPTRG00000000302	2.39069000947038	2.79302	2.159503
ENSPTRG00000000303	68.95133	52.189271	84.078532
ENSPTRG00000000304	15.92023	11.91452	16.37259
ENSPTRG00000000306	1.00131	0.233275	0.273827
ENSPTRG00000000307	0.426657	0.354369	0.962057
ENSPTRG00000000315	2.9342	3.32161	4.760175
ENSPTRG00000000316	1.793665	1.274641	0.555988
ENSPTRG00000000318	73.4991	77.0187	242.642
ENSPTRG00000000319	83.9814	107.188	416.943
ENSPTRG00000000320	3.48411	3.6185	3.5228
ENSPTRG00000000321	29.24181	22.28146	16.31844
ENSPTRG00000000322	4.87583	6.84874	4.50289
ENSPTRG00000000323	0.290176	2.13066	0
