sample_SRR3879744	sample_SRR3879745	sample_SRR3879746
ENSCHIG00000000150	0	0	0.136689
ENSCHIG00000000151	5.74417	9.08664	6.80756
ENSCHIG00000000152	49.9179295295	66.134375	56.962727
ENSCHIG00000000153	6.85489	5.95539	9.86611
ENSCHIG00000000154	0.144639	0.292973	0
ENSCHIG00000000155	4.01656	4.88377	6.59249
ENSCHIG00000000156	0	0	0
ENSCHIG00000000157	0	0.145625	0.188855
ENSCHIG00000000158	19.5427	18.1373	18.1434
ENSCHIG00000000159	45.5235	35.8839	50.733
ENSCHIG00000000160	11.6395	15.497	14.2277
ENSCHIG00000000161	0	0	0
ENSCHIG00000000162	43.9927	42.9034	39.25814
ENSCHIG00000000163	93.3187	95.4067	85.0885
ENSCHIG00000000164	5.41522	4.96485	7.01168
ENSCHIG00000000165	0.513835	0.718171	1.14128
ENSCHIG00000000166	0	0	0
ENSCHIG00000000167	29.123621	24.1039	29.8387
ENSCHIG00000000168	0.562166	0.7966355	1.03132
ENSCHIG00000000169	30.11438	27.14624	27.29752
ENSCHIG00000000170	0.589423	0.742604	1.07449
ENSCHIG00000000171	12.161	17.8518	15.0368
ENSCHIG00000000172	0	0	0
ENSCHIG00000000173	4.79653	3.98977	3.86332
ENSCHIG00000000174	60.914	62.4139	52.8322
ENSCHIG00000000175	0	0	0.39797
ENSCHIG00000000176	0.0287679	0.148834	0.139758
ENSCHIG00000000177	0	0.150954	0
ENSCHIG00000000178	2.37876	1.33175	1.79391
ENSCHIG00000000179	120.99729	120.78749	105.43037
ENSCHIG00000000180	29.681377	33.14923	30.57659
ENSCHIG00000000181	11.408118	15.889	11.7638
ENSCHIG00000000182	0	0.45843343	0.254318
ENSCHIG00000000183	0.806252	0.771891	1.02063
ENSCHIG00000000184	1.86235	1.93781	1.91689
ENSCHIG00000000185	2.75128	3.69879	3.0641
ENSCHIG00000000186	0	0	0
ENSCHIG00000000187	63.1141	83.0505	113.419
ENSCHIG00000000188	35.8299	34.2138	30.7137
ENSCHIG00000000189	0.848625000914499	1.84263	1.541000302977
ENSCHIG00000000190	0	0	0
ENSCHIG00000000191	0	0	0
ENSCHIG00000000192	0	0	0
ENSCHIG00000000193	0	0	0
ENSCHIG00000000194	8.05316	4.51217	13.5285
ENSCHIG00000000195	0	0	0.23873
ENSCHIG00000000196	527.269	608.572	561.506
ENSCHIG00000000197	5.80062	8.05864	9.09291
ENSCHIG00000000198	21.293963	15.91278	21.7767646
ENSCHIG00000000199	2.6842	2.48135	3.17416
ENSCHIG00000000200	0.644029	1.59501	1.8054
ENSCHIG00000000201	22.5034	23.2036	23.5167
ENSCHIG00000000202	9.26939	17.5035	13.7555
ENSCHIG00000000203	15.742	23.2547	22.0252
