ENSBTAG00000011762 6.247613 9.07048 9.44267 6.94503 7.671916 4.1107
ENSBTAG00000010338 1.80731 1.06785 1.58617 1.88992 1.78707 2.74004
ENSBTAG00000008576 4.33203 8.76061 8.8971 6.13497 6.80942 6.47935
ENSBTAG00000021977 5.22912 5.6746 6.21916 6.11674 7.17983 8.37313
ENSBTAG00000005793 972.401 828.227 1028.46 892.085 986.19 794.807
ENSBTAG00000010344 4.86746 4.32601 3.26039 3.207 5.72869 2.7681
ENSBTAG00000020223 2.64954 1.76588 2.11019 3.09 2.678 3.76085
ENSBTAG00000017844 0.258382 0.236798 0.166254 0.101781 0.177178 0.329383
ENSBTAG00000021284 9.696287 8.23769 5.355205 11.9846 13.2785 40.761
ENSBTAG00000003857 7.492022 6.561758 7.095184 8.497088 8.521327 7.816039
ENSBTAG00000000329 31.78608 28.86422 27.77665 30.20066 32.24405 42.50375
ENSBTAG00000016644 0.174747 0.1560476 0.236656 0.140826 0.2233391 0.2332816
ENSBTAG00000005029 9.022905 4.5144721 5.638076 5.535833 8.125474 4.282433
ENSBTAG00000009903 7.3892 6.0678836 7.481634 6.7308761521 7.16486468 6.62372
ENSBTAG00000000799 9.695176 12.204886 10.642163 7.87334 10.42903 8.129529
ENSBTAG00000009023 4.34772 3.63828 4.07399 2.99879 3.86788 4.10355
ENSBTAG00000021242 60.2167 42.2278 39.2972 41.5257 54.2529 69.3424
ENSBTAG00000000317 83.481 101.7039 148.5977 188.3578 140.067 101.7013
ENSBTAG00000010716 0.76541077984 0.565344 1.040896 0.5558590264283 0.676277084 0.427727
ENSBTAG00000010821 3.62532 4.20361 4.94647 4.98308 5.76457 3.83147
ENSBTAG00000022917 2.021105 1.684665 0.69545 1.925055 2.591539 9.69308100534
ENSBTAG00000013901 63.6689 52.5381 63.5397 66.8114 78.1549 60.8462
ENSBTAG00000020221 2.85638 9.58516 5.65818 4.80158 5.95706 10.6444
ENSBTAG00000047416 6.63779 3.438709 3.014597 4.776402 5.61893 10.47476
ENSBTAG00000017549 6.611612 46.102141 33.020731 6.11757 12.7965 9.55542
ENSBTAG00000005103 0 0.0202555 0 0 0 0
ENSBTAG00000016465 24.389386 31.696782 36.3856 36.115219 37.8287 28.801463
ENSBTAG00000002799 0.29152 0.119706 0.3935076 0.4943409 0.3557183 0.370029
ENSBTAG00000021106 0.262389 0.261793 0.224354 0.211912 0.25792 0.277317
ENSBTAG00000003260 0.418252 6.67457 0.3449 0.467913 2.54646 1.97251
ENSBTAG00000001927 1.53454 0.926394 0.567403 0.467087 1.54077 1.35425
ENSBTAG00000008140 0.32381 0.0154453 0.0604448 0.0191756 0.100186 0.258604
ENSBTAG00000013117 6.86271000043949 29.286068 8.39124000016858 6.7392200104535 13.8738900053398 5.80632129432
ENSBTAG00000003097 4.943291 2.85908686 4.91175000012462 3.56172826 4.1265286 5.484904
ENSBTAG00000016542 1.595588 1.465855 3.343177 3.033991158 2.01983787161 1.964670601169
ENSBTAG00000001522 23.201 19.0519 24.425 17.125 23.5696 23.196
ENSBTAG00000016505 33.5855 37.3604 65.0079 43.3212 50.0141 35.6967
ENSBTAG00000003163 0 0 0 0.020526 0 0
ENSBTAG00000016470 7.787883 6.7432 8.373138 11.58135 13.906646 13.100804
ENSBTAG00000002798 52.37 60.0965 58.42 61.9406 66.3292 58.1782
ENSBTAG00000018771 0.652276 0.396729 0.246504 0.328336 1.44622 3.63731
ENSBTAG00000003126 28.71768 28.72383 36.76359 40.595 36.13533 33.04334
ENSBTAG00000006797 3.13696 9.87381 3.50375 2.95538 3.69574 3.49293
ENSBTAG00000002097 0.161691 0.28603 0.575083 0.399534 0.587427 0.727783
ENSBTAG00000000730 0 0 0.055612 0 0 0
ENSBTAG00000002101 114.729 150.6844 128.10022 93.51677 121.41943 102.358
ENSBTAG00000039618 0 0 0 0 0.0401 0
ENSBTAG00000030599 30.1345 35.9917 35.8862 63.7002 30.6837 36.3627
ENSBTAG00000002716 13.83238 17.86121 17.8629 16.73129 18.96911 15.45935
ENSBTAG00000007306 20.29621 33.084496 28.94892 10.39109 19.17881 8.66586
ENSBTAG00000026754 20.26544 27.78117 21.91092 16.72751 22.83004 18.79206
ENSBTAG00000006494 0.0966425 0.0312921 0.0840094 0.0398939 0.0206293 0.0350052
ENSBTAG00000048246 0.2097585 0.3024119 0.172634 0.240797 0.343333 0.160368
ENSBTAG00000000072 13.2494 11.2445 11.317 9.41428 11.8678 14.3946
ENSBTAG00000014253 6.005078 6.573436 7.332511 6.26831 6.31825 5.50844
ENSBTAG00000034283 0.0381919 0 0 0 0.0693487 0.181836
ENSBTAG00000013148 0.779064 0.334667 0.388678 0.276849 0.627752 0.338239
ENSBTAG00000014697 46.110767 46.83038 65.02217 63.42485 62.94737 53.31592
ENSBTAG00000000626 1.78249 1.39032 1.19809 1.58754 1.626056 1.973176
ENSBTAG00000032558 1.2596065 1.348628 1.249595 1.719391 1.432505 2.2643350224898
ENSBTAG00000016867 0.0676672 0.0274451 0 0.0340635 0 0
ENSBTAG00000004587 9.02344 14.3895 11.2131 10.2582 10.963 8.47733
ENSBTAG00000002210 45.61471 40.451882 45.283 41.47351 46.28879 49.4251000005176
ENSBTAG00000017701 0.746562 0.363389 1.14683 0.638901 0.904178 0.412563
ENSBTAG00000012444 0.679683 0.836283 1.034417 0.795625816551 0.766882 0.750453
ENSBTAG00000006674 0 0 0.0221638 0.0421812 0.0220406 0.0384647
ENSBTAG00000035174 22.1215 18.2576 19.1572 13.7006 19.5893 16.2
ENSBTAG00000000687 6.6448927 5.3910508 5.110997 5.503771 5.612148 5.983877
ENSBTAG00000049698 0.464446 0.660299 0.247454 0.58445 0.122752 0.868751
ENSBTAG00000019412 9.27511 8.63024 9.68135 8.05115 8.26363 9.23437
ENSBTAG00000015460 0.261542 0.121762 0.0903492 0.143206 0.157948 0.104623
ENSBTAG00000002997 1.159661 4.13538 1.287092 0.85249713 2.05995 0.826989
ENSBTAG00000009611 9.842224 9.098471 10.509514 11.8886488 11.226522 12.307788
ENSBTAG00000006587 9.78771 8.80216 9.705 7.94869 10.6453 9.57187
ENSBTAG00000037921 0 0.1341256 0.0356621 0 0 0
ENSBTAG00000011586 48.22562 45.37347 46.739234 32.302361 44.209243 27.85531
ENSBTAG00000016695 0.072844 0.35456 0.0385829 1.06343 0.345201 4.09183
ENSBTAG00000010542 18.20002 15.31002 19.0456 14.71199 19.12717 15.40816
ENSBTAG00000044071 1.63876 0.926713 2.64998 1.77449 1.75229 1.26242
ENSBTAG00000020250 0.0249257 0.0404293 0 0.0186797 0.104921 0.17026
ENSBTAG00000002392 62.395962 58.6478 76.8162 51.3806 66.7272 53.6154
